Medicine_ID,Medicine,Batch_ID,Expiry_Date
M013,Cephalexin 500mg,M013_B0004,2027-02-24
M013,Cephalexin 500mg,M013_B0017,2027-05-01
M013,Cephalexin 500mg,M013_B0028,2027-09-24
M013,Cephalexin 500mg,M013_B0007,2027-10-13
M013,Cephalexin 500mg,M013_B0010,2028-01-20
M013,Cephalexin 500mg,M013_B0013,2028-03-10
M013,Cephalexin 500mg,M013_B0008,2028-05-02
M013,Cephalexin 500mg,M013_B0024,2028-06-02
M013,Cephalexin 500mg,M013_B0022,2028-06-25
M013,Cephalexin 500mg,M013_B0009,2028-07-05
M013,Cephalexin 500mg,M013_B0025,2028-10-05
M013,Cephalexin 500mg,M013_B0005,2029-01-27
M013,Cephalexin 500mg,M013_B0012,2029-02-11
M013,Cephalexin 500mg,M013_B0003,2029-08-24
M013,Cephalexin 500mg,M013_B0014,2029-09-17
M013,Cephalexin 500mg,M013_B0019,2029-09-29
M013,Cephalexin 500mg,M013_B0026,2029-10-11
M013,Cephalexin 500mg,M013_B0015,2030-02-22
M013,Cephalexin 500mg,M013_B0016,2030-05-31
M013,Cephalexin 500mg,M013_B0020,2030-06-05
M013,Cephalexin 500mg,M013_B0002,2031-04-24
M013,Cephalexin 500mg,M013_B0027,2031-08-12
M013,Cephalexin 500mg,M013_B0021,2031-11-06
M013,Cephalexin 500mg,M013_B0001,2031-11-24
M013,Cephalexin 500mg,M013_B0006,2032-01-12
M013,Cephalexin 500mg,M013_B0018,2032-03-04
M013,Cephalexin 500mg,M013_B0029,2032-03-21
M013,Cephalexin 500mg,M013_B0023,2032-04-29
M013,Cephalexin 500mg,M013_B0011,2032-08-08
