Medicine_ID,Medicine,Batch_ID,Expiry_Date
M014,Insulin Lispro,M014_B0017,2026-11-02
M014,Insulin Lispro,M014_B0018,2026-12-31
M014,Insulin Lispro,M014_B0014,2027-01-27
M014,Insulin Lispro,M014_B0011,2027-04-06
M014,Insulin Lispro,M014_B0016,2027-04-12
M014,Insulin Lispro,M014_B0025,2027-06-16
M014,Insulin Lispro,M014_B0028,2027-06-18
M014,Insulin Lispro,M014_B0024,2027-07-06
M014,Insulin Lispro,M014_B0026,2027-09-24
M014,Insulin Lispro,M014_B0019,2027-11-29
M014,Insulin Lispro,M014_B0027,2027-12-06
M014,Insulin Lispro,M014_B0002,2027-12-14
M014,Insulin Lispro,M014_B0003,2028-06-07
M014,Insulin Lispro,M014_B0013,2028-12-19
M014,Insulin Lispro,M014_B0021,2029-01-04
M014,Insulin Lispro,M014_B0004,2029-05-28
M014,Insulin Lispro,M014_B0009,2029-06-17
M014,Insulin Lispro,M014_B0015,2029-07-15
M014,Insulin Lispro,M014_B0008,2030-01-14
M014,Insulin Lispro,M014_B0006,2030-01-19
M014,Insulin Lispro,M014_B0022,2031-05-12
M014,Insulin Lispro,M014_B0010,2031-05-20
M014,Insulin Lispro,M014_B0029,2031-09-27
M014,Insulin Lispro,M014_B0023,2031-10-03
M014,Insulin Lispro,M014_B0020,2031-10-29
M014,Insulin Lispro,M014_B0005,2032-04-06
M014,Insulin Lispro,M014_B0012,2032-04-15
M014,Insulin Lispro,M014_B0007,2032-08-16
M014,Insulin Lispro,M014_B0001,2032-09-29
