Medicine_ID,Medicine,Batch_ID,Expiry_Date
M015,Norepinephrine,M015_B0020,2026-11-09
M015,Norepinephrine,M015_B0011,2027-03-14
M015,Norepinephrine,M015_B0013,2027-05-03
M015,Norepinephrine,M015_B0012,2027-06-06
M015,Norepinephrine,M015_B0021,2027-07-21
M015,Norepinephrine,M015_B0016,2027-10-02
M015,Norepinephrine,M015_B0025,2027-10-24
M015,Norepinephrine,M015_B0018,2028-04-03
M015,Norepinephrine,M015_B0019,2029-01-11
M015,Norepinephrine,M015_B0022,2029-04-01
M015,Norepinephrine,M015_B0007,2029-08-09
M015,Norepinephrine,M015_B0002,2029-10-23
M015,Norepinephrine,M015_B0001,2029-11-24
M015,Norepinephrine,M015_B0014,2029-12-08
M015,Norepinephrine,M015_B0004,2030-03-08
M015,Norepinephrine,M015_B0010,2030-04-02
M015,Norepinephrine,M015_B0026,2030-06-09
M015,Norepinephrine,M015_B0005,2030-06-27
M015,Norepinephrine,M015_B0028,2030-08-19
M015,Norepinephrine,M015_B0027,2030-10-05
M015,Norepinephrine,M015_B0006,2031-02-16
M015,Norepinephrine,M015_B0015,2031-04-23
M015,Norepinephrine,M015_B0008,2031-06-05
M015,Norepinephrine,M015_B0023,2031-06-10
M015,Norepinephrine,M015_B0009,2031-09-18
M015,Norepinephrine,M015_B0017,2032-01-02
M015,Norepinephrine,M015_B0029,2032-02-03
M015,Norepinephrine,M015_B0003,2032-03-20
M015,Norepinephrine,M015_B0024,2032-09-16
