Medicine_ID,Medicine,Batch_ID,Expiry_Date
M016,Terbutaline Inhaler,M016_B0003,2026-11-10
M016,Terbutaline Inhaler,M016_B0023,2026-12-22
M016,Terbutaline Inhaler,M016_B0016,2027-03-21
M016,Terbutaline Inhaler,M016_B0025,2027-05-15
M016,Terbutaline Inhaler,M016_B0020,2027-07-22
M016,Terbutaline Inhaler,M016_B0007,2027-08-04
M016,Terbutaline Inhaler,M016_B0026,2027-08-21
M016,Terbutaline Inhaler,M016_B0005,2027-10-05
M016,Terbutaline Inhaler,M016_B0001,2028-01-21
M016,Terbutaline Inhaler,M016_B0002,2028-04-10
M016,Terbutaline Inhaler,M016_B0021,2028-04-29
M016,Terbutaline Inhaler,M016_B0004,2028-05-17
M016,Terbutaline Inhaler,M016_B0022,2028-10-13
M016,Terbutaline Inhaler,M016_B0019,2028-10-30
M016,Terbutaline Inhaler,M016_B0014,2029-01-03
M016,Terbutaline Inhaler,M016_B0011,2029-12-18
M016,Terbutaline Inhaler,M016_B0027,2030-01-06
M016,Terbutaline Inhaler,M016_B0018,2030-01-30
M016,Terbutaline Inhaler,M016_B0012,2030-10-04
M016,Terbutaline Inhaler,M016_B0006,2030-11-08
M016,Terbutaline Inhaler,M016_B0009,2030-12-11
M016,Terbutaline Inhaler,M016_B0008,2030-12-25
M016,Terbutaline Inhaler,M016_B0028,2031-03-18
M016,Terbutaline Inhaler,M016_B0017,2031-03-23
M016,Terbutaline Inhaler,M016_B0024,2031-05-08
M016,Terbutaline Inhaler,M016_B0015,2031-10-20
M016,Terbutaline Inhaler,M016_B0029,2032-05-04
M016,Terbutaline Inhaler,M016_B0013,2032-09-06
M016,Terbutaline Inhaler,M016_B0010,2032-09-19
