Medicine_ID,Medicine,Batch_ID,Expiry_Date
M017,Fentanyl Patch,M017_B0025,2027-03-14
M017,Fentanyl Patch,M017_B0021,2027-04-25
M017,Fentanyl Patch,M017_B0004,2027-07-08
M017,Fentanyl Patch,M017_B0003,2027-10-28
M017,Fentanyl Patch,M017_B0024,2027-11-04
M017,Fentanyl Patch,M017_B0001,2027-11-28
M017,Fentanyl Patch,M017_B0011,2028-01-27
M017,Fentanyl Patch,M017_B0019,2028-04-15
M017,Fentanyl Patch,M017_B0018,2028-07-18
M017,Fentanyl Patch,M017_B0016,2028-09-09
M017,Fentanyl Patch,M017_B0008,2028-11-07
M017,Fentanyl Patch,M017_B0010,2028-12-26
M017,Fentanyl Patch,M017_B0022,2029-01-13
M017,Fentanyl Patch,M017_B0028,2029-04-03
M017,Fentanyl Patch,M017_B0002,2029-05-10
M017,Fentanyl Patch,M017_B0029,2029-08-02
M017,Fentanyl Patch,M017_B0015,2030-01-30
M017,Fentanyl Patch,M017_B0027,2030-03-29
M017,Fentanyl Patch,M017_B0026,2030-06-23
M017,Fentanyl Patch,M017_B0013,2030-09-13
M017,Fentanyl Patch,M017_B0009,2030-09-22
M017,Fentanyl Patch,M017_B0007,2030-10-11
M017,Fentanyl Patch,M017_B0014,2030-10-25
M017,Fentanyl Patch,M017_B0006,2031-01-26
M017,Fentanyl Patch,M017_B0023,2031-05-28
M017,Fentanyl Patch,M017_B0017,2031-07-27
M017,Fentanyl Patch,M017_B0020,2031-08-18
M017,Fentanyl Patch,M017_B0012,2032-06-26
M017,Fentanyl Patch,M017_B0005,2032-09-10
