Medicine_ID,Medicine,Batch_ID,Expiry_Date
M018,Clopidogrel 75mg,M018_B0014,2026-10-24
M018,Clopidogrel 75mg,M018_B0027,2026-10-29
M018,Clopidogrel 75mg,M018_B0018,2026-11-14
M018,Clopidogrel 75mg,M018_B0012,2026-12-10
M018,Clopidogrel 75mg,M018_B0025,2026-12-24
M018,Clopidogrel 75mg,M018_B0009,2027-03-04
M018,Clopidogrel 75mg,M018_B0020,2027-03-13
M018,Clopidogrel 75mg,M018_B0001,2027-04-25
M018,Clopidogrel 75mg,M018_B0016,2027-06-23
M018,Clopidogrel 75mg,M018_B0015,2027-07-23
M018,Clopidogrel 75mg,M018_B0006,2027-10-13
M018,Clopidogrel 75mg,M018_B0026,2027-10-20
M018,Clopidogrel 75mg,M018_B0010,2027-10-26
M018,Clopidogrel 75mg,M018_B0003,2028-01-12
M018,Clopidogrel 75mg,M018_B0029,2028-04-07
M018,Clopidogrel 75mg,M018_B0008,2028-09-01
M018,Clopidogrel 75mg,M018_B0022,2028-09-13
M018,Clopidogrel 75mg,M018_B0011,2028-10-23
M018,Clopidogrel 75mg,M018_B0002,2029-03-16
M018,Clopidogrel 75mg,M018_B0024,2029-05-03
M018,Clopidogrel 75mg,M018_B0023,2029-09-05
M018,Clopidogrel 75mg,M018_B0005,2029-10-26
M018,Clopidogrel 75mg,M018_B0028,2030-11-02
M018,Clopidogrel 75mg,M018_B0017,2030-11-09
M018,Clopidogrel 75mg,M018_B0019,2031-03-31
M018,Clopidogrel 75mg,M018_B0021,2031-04-09
M018,Clopidogrel 75mg,M018_B0007,2031-08-20
M018,Clopidogrel 75mg,M018_B0013,2031-09-03
M018,Clopidogrel 75mg,M018_B0004,2031-11-26
