Medicine_ID,Medicine,Batch_ID,Expiry_Date
M019,Glipizide 5mg,M019_B0013,2027-03-16
M019,Glipizide 5mg,M019_B0027,2027-04-21
M019,Glipizide 5mg,M019_B0012,2027-05-19
M019,Glipizide 5mg,M019_B0010,2027-06-16
M019,Glipizide 5mg,M019_B0018,2027-07-04
M019,Glipizide 5mg,M019_B0001,2027-07-05
M019,Glipizide 5mg,M019_B0026,2028-02-13
M019,Glipizide 5mg,M019_B0015,2028-09-14
M019,Glipizide 5mg,M019_B0022,2028-09-23
M019,Glipizide 5mg,M019_B0009,2028-09-29
M019,Glipizide 5mg,M019_B0007,2029-01-02
M019,Glipizide 5mg,M019_B0024,2029-02-17
M019,Glipizide 5mg,M019_B0017,2029-03-26
M019,Glipizide 5mg,M019_B0028,2029-05-22
M019,Glipizide 5mg,M019_B0005,2029-05-25
M019,Glipizide 5mg,M019_B0019,2029-08-26
M019,Glipizide 5mg,M019_B0025,2030-01-06
M019,Glipizide 5mg,M019_B0014,2030-02-01
M019,Glipizide 5mg,M019_B0006,2030-04-16
M019,Glipizide 5mg,M019_B0016,2030-08-27
M019,Glipizide 5mg,M019_B0023,2030-10-27
M019,Glipizide 5mg,M019_B0021,2031-03-07
M019,Glipizide 5mg,M019_B0004,2031-05-31
M019,Glipizide 5mg,M019_B0008,2031-10-31
M019,Glipizide 5mg,M019_B0002,2031-11-29
M019,Glipizide 5mg,M019_B0029,2031-12-10
M019,Glipizide 5mg,M019_B0003,2032-01-07
M019,Glipizide 5mg,M019_B0011,2032-01-28
M019,Glipizide 5mg,M019_B0020,2032-08-19
