Medicine_ID,Medicine,Batch_ID,Expiry_Date
M020,Simvastatin 20mg,M020_B0002,2026-10-30
M020,Simvastatin 20mg,M020_B0012,2026-12-21
M020,Simvastatin 20mg,M020_B0003,2027-01-12
M020,Simvastatin 20mg,M020_B0022,2027-03-23
M020,Simvastatin 20mg,M020_B0025,2027-04-30
M020,Simvastatin 20mg,M020_B0008,2027-06-25
M020,Simvastatin 20mg,M020_B0004,2027-08-03
M020,Simvastatin 20mg,M020_B0011,2028-05-11
M020,Simvastatin 20mg,M020_B0016,2028-06-02
M020,Simvastatin 20mg,M020_B0005,2028-07-16
M020,Simvastatin 20mg,M020_B0013,2028-09-16
M020,Simvastatin 20mg,M020_B0024,2028-10-15
M020,Simvastatin 20mg,M020_B0018,2028-12-29
M020,Simvastatin 20mg,M020_B0020,2029-05-24
M020,Simvastatin 20mg,M020_B0026,2029-09-15
M020,Simvastatin 20mg,M020_B0023,2029-09-16
M020,Simvastatin 20mg,M020_B0006,2029-10-27
M020,Simvastatin 20mg,M020_B0010,2029-11-24
M020,Simvastatin 20mg,M020_B0009,2029-12-08
M020,Simvastatin 20mg,M020_B0021,2030-02-21
M020,Simvastatin 20mg,M020_B0029,2030-05-25
M020,Simvastatin 20mg,M020_B0027,2031-06-05
M020,Simvastatin 20mg,M020_B0001,2031-09-05
M020,Simvastatin 20mg,M020_B0019,2031-09-12
M020,Simvastatin 20mg,M020_B0015,2031-09-20
M020,Simvastatin 20mg,M020_B0007,2031-10-23
M020,Simvastatin 20mg,M020_B0017,2031-10-30
M020,Simvastatin 20mg,M020_B0028,2032-05-29
M020,Simvastatin 20mg,M020_B0014,2032-08-11
