Medicine_ID,Medicine,Batch_ID,Expiry_Date
M001,Paracetamol,M001_B001,2028-05-21
M001,Paracetamol,M001_B002,2028-02-11
M001,Paracetamol,M001_B003,2027-03-11
M001,Paracetamol,M001_B004,2027-06-23
M001,Paracetamol,M001_B005,2026-03-02
M001,Paracetamol,M001_B006,2027-02-26
M001,Paracetamol,M001_B007,2027-12-31
M001,Paracetamol,M001_B008,2027-04-12
M001,Paracetamol,M001_B009,2026-07-26
M001,Paracetamol,M001_B010,2027-01-28
M001,Paracetamol,M001_B011,2026-09-07
M001,Paracetamol,M001_B012,2026-08-10
M001,Paracetamol,M001_B013,2026-11-08
M001,Paracetamol,M001_B014,2026-11-13
M001,Paracetamol,M001_B015,2027-05-02
M001,Paracetamol,M001_B016,2026-07-02
M001,Paracetamol,M001_B017,2026-03-07
M001,Paracetamol,M001_B018,2027-10-21
M001,Paracetamol,M001_B019,2027-10-27
M001,Paracetamol,M001_B020,2027-10-24
M001,Paracetamol,M001_B021,2026-10-09
M001,Paracetamol,M001_B022,2027-11-24
M001,Paracetamol,M001_B023,2026-11-29
M001,Paracetamol,M001_B024,2027-06-25
M001,Paracetamol,M001_B025,2027-03-28
M001,Paracetamol,M001_B026,2027-08-17
M001,Paracetamol,M001_B027,2027-06-05
M001,Paracetamol,M001_B028,2026-04-03
M001,Paracetamol,M001_B029,2026-04-30
M001,Paracetamol,M001_B030,2026-11-13
M001,Paracetamol,M001_B031,2027-02-27
M001,Paracetamol,M001_B032,2026-06-20
M001,Paracetamol,M001_B033,2027-04-05
