Medicine_ID,Medicine,Batch_ID,Expiry_Date
M002,Ibuprofen,M002_B0001,2027-02-01
M002,Ibuprofen,M002_B0002,2027-03-01
M002,Ibuprofen,M002_B0003,2026-09-19
M002,Ibuprofen,M002_B0004,2026-11-11
M002,Ibuprofen,M002_B0005,2026-12-01
M002,Ibuprofen,M002_B0006,2026-11-09
M002,Ibuprofen,M002_B0007,2027-09-07
M002,Ibuprofen,M002_B0008,2027-08-17
M002,Ibuprofen,M002_B0009,2027-01-02
M002,Ibuprofen,M002_B0010,2027-03-10
M002,Ibuprofen,M002_B0011,2027-03-02
M002,Ibuprofen,M002_B0012,2027-03-14
M002,Ibuprofen,M002_B0013,2027-12-16
M002,Ibuprofen,M002_B0014,2027-12-10
M002,Ibuprofen,M002_B0015,2027-07-28
M002,Ibuprofen,M002_B0016,2028-01-01
M002,Ibuprofen,M002_B0017,2027-11-30
M002,Ibuprofen,M002_B0018,2028-03-02
M002,Ibuprofen,M002_B0019,2027-05-29
M002,Ibuprofen,M002_B0020,2028-02-06
M002,Ibuprofen,M002_B0021,2027-07-19
M002,Ibuprofen,M002_B0022,2027-06-22
M002,Ibuprofen,M002_B0023,2028-05-03
M002,Ibuprofen,M002_B0024,2028-05-28
M002,Ibuprofen,M002_B0025,2027-07-17
M002,Ibuprofen,M002_B0026,2027-08-06
M002,Ibuprofen,M002_B0027,2028-02-26
M002,Ibuprofen,M002_B0028,2027-12-15
M002,Ibuprofen,M002_B0029,2028-03-15
M002,Ibuprofen,M002_B0030,2028-04-01
M002,Ibuprofen,M002_B0031,2027-10-09
M002,Ibuprofen,M002_B0032,2027-11-18
M002,Ibuprofen,M002_B0033,2027-10-29
M002,Ibuprofen,M002_B0034,2028-01-02
M002,Ibuprofen,M002_B0035,2028-02-09
M002,Ibuprofen,M002_B0036,2028-10-12
M002,Ibuprofen,M002_B0037,2028-08-13
M002,Ibuprofen,M002_B0038,2028-12-24
M002,Ibuprofen,M002_B0039,2028-04-25
M002,Ibuprofen,M002_B0040,2028-06-13
M002,Ibuprofen,M002_B0041,2029-02-02
M002,Ibuprofen,M002_B0042,2028-03-28
M002,Ibuprofen,M002_B0043,2028-04-13
M002,Ibuprofen,M002_B0044,2028-05-18
M002,Ibuprofen,M002_B0045,2029-02-02
M002,Ibuprofen,M002_B0046,2029-02-11
M002,Ibuprofen,M002_B0047,2029-02-06
M002,Ibuprofen,M002_B0048,2029-05-12
M002,Ibuprofen,M002_B0049,2029-01-28
M002,Ibuprofen,M002_B0050,2028-12-26
M002,Ibuprofen,M002_B0051,2029-03-20
M002,Ibuprofen,M002_B0052,2029-06-14
M002,Ibuprofen,M002_B0053,2029-07-23
M002,Ibuprofen,M002_B0054,2028-12-19
M002,Ibuprofen,M002_B0055,2028-09-16
M002,Ibuprofen,M002_B0056,2029-08-30
M002,Ibuprofen,M002_B0057,2029-05-13
M002,Ibuprofen,M002_B0058,2029-10-05
M002,Ibuprofen,M002_B0059,2028-11-29
M002,Ibuprofen,M002_B0060,2029-10-26
M002,Ibuprofen,M002_B0061,2029-06-10
M002,Ibuprofen,M002_B0062,2029-07-06
M002,Ibuprofen,M002_B0063,2029-04-13
M002,Ibuprofen,M002_B0064,2029-10-13
M002,Ibuprofen,M002_B0065,2029-06-28
M002,Ibuprofen,M002_B0066,2029-06-16
M002,Ibuprofen,M002_B0067,2029-05-28
M002,Ibuprofen,M002_B0068,2029-12-17
M002,Ibuprofen,M002_B0069,2029-06-06
M002,Ibuprofen,M002_B0070,2029-11-03
M002,Ibuprofen,M002_B0071,2030-01-19
M002,Ibuprofen,M002_B0072,2029-07-24
M002,Ibuprofen,M002_B0073,2030-05-24
M002,Ibuprofen,M002_B0074,2030-01-14
M002,Ibuprofen,M002_B0075,2030-06-24
M002,Ibuprofen,M002_B0076,2029-12-19
M002,Ibuprofen,M002_B0077,2029-12-03
M002,Ibuprofen,M002_B0078,2029-09-25
M002,Ibuprofen,M002_B0079,2029-11-03
M002,Ibuprofen,M002_B0080,2030-02-02
M002,Ibuprofen,M002_B0081,2030-04-21
M002,Ibuprofen,M002_B0082,2029-12-08
M002,Ibuprofen,M002_B0083,2030-07-25
M002,Ibuprofen,M002_B0084,2030-05-17
M002,Ibuprofen,M002_B0085,2030-08-31
M002,Ibuprofen,M002_B0086,2030-08-04
M002,Ibuprofen,M002_B0087,2030-09-29
M002,Ibuprofen,M002_B0088,2031-01-02
M002,Ibuprofen,M002_B0089,2030-02-24
M002,Ibuprofen,M002_B0090,2031-01-14
M002,Ibuprofen,M002_B0091,2030-11-19
M002,Ibuprofen,M002_B0092,2031-01-27
M002,Ibuprofen,M002_B0093,2031-02-22
M002,Ibuprofen,M002_B0094,2030-06-17
M002,Ibuprofen,M002_B0095,2030-11-18
M002,Ibuprofen,M002_B0096,2030-09-22
M002,Ibuprofen,M002_B0097,2031-04-12
M002,Ibuprofen,M002_B0098,2031-01-21
M002,Ibuprofen,M002_B0099,2030-07-25
M002,Ibuprofen,M002_B0100,2030-09-06
M002,Ibuprofen,M002_B0101,2031-07-06
M002,Ibuprofen,M002_B0102,2031-07-26
M002,Ibuprofen,M002_B0103,2031-01-02
M002,Ibuprofen,M002_B0104,2031-08-18
M002,Ibuprofen,M002_B0105,2031-06-21
M002,Ibuprofen,M002_B0106,2031-09-26
M002,Ibuprofen,M002_B0107,2031-05-21
M002,Ibuprofen,M002_B0108,2030-12-01
M002,Ibuprofen,M002_B0109,2031-05-03
