Medicine_ID,Medicine,Batch_ID,Expiry_Date
M003,Amoxicillin,M003_B0001,2026-06-26
M003,Amoxicillin,M003_B0002,2026-10-24
M003,Amoxicillin,M003_B0003,2027-04-25
M003,Amoxicillin,M003_B0004,2027-07-26
M003,Amoxicillin,M003_B0005,2027-06-28
M003,Amoxicillin,M003_B0006,2026-10-23
M003,Amoxicillin,M003_B0007,2027-02-03
M003,Amoxicillin,M003_B0008,2027-03-01
M003,Amoxicillin,M003_B0009,2026-11-28
M003,Amoxicillin,M003_B0010,2027-01-25
M003,Amoxicillin,M003_B0011,2027-02-01
M003,Amoxicillin,M003_B0012,2027-09-27
M003,Amoxicillin,M003_B0013,2027-05-04
M003,Amoxicillin,M003_B0014,2027-04-06
M003,Amoxicillin,M003_B0015,2028-01-14
M003,Amoxicillin,M003_B0016,2027-02-26
M003,Amoxicillin,M003_B0017,2027-09-28
M003,Amoxicillin,M003_B0018,2027-04-07
M003,Amoxicillin,M003_B0019,2027-08-10
M003,Amoxicillin,M003_B0020,2027-05-12
M003,Amoxicillin,M003_B0021,2027-12-27
M003,Amoxicillin,M003_B0022,2028-04-23
M003,Amoxicillin,M003_B0023,2027-08-30
M003,Amoxicillin,M003_B0024,2028-05-14
M003,Amoxicillin,M003_B0025,2027-12-15
M003,Amoxicillin,M003_B0026,2027-09-28
M003,Amoxicillin,M003_B0027,2028-07-09
M003,Amoxicillin,M003_B0028,2028-02-15
M003,Amoxicillin,M003_B0029,2027-10-21
M003,Amoxicillin,M003_B0030,2028-07-04
M003,Amoxicillin,M003_B0031,2028-07-07
M003,Amoxicillin,M003_B0032,2028-03-08
M003,Amoxicillin,M003_B0033,2027-12-30
M003,Amoxicillin,M003_B0034,2027-11-28
M003,Amoxicillin,M003_B0035,2028-09-20
M003,Amoxicillin,M003_B0036,2028-11-06
M003,Amoxicillin,M003_B0037,2028-06-04
M003,Amoxicillin,M003_B0038,2028-12-21
M003,Amoxicillin,M003_B0039,2028-05-05
M003,Amoxicillin,M003_B0040,2028-06-01
M003,Amoxicillin,M003_B0041,2028-06-06
M003,Amoxicillin,M003_B0042,2028-11-11
M003,Amoxicillin,M003_B0043,2029-01-27
M003,Amoxicillin,M003_B0044,2028-08-04
M003,Amoxicillin,M003_B0045,2028-09-05
M003,Amoxicillin,M003_B0046,2028-05-27
M003,Amoxicillin,M003_B0047,2028-10-19
M003,Amoxicillin,M003_B0048,2029-02-05
M003,Amoxicillin,M003_B0049,2029-04-25
M003,Amoxicillin,M003_B0050,2028-10-08
M003,Amoxicillin,M003_B0051,2028-09-10
M003,Amoxicillin,M003_B0052,2029-06-03
M003,Amoxicillin,M003_B0053,2029-05-22
M003,Amoxicillin,M003_B0054,2028-12-01
M003,Amoxicillin,M003_B0055,2029-08-09
M003,Amoxicillin,M003_B0056,2029-05-08
M003,Amoxicillin,M003_B0057,2028-10-10
M003,Amoxicillin,M003_B0058,2029-02-04
M003,Amoxicillin,M003_B0059,2029-08-30
M003,Amoxicillin,M003_B0060,2029-06-16
M003,Amoxicillin,M003_B0061,2029-11-28
M003,Amoxicillin,M003_B0062,2028-12-26
M003,Amoxicillin,M003_B0063,2029-10-06
M003,Amoxicillin,M003_B0064,2030-01-09
M003,Amoxicillin,M003_B0065,2029-08-23
M003,Amoxicillin,M003_B0066,2029-04-19
M003,Amoxicillin,M003_B0067,2029-11-23
M003,Amoxicillin,M003_B0068,2029-10-22
M003,Amoxicillin,M003_B0069,2030-03-06
M003,Amoxicillin,M003_B0070,2030-03-01
M003,Amoxicillin,M003_B0071,2029-07-13
M003,Amoxicillin,M003_B0072,2029-08-20
M003,Amoxicillin,M003_B0073,2029-08-09
M003,Amoxicillin,M003_B0074,2030-01-03
M003,Amoxicillin,M003_B0075,2030-06-03
M003,Amoxicillin,M003_B0076,2029-07-26
M003,Amoxicillin,M003_B0077,2030-01-18
M003,Amoxicillin,M003_B0078,2029-10-28
M003,Amoxicillin,M003_B0079,2029-12-17
M003,Amoxicillin,M003_B0080,2030-05-21
M003,Amoxicillin,M003_B0081,2030-05-01
M003,Amoxicillin,M003_B0082,2030-05-02
M003,Amoxicillin,M003_B0083,2030-02-22
M003,Amoxicillin,M003_B0084,2030-01-11
M003,Amoxicillin,M003_B0085,2030-09-17
M003,Amoxicillin,M003_B0086,2030-01-04
M003,Amoxicillin,M003_B0087,2030-09-24
M003,Amoxicillin,M003_B0088,2030-12-28
M003,Amoxicillin,M003_B0089,2030-05-05
M003,Amoxicillin,M003_B0090,2030-06-13
M003,Amoxicillin,M003_B0091,2031-01-23
M003,Amoxicillin,M003_B0092,2030-11-21
