Medicine_ID,Medicine,Batch_ID,Expiry_Date
M004,Insulin,M004_B001,2027-01-29
M004,Insulin,M004_B002,2028-06-08
M004,Insulin,M004_B003,2028-06-14
M004,Insulin,M004_B004,2026-07-27
M004,Insulin,M004_B005,2026-07-30
M004,Insulin,M004_B006,2026-09-30
M004,Insulin,M004_B007,2027-09-29
M004,Insulin,M004_B008,2026-12-22
M004,Insulin,M004_B009,2028-05-05
M004,Insulin,M004_B010,2028-02-25
M004,Insulin,M004_B011,2028-01-15
M004,Insulin,M004_B012,2027-02-02
M004,Insulin,M004_B013,2027-09-28
M004,Insulin,M004_B014,2026-02-28
M004,Insulin,M004_B015,2028-01-21
M004,Insulin,M004_B016,2028-01-18
M004,Insulin,M004_B017,2027-01-26
M004,Insulin,M004_B018,2027-09-04
M004,Insulin,M004_B019,2027-08-31
M004,Insulin,M004_B020,2026-06-25
M004,Insulin,M004_B021,2027-08-30
M004,Insulin,M004_B022,2026-08-11
M004,Insulin,M004_B023,2028-06-05
M004,Insulin,M004_B024,2028-05-09
M004,Insulin,M004_B025,2027-06-19
M004,Insulin,M004_B026,2027-08-09
M004,Insulin,M004_B027,2026-12-13
M004,Insulin,M004_B028,2026-07-29
M004,Insulin,M004_B029,2027-06-17
M004,Insulin,M004_B030,2026-03-10
M004,Insulin,M004_B031,2026-05-03
M004,Insulin,M004_B032,2026-03-29
