Medicine_ID,Medicine,Batch_ID,Expiry_Date
M005,Epinephrine,M005_B0001,2026-06-23
M005,Epinephrine,M005_B0002,2027-02-09
M005,Epinephrine,M005_B0003,2027-04-05
M005,Epinephrine,M005_B0004,2027-03-29
M005,Epinephrine,M005_B0005,2027-05-23
M005,Epinephrine,M005_B0006,2026-09-19
M005,Epinephrine,M005_B0007,2027-01-31
M005,Epinephrine,M005_B0008,2027-05-05
M005,Epinephrine,M005_B0009,2027-03-04
M005,Epinephrine,M005_B0010,2027-02-12
M005,Epinephrine,M005_B0011,2027-09-19
M005,Epinephrine,M005_B0012,2027-03-02
M005,Epinephrine,M005_B0013,2027-10-18
M005,Epinephrine,M005_B0014,2027-08-12
M005,Epinephrine,M005_B0015,2027-03-04
M005,Epinephrine,M005_B0016,2027-05-04
M005,Epinephrine,M005_B0017,2027-07-06
M005,Epinephrine,M005_B0018,2027-04-20
M005,Epinephrine,M005_B0019,2027-07-05
M005,Epinephrine,M005_B0020,2027-04-19
M005,Epinephrine,M005_B0021,2027-10-28
M005,Epinephrine,M005_B0022,2027-05-04
M005,Epinephrine,M005_B0023,2027-05-29
M005,Epinephrine,M005_B0024,2028-02-22
M005,Epinephrine,M005_B0025,2028-03-12
M005,Epinephrine,M005_B0026,2027-08-06
M005,Epinephrine,M005_B0027,2028-02-15
M005,Epinephrine,M005_B0028,2028-03-08
M005,Epinephrine,M005_B0029,2028-06-13
M005,Epinephrine,M005_B0030,2028-06-21
M005,Epinephrine,M005_B0031,2028-04-10
M005,Epinephrine,M005_B0032,2028-05-15
M005,Epinephrine,M005_B0033,2028-04-05
M005,Epinephrine,M005_B0034,2028-09-16
M005,Epinephrine,M005_B0035,2028-06-04
M005,Epinephrine,M005_B0036,2028-08-09
M005,Epinephrine,M005_B0037,2028-02-02
M005,Epinephrine,M005_B0038,2028-06-08
M005,Epinephrine,M005_B0039,2028-06-25
M005,Epinephrine,M005_B0040,2028-11-04
M005,Epinephrine,M005_B0041,2028-07-08
M005,Epinephrine,M005_B0042,2029-02-18
M005,Epinephrine,M005_B0043,2029-02-12
M005,Epinephrine,M005_B0044,2028-10-12
M005,Epinephrine,M005_B0045,2029-02-06
M005,Epinephrine,M005_B0046,2029-02-22
M005,Epinephrine,M005_B0047,2028-09-11
M005,Epinephrine,M005_B0048,2029-05-17
M005,Epinephrine,M005_B0049,2028-06-22
M005,Epinephrine,M005_B0050,2029-01-11
M005,Epinephrine,M005_B0051,2028-11-04
M005,Epinephrine,M005_B0052,2029-03-27
M005,Epinephrine,M005_B0053,2029-03-30
M005,Epinephrine,M005_B0054,2028-10-27
M005,Epinephrine,M005_B0055,2028-12-04
M005,Epinephrine,M005_B0056,2028-10-20
M005,Epinephrine,M005_B0057,2029-07-18
M005,Epinephrine,M005_B0058,2029-02-24
M005,Epinephrine,M005_B0059,2029-10-28
M005,Epinephrine,M005_B0060,2029-01-20
M005,Epinephrine,M005_B0061,2029-06-03
M005,Epinephrine,M005_B0062,2029-09-28
M005,Epinephrine,M005_B0063,2029-12-17
M005,Epinephrine,M005_B0064,2029-10-02
M005,Epinephrine,M005_B0065,2029-07-31
M005,Epinephrine,M005_B0066,2029-11-17
M005,Epinephrine,M005_B0067,2030-02-04
M005,Epinephrine,M005_B0068,2029-10-06
M005,Epinephrine,M005_B0069,2029-07-21
M005,Epinephrine,M005_B0070,2029-12-25
M005,Epinephrine,M005_B0071,2030-03-20
M005,Epinephrine,M005_B0072,2030-02-18
M005,Epinephrine,M005_B0073,2029-12-27
M005,Epinephrine,M005_B0074,2030-04-29
M005,Epinephrine,M005_B0075,2029-11-28
M005,Epinephrine,M005_B0076,2030-02-25
