Medicine_ID,Medicine,Batch_ID,Expiry_Date
M007,Morphine,M007_B0001,2027-04-11
M007,Morphine,M007_B0002,2027-02-14
M007,Morphine,M007_B0003,2027-04-13
M007,Morphine,M007_B0004,2027-04-02
M007,Morphine,M007_B0005,2027-08-02
M007,Morphine,M007_B0006,2026-12-30
M007,Morphine,M007_B0007,2026-11-08
M007,Morphine,M007_B0008,2027-10-01
M007,Morphine,M007_B0009,2027-05-05
M007,Morphine,M007_B0010,2027-09-16
M007,Morphine,M007_B0011,2027-11-12
M007,Morphine,M007_B0012,2027-10-17
M007,Morphine,M007_B0013,2027-05-17
M007,Morphine,M007_B0014,2027-04-23
M007,Morphine,M007_B0015,2027-11-24
M007,Morphine,M007_B0016,2027-04-12
M007,Morphine,M007_B0017,2027-05-27
M007,Morphine,M007_B0018,2027-11-02
M007,Morphine,M007_B0019,2027-12-24
M007,Morphine,M007_B0020,2027-12-03
M007,Morphine,M007_B0021,2028-02-04
M007,Morphine,M007_B0022,2028-01-26
M007,Morphine,M007_B0023,2028-04-25
M007,Morphine,M007_B0024,2027-12-16
M007,Morphine,M007_B0025,2027-11-25
M007,Morphine,M007_B0026,2028-02-27
M007,Morphine,M007_B0027,2028-05-17
M007,Morphine,M007_B0028,2028-02-27
M007,Morphine,M007_B0029,2027-10-21
M007,Morphine,M007_B0030,2027-12-22
M007,Morphine,M007_B0031,2028-07-09
M007,Morphine,M007_B0032,2028-04-06
M007,Morphine,M007_B0033,2027-12-27
M007,Morphine,M007_B0034,2028-02-02
M007,Morphine,M007_B0035,2028-08-01
M007,Morphine,M007_B0036,2027-12-16
M007,Morphine,M007_B0037,2028-07-06
M007,Morphine,M007_B0038,2028-06-01
M007,Morphine,M007_B0039,2028-06-08
M007,Morphine,M007_B0040,2028-07-29
M007,Morphine,M007_B0041,2028-09-29
M007,Morphine,M007_B0042,2029-02-24
M007,Morphine,M007_B0043,2028-11-08
M007,Morphine,M007_B0044,2028-05-12
M007,Morphine,M007_B0045,2028-05-19
M007,Morphine,M007_B0046,2028-06-24
M007,Morphine,M007_B0047,2028-11-25
M007,Morphine,M007_B0048,2028-11-23
M007,Morphine,M007_B0049,2029-03-15
M007,Morphine,M007_B0050,2029-03-05
M007,Morphine,M007_B0051,2028-08-20
M007,Morphine,M007_B0052,2028-10-20
M007,Morphine,M007_B0053,2029-07-03
M007,Morphine,M007_B0054,2029-07-01
M007,Morphine,M007_B0055,2029-02-09
M007,Morphine,M007_B0056,2029-09-03
M007,Morphine,M007_B0057,2028-12-14
M007,Morphine,M007_B0058,2028-11-27
M007,Morphine,M007_B0059,2028-11-13
M007,Morphine,M007_B0060,2029-07-02
M007,Morphine,M007_B0061,2028-12-29
M007,Morphine,M007_B0062,2029-05-16
M007,Morphine,M007_B0063,2029-04-08
M007,Morphine,M007_B0064,2029-02-20
M007,Morphine,M007_B0065,2029-11-25
M007,Morphine,M007_B0066,2029-08-04
M007,Morphine,M007_B0067,2030-01-18
M007,Morphine,M007_B0068,2029-11-02
M007,Morphine,M007_B0069,2030-02-26
M007,Morphine,M007_B0070,2029-07-27
M007,Morphine,M007_B0071,2029-08-10
M007,Morphine,M007_B0072,2029-05-24
M007,Morphine,M007_B0073,2029-07-03
M007,Morphine,M007_B0074,2029-12-29
M007,Morphine,M007_B0075,2029-11-03
M007,Morphine,M007_B0076,2029-08-01
M007,Morphine,M007_B0077,2030-08-04
M007,Morphine,M007_B0078,2030-08-17
M007,Morphine,M007_B0079,2030-08-20
M007,Morphine,M007_B0080,2029-10-27
M007,Morphine,M007_B0081,2030-06-04
M007,Morphine,M007_B0082,2030-10-14
M007,Morphine,M007_B0083,2030-01-04
M007,Morphine,M007_B0084,2030-04-01
M007,Morphine,M007_B0085,2030-06-20
M007,Morphine,M007_B0086,2030-03-25
M007,Morphine,M007_B0087,2030-01-16
M007,Morphine,M007_B0088,2030-05-26
M007,Morphine,M007_B0089,2030-02-09
M007,Morphine,M007_B0090,2030-04-08
M007,Morphine,M007_B0091,2030-12-15
M007,Morphine,M007_B0092,2030-10-22
M007,Morphine,M007_B0093,2030-07-11
M007,Morphine,M007_B0094,2030-09-06
M007,Morphine,M007_B0095,2030-08-27
M007,Morphine,M007_B0096,2030-10-23
M007,Morphine,M007_B0097,2030-08-22
M007,Morphine,M007_B0098,2031-04-06
M007,Morphine,M007_B0099,2030-08-13
M007,Morphine,M007_B0100,2030-08-02
M007,Morphine,M007_B0101,2030-11-09
M007,Morphine,M007_B0102,2031-02-16
M007,Morphine,M007_B0103,2031-04-12
M007,Morphine,M007_B0104,2031-03-12
M007,Morphine,M007_B0105,2031-08-16
M007,Morphine,M007_B0106,2031-10-04
M007,Morphine,M007_B0107,2031-01-31
M007,Morphine,M007_B0108,2031-10-01
M007,Morphine,M007_B0109,2030-12-29
M007,Morphine,M007_B0110,2031-11-24
M007,Morphine,M007_B0111,2031-03-30
M007,Morphine,M007_B0112,2031-02-13
M007,Morphine,M007_B0113,2031-04-05
M007,Morphine,M007_B0114,2031-09-20
M007,Morphine,M007_B0115,2031-05-23
M007,Morphine,M007_B0116,2031-04-30
M007,Morphine,M007_B0117,2031-06-04
M007,Morphine,M007_B0118,2031-04-14
M007,Morphine,M007_B0119,2032-01-07
M007,Morphine,M007_B0120,2031-06-25
M007,Morphine,M007_B0121,2031-06-01
M007,Morphine,M007_B0122,2031-08-25
M007,Morphine,M007_B0123,2032-01-19
M007,Morphine,M007_B0124,2031-08-30
M007,Morphine,M007_B0125,2032-02-12
M007,Morphine,M007_B0126,2032-05-05
M007,Morphine,M007_B0127,2032-07-11
M007,Morphine,M007_B0128,2032-06-04
M007,Morphine,M007_B0129,2032-01-19
M007,Morphine,M007_B0130,2032-06-22
M007,Morphine,M007_B0131,2031-12-25
M007,Morphine,M007_B0132,2032-10-22
M007,Morphine,M007_B0133,2032-05-16
