Medicine_ID,Medicine,Batch_ID,Expiry_Date
M008,Aspirin,M008_B001,2028-05-21
M008,Aspirin,M008_B002,2028-01-26
M008,Aspirin,M008_B003,2027-12-18
M008,Aspirin,M008_B004,2027-11-16
M008,Aspirin,M008_B005,2028-02-16
M008,Aspirin,M008_B006,2027-01-09
M008,Aspirin,M008_B007,2027-05-03
M008,Aspirin,M008_B008,2026-02-11
M008,Aspirin,M008_B009,2026-10-29
M008,Aspirin,M008_B010,2026-09-02
M008,Aspirin,M008_B011,2026-10-13
M008,Aspirin,M008_B012,2028-01-10
M008,Aspirin,M008_B013,2026-04-10
M008,Aspirin,M008_B014,2027-01-24
M008,Aspirin,M008_B015,2026-10-20
M008,Aspirin,M008_B016,2028-04-15
M008,Aspirin,M008_B017,2026-05-21
M008,Aspirin,M008_B018,2028-02-07
M008,Aspirin,M008_B019,2026-02-01
M008,Aspirin,M008_B020,2026-03-21
M008,Aspirin,M008_B021,2027-03-02
M008,Aspirin,M008_B022,2027-04-24
