Medicine_ID,Medicine,Batch_ID,Expiry_Date
M009,Metformin,M009_B001,2026-07-20
M009,Metformin,M009_B002,2027-03-30
M009,Metformin,M009_B003,2027-06-19
M009,Metformin,M009_B004,2027-02-22
M009,Metformin,M009_B005,2027-01-25
M009,Metformin,M009_B006,2027-08-13
M009,Metformin,M009_B007,2027-02-19
M009,Metformin,M009_B008,2026-05-14
M009,Metformin,M009_B009,2028-05-28
M009,Metformin,M009_B010,2027-06-05
M009,Metformin,M009_B011,2028-04-17
M009,Metformin,M009_B012,2027-09-14
M009,Metformin,M009_B013,2027-11-28
M009,Metformin,M009_B014,2028-03-17
M009,Metformin,M009_B015,2028-01-04
M009,Metformin,M009_B016,2026-09-18
M009,Metformin,M009_B017,2026-07-16
M009,Metformin,M009_B018,2027-05-08
M009,Metformin,M009_B019,2026-04-16
M009,Metformin,M009_B020,2028-04-28
M009,Metformin,M009_B021,2028-06-15
M009,Metformin,M009_B022,2026-03-06
M009,Metformin,M009_B023,2026-11-28
M009,Metformin,M009_B024,2026-02-20
M009,Metformin,M009_B025,2026-12-23
M009,Metformin,M009_B026,2026-10-25
M009,Metformin,M009_B027,2026-05-18
M009,Metformin,M009_B028,2026-04-16
M009,Metformin,M009_B029,2027-01-16
M009,Metformin,M009_B030,2026-07-24
M009,Metformin,M009_B031,2027-02-19
M009,Metformin,M009_B032,2026-07-14
M009,Metformin,M009_B033,2028-02-19
