Medicine_ID,Medicine,Batch_ID,Expiry_Date
M010,Atorvastatin,M010_B0001,2026-09-16
M010,Atorvastatin,M010_B0002,2027-03-03
M010,Atorvastatin,M010_B0003,2027-07-08
M010,Atorvastatin,M010_B0004,2026-12-04
M010,Atorvastatin,M010_B0005,2026-11-29
M010,Atorvastatin,M010_B0006,2026-11-19
M010,Atorvastatin,M010_B0007,2027-08-12
M010,Atorvastatin,M010_B0008,2026-12-21
M010,Atorvastatin,M010_B0009,2027-09-29
M010,Atorvastatin,M010_B0010,2027-08-30
M010,Atorvastatin,M010_B0011,2027-11-04
M010,Atorvastatin,M010_B0012,2026-12-16
M010,Atorvastatin,M010_B0013,2027-04-21
M010,Atorvastatin,M010_B0014,2027-04-02
M010,Atorvastatin,M010_B0015,2027-12-17
M010,Atorvastatin,M010_B0016,2027-08-03
M010,Atorvastatin,M010_B0017,2027-03-23
M010,Atorvastatin,M010_B0018,2027-04-01
M010,Atorvastatin,M010_B0019,2027-10-20
M010,Atorvastatin,M010_B0020,2027-08-25
M010,Atorvastatin,M010_B0021,2027-05-23
M010,Atorvastatin,M010_B0022,2027-06-27
M010,Atorvastatin,M010_B0023,2028-04-07
M010,Atorvastatin,M010_B0024,2028-04-08
M010,Atorvastatin,M010_B0025,2028-05-23
M010,Atorvastatin,M010_B0026,2027-11-08
M010,Atorvastatin,M010_B0027,2027-12-04
M010,Atorvastatin,M010_B0028,2027-12-24
M010,Atorvastatin,M010_B0029,2028-05-12
M010,Atorvastatin,M010_B0030,2028-01-30
M010,Atorvastatin,M010_B0031,2027-10-10
M010,Atorvastatin,M010_B0032,2028-04-23
M010,Atorvastatin,M010_B0033,2028-09-05
M010,Atorvastatin,M010_B0034,2028-08-12
M010,Atorvastatin,M010_B0035,2028-10-04
M010,Atorvastatin,M010_B0036,2028-02-14
M010,Atorvastatin,M010_B0037,2028-11-13
M010,Atorvastatin,M010_B0038,2028-12-02
M010,Atorvastatin,M010_B0039,2028-03-14
M010,Atorvastatin,M010_B0040,2028-04-01
M010,Atorvastatin,M010_B0041,2028-06-03
M010,Atorvastatin,M010_B0042,2029-02-23
M010,Atorvastatin,M010_B0043,2028-07-19
M010,Atorvastatin,M010_B0044,2028-11-09
M010,Atorvastatin,M010_B0045,2029-02-08
M010,Atorvastatin,M010_B0046,2028-04-28
M010,Atorvastatin,M010_B0047,2028-05-23
M010,Atorvastatin,M010_B0048,2029-04-12
M010,Atorvastatin,M010_B0049,2028-09-30
M010,Atorvastatin,M010_B0050,2028-12-27
M010,Atorvastatin,M010_B0051,2028-09-04
M010,Atorvastatin,M010_B0052,2029-02-20
M010,Atorvastatin,M010_B0053,2028-11-27
M010,Atorvastatin,M010_B0054,2029-01-09
M010,Atorvastatin,M010_B0055,2029-03-02
M010,Atorvastatin,M010_B0056,2028-12-18
M010,Atorvastatin,M010_B0057,2029-02-16
M010,Atorvastatin,M010_B0058,2029-06-06
M010,Atorvastatin,M010_B0059,2029-11-02
M010,Atorvastatin,M010_B0060,2029-11-04
M010,Atorvastatin,M010_B0061,2028-12-18
M010,Atorvastatin,M010_B0062,2029-08-28
M010,Atorvastatin,M010_B0063,2029-12-13
M010,Atorvastatin,M010_B0064,2029-09-06
M010,Atorvastatin,M010_B0065,2029-03-04
M010,Atorvastatin,M010_B0066,2030-02-07
M010,Atorvastatin,M010_B0067,2030-02-26
M010,Atorvastatin,M010_B0068,2029-12-05
M010,Atorvastatin,M010_B0069,2029-04-25
M010,Atorvastatin,M010_B0070,2029-08-10
M010,Atorvastatin,M010_B0072,2029-12-02
M010,Atorvastatin,M010_B0073,2029-06-06
M010,Atorvastatin,M010_B0075,2029-09-02
M010,Atorvastatin,M010_B0081,2029-10-29
M010,Atorvastatin,M010_B0084,2030-02-17
