Medicine_ID,Medicine,Batch_ID,Expiry_Date
M013,Cephalexin 500mg,M013_B0026,2026-10-04
M013,Cephalexin 500mg,M013_B0068,2026-11-01
M013,Cephalexin 500mg,M013_B0072,2026-11-06
M013,Cephalexin 500mg,M013_B0077,2026-11-19
M013,Cephalexin 500mg,M013_B0036,2026-11-26
M013,Cephalexin 500mg,M013_B0078,2026-12-12
M013,Cephalexin 500mg,M013_B0059,2026-12-16
M013,Cephalexin 500mg,M013_B0088,2026-12-23
M013,Cephalexin 500mg,M013_B0050,2027-01-04
M013,Cephalexin 500mg,M013_B0066,2027-02-04
M013,Cephalexin 500mg,M013_B0065,2027-03-21
M013,Cephalexin 500mg,M013_B0014,2027-03-22
M013,Cephalexin 500mg,M013_B0027,2027-05-24
M013,Cephalexin 500mg,M013_B0069,2027-06-13
M013,Cephalexin 500mg,M013_B0031,2027-06-17
M013,Cephalexin 500mg,M013_B0064,2027-06-19
M013,Cephalexin 500mg,M013_B0057,2027-07-02
M013,Cephalexin 500mg,M013_B0003,2027-07-11
M013,Cephalexin 500mg,M013_B0083,2027-08-23
M013,Cephalexin 500mg,M013_B0043,2027-09-06
M013,Cephalexin 500mg,M013_B0008,2027-09-10
M013,Cephalexin 500mg,M013_B0047,2027-10-15
M013,Cephalexin 500mg,M013_B0041,2027-11-13
M013,Cephalexin 500mg,M013_B0038,2027-12-16
M013,Cephalexin 500mg,M013_B0030,2028-01-10
M013,Cephalexin 500mg,M013_B0087,2028-01-30
M013,Cephalexin 500mg,M013_B0062,2028-03-03
M013,Cephalexin 500mg,M013_B0016,2028-03-09
M013,Cephalexin 500mg,M013_B0005,2028-03-26
M013,Cephalexin 500mg,M013_B0086,2028-06-13
M013,Cephalexin 500mg,M013_B0001,2028-07-14
M013,Cephalexin 500mg,M013_B0071,2028-07-16
M013,Cephalexin 500mg,M013_B0032,2028-09-03
M013,Cephalexin 500mg,M013_B0021,2028-09-28
M013,Cephalexin 500mg,M013_B0007,2028-11-09
M013,Cephalexin 500mg,M013_B0092,2028-11-12
M013,Cephalexin 500mg,M013_B0028,2028-11-28
M013,Cephalexin 500mg,M013_B0025,2028-12-05
M013,Cephalexin 500mg,M013_B0091,2029-01-03
M013,Cephalexin 500mg,M013_B0013,2029-02-23
M013,Cephalexin 500mg,M013_B0081,2029-02-28
M013,Cephalexin 500mg,M013_B0061,2029-03-09
M013,Cephalexin 500mg,M013_B0017,2029-04-09
M013,Cephalexin 500mg,M013_B0082,2029-05-29
M013,Cephalexin 500mg,M013_B0018,2029-06-21
M013,Cephalexin 500mg,M013_B0022,2029-07-16
M013,Cephalexin 500mg,M013_B0090,2029-09-25
M013,Cephalexin 500mg,M013_B0029,2029-10-04
M013,Cephalexin 500mg,M013_B0056,2029-12-04
M013,Cephalexin 500mg,M013_B0055,2030-01-18
M013,Cephalexin 500mg,M013_B0045,2030-02-03
M013,Cephalexin 500mg,M013_B0080,2030-03-26
M013,Cephalexin 500mg,M013_B0074,2030-03-30
M013,Cephalexin 500mg,M013_B0048,2030-04-08
M013,Cephalexin 500mg,M013_B0054,2030-04-12
M013,Cephalexin 500mg,M013_B0085,2030-05-10
M013,Cephalexin 500mg,M013_B0084,2030-05-20
M013,Cephalexin 500mg,M013_B0009,2030-06-03
M013,Cephalexin 500mg,M013_B0040,2030-06-28
M013,Cephalexin 500mg,M013_B0051,2030-08-14
M013,Cephalexin 500mg,M013_B0019,2030-11-03
M013,Cephalexin 500mg,M013_B0073,2030-11-29
M013,Cephalexin 500mg,M013_B0063,2030-12-10
M013,Cephalexin 500mg,M013_B0033,2031-01-02
M013,Cephalexin 500mg,M013_B0002,2031-01-12
M013,Cephalexin 500mg,M013_B0067,2031-01-29
M013,Cephalexin 500mg,M013_B0011,2031-02-15
M013,Cephalexin 500mg,M013_B0058,2031-03-29
M013,Cephalexin 500mg,M013_B0079,2031-04-16
M013,Cephalexin 500mg,M013_B0035,2031-05-18
M013,Cephalexin 500mg,M013_B0046,2031-06-07
M013,Cephalexin 500mg,M013_B0076,2031-06-16
M013,Cephalexin 500mg,M013_B0070,2031-08-21
M013,Cephalexin 500mg,M013_B0023,2031-08-24
M013,Cephalexin 500mg,M013_B0010,2031-09-11
M013,Cephalexin 500mg,M013_B0053,2031-10-09
M013,Cephalexin 500mg,M013_B0004,2031-10-24
M013,Cephalexin 500mg,M013_B0015,2031-12-23
M013,Cephalexin 500mg,M013_B0024,2032-01-16
M013,Cephalexin 500mg,M013_B0012,2032-01-26
M013,Cephalexin 500mg,M013_B0006,2032-03-13
M013,Cephalexin 500mg,M013_B0075,2032-04-27
M013,Cephalexin 500mg,M013_B0089,2032-05-11
M013,Cephalexin 500mg,M013_B0049,2032-05-21
M013,Cephalexin 500mg,M013_B0034,2032-05-26
M013,Cephalexin 500mg,M013_B0039,2032-06-06
M013,Cephalexin 500mg,M013_B0044,2032-07-09
M013,Cephalexin 500mg,M013_B0052,2032-07-28
M013,Cephalexin 500mg,M013_B0060,2032-08-26
M013,Cephalexin 500mg,M013_B0042,2032-09-14
M013,Cephalexin 500mg,M013_B0037,2032-10-07
M013,Cephalexin 500mg,M013_B0020,2032-10-08
