Medicine_ID,Medicine,Batch_ID,Expiry_Date
M014,Insulin Lispro,M014_B0092,2026-10-03
M014,Insulin Lispro,M014_B0014,2026-10-13
M014,Insulin Lispro,M014_B0073,2026-12-17
M014,Insulin Lispro,M014_B0049,2026-12-25
M014,Insulin Lispro,M014_B0028,2027-03-19
M014,Insulin Lispro,M014_B0060,2027-03-22
M014,Insulin Lispro,M014_B0023,2027-03-28
M014,Insulin Lispro,M014_B0020,2027-03-30
M014,Insulin Lispro,M014_B0077,2027-05-25
M014,Insulin Lispro,M014_B0022,2027-06-04
M014,Insulin Lispro,M014_B0056,2027-06-27
M014,Insulin Lispro,M014_B0019,2028-01-03
M014,Insulin Lispro,M014_B0074,2028-01-25
M014,Insulin Lispro,M014_B0072,2028-02-09
M014,Insulin Lispro,M014_B0030,2028-02-13
M014,Insulin Lispro,M014_B0086,2028-03-02
M014,Insulin Lispro,M014_B0091,2028-06-24
M014,Insulin Lispro,M014_B0034,2028-07-08
M014,Insulin Lispro,M014_B0033,2028-07-10
M014,Insulin Lispro,M014_B0003,2028-08-30
M014,Insulin Lispro,M014_B0055,2028-09-03
M014,Insulin Lispro,M014_B0006,2028-10-11
M014,Insulin Lispro,M014_B0016,2028-12-18
M014,Insulin Lispro,M014_B0007,2029-01-06
M014,Insulin Lispro,M014_B0036,2029-03-03
M014,Insulin Lispro,M014_B0076,2029-03-29
M014,Insulin Lispro,M014_B0032,2029-04-21
M014,Insulin Lispro,M014_B0070,2029-04-29
M014,Insulin Lispro,M014_B0025,2029-05-15
M014,Insulin Lispro,M014_B0090,2029-05-25
M014,Insulin Lispro,M014_B0044,2029-07-10
M014,Insulin Lispro,M014_B0075,2029-07-15
M014,Insulin Lispro,M014_B0031,2029-08-03
M014,Insulin Lispro,M014_B0001,2029-09-16
M014,Insulin Lispro,M014_B0069,2029-10-25
M014,Insulin Lispro,M014_B0084,2029-11-14
M014,Insulin Lispro,M014_B0058,2029-11-15
M014,Insulin Lispro,M014_B0048,2029-12-07
M014,Insulin Lispro,M014_B0066,2030-01-08
M014,Insulin Lispro,M014_B0041,2030-01-13
M014,Insulin Lispro,M014_B0027,2030-02-13
M014,Insulin Lispro,M014_B0067,2030-02-23
M014,Insulin Lispro,M014_B0042,2030-03-21
M014,Insulin Lispro,M014_B0047,2030-04-19
M014,Insulin Lispro,M014_B0063,2030-04-19
M014,Insulin Lispro,M014_B0064,2030-04-29
M014,Insulin Lispro,M014_B0009,2030-04-30
M014,Insulin Lispro,M014_B0012,2030-06-07
M014,Insulin Lispro,M014_B0054,2030-06-26
M014,Insulin Lispro,M014_B0037,2030-07-23
M014,Insulin Lispro,M014_B0059,2030-09-06
M014,Insulin Lispro,M014_B0035,2030-09-13
M014,Insulin Lispro,M014_B0043,2030-10-20
M014,Insulin Lispro,M014_B0071,2030-11-19
M014,Insulin Lispro,M014_B0085,2030-12-08
M014,Insulin Lispro,M014_B0053,2030-12-20
M014,Insulin Lispro,M014_B0082,2030-12-22
M014,Insulin Lispro,M014_B0039,2030-12-25
M014,Insulin Lispro,M014_B0057,2031-01-24
M014,Insulin Lispro,M014_B0038,2031-01-28
M014,Insulin Lispro,M014_B0061,2031-02-08
M014,Insulin Lispro,M014_B0018,2031-03-16
M014,Insulin Lispro,M014_B0078,2031-03-17
M014,Insulin Lispro,M014_B0052,2031-03-23
M014,Insulin Lispro,M014_B0026,2031-04-06
M014,Insulin Lispro,M014_B0079,2031-05-02
M014,Insulin Lispro,M014_B0062,2031-05-19
M014,Insulin Lispro,M014_B0002,2031-07-07
M014,Insulin Lispro,M014_B0065,2031-08-04
M014,Insulin Lispro,M014_B0081,2031-08-10
M014,Insulin Lispro,M014_B0010,2031-09-05
M014,Insulin Lispro,M014_B0050,2031-10-01
M014,Insulin Lispro,M014_B0068,2031-10-30
M014,Insulin Lispro,M014_B0017,2031-11-16
M014,Insulin Lispro,M014_B0083,2031-11-28
M014,Insulin Lispro,M014_B0004,2032-02-05
M014,Insulin Lispro,M014_B0089,2032-02-08
M014,Insulin Lispro,M014_B0015,2032-02-13
M014,Insulin Lispro,M014_B0011,2032-02-14
M014,Insulin Lispro,M014_B0045,2032-02-21
M014,Insulin Lispro,M014_B0080,2032-03-21
M014,Insulin Lispro,M014_B0088,2032-03-27
M014,Insulin Lispro,M014_B0024,2032-04-19
M014,Insulin Lispro,M014_B0051,2032-04-24
M014,Insulin Lispro,M014_B0087,2032-05-31
M014,Insulin Lispro,M014_B0008,2032-06-22
M014,Insulin Lispro,M014_B0029,2032-07-18
M014,Insulin Lispro,M014_B0005,2032-07-27
M014,Insulin Lispro,M014_B0046,2032-08-10
M014,Insulin Lispro,M014_B0013,2032-08-28
M014,Insulin Lispro,M014_B0021,2032-09-24
M014,Insulin Lispro,M014_B0040,2032-09-25
