Medicine_ID,Medicine,Batch_ID,Expiry_Date
M015,Norepinephrine,M015_B0075,2026-10-09
M015,Norepinephrine,M015_B0013,2026-10-26
M015,Norepinephrine,M015_B0012,2026-11-20
M015,Norepinephrine,M015_B0052,2026-12-16
M015,Norepinephrine,M015_B0059,2027-04-05
M015,Norepinephrine,M015_B0056,2027-04-28
M015,Norepinephrine,M015_B0011,2027-05-02
M015,Norepinephrine,M015_B0081,2027-07-21
M015,Norepinephrine,M015_B0025,2027-07-30
M015,Norepinephrine,M015_B0035,2027-09-27
M015,Norepinephrine,M015_B0023,2027-10-11
M015,Norepinephrine,M015_B0092,2027-10-23
M015,Norepinephrine,M015_B0033,2027-11-24
M015,Norepinephrine,M015_B0072,2027-12-03
M015,Norepinephrine,M015_B0032,2027-12-17
M015,Norepinephrine,M015_B0073,2027-12-17
M015,Norepinephrine,M015_B0026,2027-12-23
M015,Norepinephrine,M015_B0005,2028-01-02
M015,Norepinephrine,M015_B0044,2028-01-20
M015,Norepinephrine,M015_B0070,2028-02-01
M015,Norepinephrine,M015_B0080,2028-02-11
M015,Norepinephrine,M015_B0002,2028-02-29
M015,Norepinephrine,M015_B0083,2028-03-31
M015,Norepinephrine,M015_B0087,2028-04-09
M015,Norepinephrine,M015_B0086,2028-05-17
M015,Norepinephrine,M015_B0078,2028-06-10
M015,Norepinephrine,M015_B0042,2028-06-22
M015,Norepinephrine,M015_B0028,2028-06-30
M015,Norepinephrine,M015_B0071,2028-07-04
M015,Norepinephrine,M015_B0038,2028-07-25
M015,Norepinephrine,M015_B0069,2028-09-04
M015,Norepinephrine,M015_B0061,2028-09-14
M015,Norepinephrine,M015_B0003,2028-10-01
M015,Norepinephrine,M015_B0036,2028-11-04
M015,Norepinephrine,M015_B0045,2028-12-24
M015,Norepinephrine,M015_B0006,2029-01-04
M015,Norepinephrine,M015_B0015,2029-01-06
M015,Norepinephrine,M015_B0018,2029-01-16
M015,Norepinephrine,M015_B0068,2029-01-16
M015,Norepinephrine,M015_B0057,2029-01-30
M015,Norepinephrine,M015_B0074,2029-05-21
M015,Norepinephrine,M015_B0050,2029-05-28
M015,Norepinephrine,M015_B0063,2029-06-09
M015,Norepinephrine,M015_B0019,2029-06-11
M015,Norepinephrine,M015_B0031,2029-10-05
M015,Norepinephrine,M015_B0030,2029-10-13
M015,Norepinephrine,M015_B0090,2029-10-21
M015,Norepinephrine,M015_B0037,2029-11-24
M015,Norepinephrine,M015_B0089,2029-12-16
M015,Norepinephrine,M015_B0051,2029-12-28
M015,Norepinephrine,M015_B0067,2029-12-29
M015,Norepinephrine,M015_B0084,2030-01-18
M015,Norepinephrine,M015_B0008,2030-02-13
M015,Norepinephrine,M015_B0009,2030-03-16
M015,Norepinephrine,M015_B0079,2030-04-09
M015,Norepinephrine,M015_B0014,2030-05-01
M015,Norepinephrine,M015_B0020,2030-06-20
M015,Norepinephrine,M015_B0064,2030-06-23
M015,Norepinephrine,M015_B0085,2030-06-29
M015,Norepinephrine,M015_B0034,2030-07-20
M015,Norepinephrine,M015_B0076,2030-08-01
M015,Norepinephrine,M015_B0022,2030-08-06
M015,Norepinephrine,M015_B0058,2030-11-09
M015,Norepinephrine,M015_B0029,2030-12-26
M015,Norepinephrine,M015_B0060,2031-01-15
M015,Norepinephrine,M015_B0077,2031-02-24
M015,Norepinephrine,M015_B0040,2031-03-29
M015,Norepinephrine,M015_B0001,2031-04-26
M015,Norepinephrine,M015_B0039,2031-05-01
M015,Norepinephrine,M015_B0043,2031-05-02
M015,Norepinephrine,M015_B0017,2031-06-26
M015,Norepinephrine,M015_B0010,2031-06-29
M015,Norepinephrine,M015_B0021,2031-07-04
M015,Norepinephrine,M015_B0027,2031-07-20
M015,Norepinephrine,M015_B0016,2031-08-29
M015,Norepinephrine,M015_B0055,2031-09-08
M015,Norepinephrine,M015_B0062,2031-09-19
M015,Norepinephrine,M015_B0053,2031-12-04
M015,Norepinephrine,M015_B0054,2031-12-30
M015,Norepinephrine,M015_B0091,2032-03-30
M015,Norepinephrine,M015_B0049,2032-04-16
M015,Norepinephrine,M015_B0065,2032-04-20
M015,Norepinephrine,M015_B0041,2032-04-25
M015,Norepinephrine,M015_B0004,2032-06-11
M015,Norepinephrine,M015_B0066,2032-06-19
M015,Norepinephrine,M015_B0082,2032-06-28
M015,Norepinephrine,M015_B0046,2032-07-16
M015,Norepinephrine,M015_B0047,2032-07-24
M015,Norepinephrine,M015_B0088,2032-07-29
M015,Norepinephrine,M015_B0048,2032-07-31
M015,Norepinephrine,M015_B0024,2032-09-09
M015,Norepinephrine,M015_B0007,2032-09-21
