Medicine_ID,Medicine,Batch_ID,Expiry_Date
M016,Terbutaline Inhaler,M016_B0010,2026-11-05
M016,Terbutaline Inhaler,M016_B0003,2026-11-07
M016,Terbutaline Inhaler,M016_B0074,2026-11-14
M016,Terbutaline Inhaler,M016_B0021,2026-12-11
M016,Terbutaline Inhaler,M016_B0008,2026-12-16
M016,Terbutaline Inhaler,M016_B0019,2026-12-26
M016,Terbutaline Inhaler,M016_B0068,2027-02-03
M016,Terbutaline Inhaler,M016_B0070,2027-02-07
M016,Terbutaline Inhaler,M016_B0025,2027-02-17
M016,Terbutaline Inhaler,M016_B0089,2027-02-17
M016,Terbutaline Inhaler,M016_B0024,2027-03-05
M016,Terbutaline Inhaler,M016_B0065,2027-03-22
M016,Terbutaline Inhaler,M016_B0060,2027-04-04
M016,Terbutaline Inhaler,M016_B0088,2027-04-27
M016,Terbutaline Inhaler,M016_B0061,2027-05-28
M016,Terbutaline Inhaler,M016_B0056,2027-06-17
M016,Terbutaline Inhaler,M016_B0036,2027-07-31
M016,Terbutaline Inhaler,M016_B0030,2027-09-17
M016,Terbutaline Inhaler,M016_B0059,2027-09-24
M016,Terbutaline Inhaler,M016_B0087,2027-10-18
M016,Terbutaline Inhaler,M016_B0045,2027-12-08
M016,Terbutaline Inhaler,M016_B0013,2027-12-12
M016,Terbutaline Inhaler,M016_B0086,2028-01-04
M016,Terbutaline Inhaler,M016_B0033,2028-02-23
M016,Terbutaline Inhaler,M016_B0035,2028-03-25
M016,Terbutaline Inhaler,M016_B0092,2028-05-03
M016,Terbutaline Inhaler,M016_B0016,2028-05-22
M016,Terbutaline Inhaler,M016_B0084,2028-06-14
M016,Terbutaline Inhaler,M016_B0005,2028-07-03
M016,Terbutaline Inhaler,M016_B0064,2028-07-04
M016,Terbutaline Inhaler,M016_B0041,2028-08-22
M016,Terbutaline Inhaler,M016_B0049,2028-08-27
M016,Terbutaline Inhaler,M016_B0023,2028-08-28
M016,Terbutaline Inhaler,M016_B0040,2028-09-04
M016,Terbutaline Inhaler,M016_B0067,2028-09-05
M016,Terbutaline Inhaler,M016_B0029,2028-11-14
M016,Terbutaline Inhaler,M016_B0026,2028-12-19
M016,Terbutaline Inhaler,M016_B0047,2029-02-04
M016,Terbutaline Inhaler,M016_B0055,2029-03-10
M016,Terbutaline Inhaler,M016_B0002,2029-08-02
M016,Terbutaline Inhaler,M016_B0044,2029-08-31
M016,Terbutaline Inhaler,M016_B0034,2029-10-25
M016,Terbutaline Inhaler,M016_B0069,2029-10-28
M016,Terbutaline Inhaler,M016_B0014,2029-11-23
M016,Terbutaline Inhaler,M016_B0009,2029-12-04
M016,Terbutaline Inhaler,M016_B0052,2030-01-03
M016,Terbutaline Inhaler,M016_B0027,2030-01-04
M016,Terbutaline Inhaler,M016_B0015,2030-01-28
M016,Terbutaline Inhaler,M016_B0007,2030-02-12
M016,Terbutaline Inhaler,M016_B0031,2030-03-08
M016,Terbutaline Inhaler,M016_B0066,2030-04-07
M016,Terbutaline Inhaler,M016_B0082,2030-04-14
M016,Terbutaline Inhaler,M016_B0032,2030-04-29
M016,Terbutaline Inhaler,M016_B0028,2030-06-17
M016,Terbutaline Inhaler,M016_B0053,2030-06-18
M016,Terbutaline Inhaler,M016_B0077,2030-06-23
M016,Terbutaline Inhaler,M016_B0018,2030-08-02
M016,Terbutaline Inhaler,M016_B0039,2030-08-03
M016,Terbutaline Inhaler,M016_B0048,2030-09-19
M016,Terbutaline Inhaler,M016_B0058,2030-09-20
M016,Terbutaline Inhaler,M016_B0075,2030-09-29
M016,Terbutaline Inhaler,M016_B0057,2030-11-10
M016,Terbutaline Inhaler,M016_B0081,2030-11-16
M016,Terbutaline Inhaler,M016_B0050,2030-12-20
M016,Terbutaline Inhaler,M016_B0001,2031-01-16
M016,Terbutaline Inhaler,M016_B0051,2031-01-21
M016,Terbutaline Inhaler,M016_B0022,2031-01-22
M016,Terbutaline Inhaler,M016_B0054,2031-02-19
M016,Terbutaline Inhaler,M016_B0071,2031-05-08
M016,Terbutaline Inhaler,M016_B0078,2031-05-18
M016,Terbutaline Inhaler,M016_B0083,2031-06-02
M016,Terbutaline Inhaler,M016_B0062,2031-06-09
M016,Terbutaline Inhaler,M016_B0043,2031-07-10
M016,Terbutaline Inhaler,M016_B0073,2031-08-31
M016,Terbutaline Inhaler,M016_B0090,2031-09-01
M016,Terbutaline Inhaler,M016_B0079,2031-09-04
M016,Terbutaline Inhaler,M016_B0085,2031-09-25
M016,Terbutaline Inhaler,M016_B0017,2031-09-27
M016,Terbutaline Inhaler,M016_B0006,2031-10-09
M016,Terbutaline Inhaler,M016_B0091,2031-10-22
M016,Terbutaline Inhaler,M016_B0012,2031-12-29
M016,Terbutaline Inhaler,M016_B0042,2032-03-02
M016,Terbutaline Inhaler,M016_B0038,2032-05-20
M016,Terbutaline Inhaler,M016_B0037,2032-06-06
M016,Terbutaline Inhaler,M016_B0004,2032-06-18
M016,Terbutaline Inhaler,M016_B0011,2032-06-20
M016,Terbutaline Inhaler,M016_B0076,2032-06-22
M016,Terbutaline Inhaler,M016_B0063,2032-06-28
M016,Terbutaline Inhaler,M016_B0072,2032-07-24
M016,Terbutaline Inhaler,M016_B0046,2032-08-20
M016,Terbutaline Inhaler,M016_B0080,2032-08-29
M016,Terbutaline Inhaler,M016_B0020,2032-09-26
