Medicine_ID,Medicine,Batch_ID,Expiry_Date
M017,Fentanyl Patch,M017_B0055,2026-12-27
M017,Fentanyl Patch,M017_B0060,2027-01-31
M017,Fentanyl Patch,M017_B0039,2027-02-01
M017,Fentanyl Patch,M017_B0008,2027-02-07
M017,Fentanyl Patch,M017_B0042,2027-02-22
M017,Fentanyl Patch,M017_B0043,2027-03-03
M017,Fentanyl Patch,M017_B0057,2027-04-15
M017,Fentanyl Patch,M017_B0003,2027-04-17
M017,Fentanyl Patch,M017_B0064,2027-04-26
M017,Fentanyl Patch,M017_B0031,2027-05-06
M017,Fentanyl Patch,M017_B0067,2027-05-13
M017,Fentanyl Patch,M017_B0075,2027-05-29
M017,Fentanyl Patch,M017_B0092,2027-06-19
M017,Fentanyl Patch,M017_B0004,2027-07-16
M017,Fentanyl Patch,M017_B0087,2027-09-14
M017,Fentanyl Patch,M017_B0026,2027-10-30
M017,Fentanyl Patch,M017_B0078,2027-11-23
M017,Fentanyl Patch,M017_B0091,2028-01-17
M017,Fentanyl Patch,M017_B0079,2028-01-19
M017,Fentanyl Patch,M017_B0090,2028-01-30
M017,Fentanyl Patch,M017_B0044,2028-02-12
M017,Fentanyl Patch,M017_B0085,2028-02-13
M017,Fentanyl Patch,M017_B0061,2028-04-05
M017,Fentanyl Patch,M017_B0080,2028-04-12
M017,Fentanyl Patch,M017_B0074,2028-05-30
M017,Fentanyl Patch,M017_B0027,2028-07-19
M017,Fentanyl Patch,M017_B0045,2028-12-29
M017,Fentanyl Patch,M017_B0033,2029-01-31
M017,Fentanyl Patch,M017_B0072,2029-02-23
M017,Fentanyl Patch,M017_B0014,2029-02-25
M017,Fentanyl Patch,M017_B0071,2029-02-25
M017,Fentanyl Patch,M017_B0068,2029-03-01
M017,Fentanyl Patch,M017_B0040,2029-03-14
M017,Fentanyl Patch,M017_B0020,2029-03-15
M017,Fentanyl Patch,M017_B0007,2029-04-12
M017,Fentanyl Patch,M017_B0046,2029-04-12
M017,Fentanyl Patch,M017_B0023,2029-04-18
M017,Fentanyl Patch,M017_B0005,2029-04-26
M017,Fentanyl Patch,M017_B0036,2029-05-02
M017,Fentanyl Patch,M017_B0006,2029-06-22
M017,Fentanyl Patch,M017_B0077,2029-06-28
M017,Fentanyl Patch,M017_B0066,2029-07-08
M017,Fentanyl Patch,M017_B0083,2029-08-08
M017,Fentanyl Patch,M017_B0053,2029-08-18
M017,Fentanyl Patch,M017_B0073,2029-08-22
M017,Fentanyl Patch,M017_B0032,2029-09-01
M017,Fentanyl Patch,M017_B0017,2029-09-04
M017,Fentanyl Patch,M017_B0086,2029-10-04
M017,Fentanyl Patch,M017_B0034,2030-01-31
M017,Fentanyl Patch,M017_B0076,2030-02-05
M017,Fentanyl Patch,M017_B0001,2030-03-05
M017,Fentanyl Patch,M017_B0015,2030-03-28
M017,Fentanyl Patch,M017_B0065,2030-06-05
M017,Fentanyl Patch,M017_B0063,2030-06-17
M017,Fentanyl Patch,M017_B0052,2030-07-13
M017,Fentanyl Patch,M017_B0018,2030-08-14
M017,Fentanyl Patch,M017_B0030,2030-08-26
M017,Fentanyl Patch,M017_B0012,2030-10-13
M017,Fentanyl Patch,M017_B0010,2030-11-02
M017,Fentanyl Patch,M017_B0082,2030-11-14
M017,Fentanyl Patch,M017_B0002,2030-12-04
M017,Fentanyl Patch,M017_B0048,2031-01-11
M017,Fentanyl Patch,M017_B0069,2031-02-02
M017,Fentanyl Patch,M017_B0070,2031-03-05
M017,Fentanyl Patch,M017_B0056,2031-03-11
M017,Fentanyl Patch,M017_B0022,2031-04-11
M017,Fentanyl Patch,M017_B0038,2031-05-06
M017,Fentanyl Patch,M017_B0041,2031-05-08
M017,Fentanyl Patch,M017_B0016,2031-05-10
M017,Fentanyl Patch,M017_B0088,2031-06-28
M017,Fentanyl Patch,M017_B0050,2031-07-27
M017,Fentanyl Patch,M017_B0029,2031-08-07
M017,Fentanyl Patch,M017_B0047,2031-08-08
M017,Fentanyl Patch,M017_B0011,2031-09-06
M017,Fentanyl Patch,M017_B0013,2031-09-15
M017,Fentanyl Patch,M017_B0058,2031-10-04
M017,Fentanyl Patch,M017_B0081,2031-11-04
M017,Fentanyl Patch,M017_B0051,2031-11-08
M017,Fentanyl Patch,M017_B0028,2031-12-29
M017,Fentanyl Patch,M017_B0019,2032-01-09
M017,Fentanyl Patch,M017_B0035,2032-02-19
M017,Fentanyl Patch,M017_B0059,2032-03-13
M017,Fentanyl Patch,M017_B0054,2032-03-19
M017,Fentanyl Patch,M017_B0025,2032-04-20
M017,Fentanyl Patch,M017_B0084,2032-05-15
M017,Fentanyl Patch,M017_B0009,2032-05-17
M017,Fentanyl Patch,M017_B0089,2032-06-25
M017,Fentanyl Patch,M017_B0049,2032-07-24
M017,Fentanyl Patch,M017_B0024,2032-08-10
M017,Fentanyl Patch,M017_B0062,2032-08-22
M017,Fentanyl Patch,M017_B0021,2032-09-18
M017,Fentanyl Patch,M017_B0037,2032-09-30
