Medicine_ID,Medicine,Batch_ID,Expiry_Date
M018,Clopidogrel 75mg,M018_B0023,2026-11-03
M018,Clopidogrel 75mg,M018_B0002,2026-12-13
M018,Clopidogrel 75mg,M018_B0029,2027-03-13
M018,Clopidogrel 75mg,M018_B0027,2027-04-22
M018,Clopidogrel 75mg,M018_B0073,2027-05-15
M018,Clopidogrel 75mg,M018_B0089,2027-05-20
M018,Clopidogrel 75mg,M018_B0016,2027-05-26
M018,Clopidogrel 75mg,M018_B0062,2027-06-11
M018,Clopidogrel 75mg,M018_B0044,2027-06-14
M018,Clopidogrel 75mg,M018_B0079,2027-08-01
M018,Clopidogrel 75mg,M018_B0010,2027-08-04
M018,Clopidogrel 75mg,M018_B0014,2027-08-14
M018,Clopidogrel 75mg,M018_B0021,2027-08-22
M018,Clopidogrel 75mg,M018_B0056,2027-12-07
M018,Clopidogrel 75mg,M018_B0045,2027-12-09
M018,Clopidogrel 75mg,M018_B0015,2027-12-16
M018,Clopidogrel 75mg,M018_B0036,2027-12-31
M018,Clopidogrel 75mg,M018_B0082,2028-01-14
M018,Clopidogrel 75mg,M018_B0052,2028-02-22
M018,Clopidogrel 75mg,M018_B0008,2028-02-23
M018,Clopidogrel 75mg,M018_B0091,2028-04-12
M018,Clopidogrel 75mg,M018_B0070,2028-04-25
M018,Clopidogrel 75mg,M018_B0071,2028-05-18
M018,Clopidogrel 75mg,M018_B0086,2028-05-23
M018,Clopidogrel 75mg,M018_B0053,2028-06-03
M018,Clopidogrel 75mg,M018_B0037,2028-06-27
M018,Clopidogrel 75mg,M018_B0048,2028-07-12
M018,Clopidogrel 75mg,M018_B0050,2028-08-12
M018,Clopidogrel 75mg,M018_B0088,2028-08-18
M018,Clopidogrel 75mg,M018_B0065,2028-08-31
M018,Clopidogrel 75mg,M018_B0047,2028-10-16
M018,Clopidogrel 75mg,M018_B0067,2028-11-06
M018,Clopidogrel 75mg,M018_B0075,2028-11-14
M018,Clopidogrel 75mg,M018_B0006,2028-12-20
M018,Clopidogrel 75mg,M018_B0069,2029-01-01
M018,Clopidogrel 75mg,M018_B0018,2029-02-25
M018,Clopidogrel 75mg,M018_B0080,2029-03-01
M018,Clopidogrel 75mg,M018_B0087,2029-04-20
M018,Clopidogrel 75mg,M018_B0083,2029-05-15
M018,Clopidogrel 75mg,M018_B0007,2029-06-06
M018,Clopidogrel 75mg,M018_B0055,2029-06-13
M018,Clopidogrel 75mg,M018_B0001,2029-07-05
M018,Clopidogrel 75mg,M018_B0035,2029-09-02
M018,Clopidogrel 75mg,M018_B0019,2029-09-06
M018,Clopidogrel 75mg,M018_B0074,2029-09-08
M018,Clopidogrel 75mg,M018_B0057,2029-09-15
M018,Clopidogrel 75mg,M018_B0077,2029-10-07
M018,Clopidogrel 75mg,M018_B0038,2029-10-17
M018,Clopidogrel 75mg,M018_B0017,2029-11-01
M018,Clopidogrel 75mg,M018_B0041,2029-11-22
M018,Clopidogrel 75mg,M018_B0034,2029-12-20
M018,Clopidogrel 75mg,M018_B0009,2030-03-11
M018,Clopidogrel 75mg,M018_B0003,2030-04-01
M018,Clopidogrel 75mg,M018_B0092,2030-04-05
M018,Clopidogrel 75mg,M018_B0025,2030-05-13
M018,Clopidogrel 75mg,M018_B0024,2030-06-04
M018,Clopidogrel 75mg,M018_B0020,2030-06-26
M018,Clopidogrel 75mg,M018_B0084,2030-08-10
M018,Clopidogrel 75mg,M018_B0033,2030-08-18
M018,Clopidogrel 75mg,M018_B0042,2030-09-02
M018,Clopidogrel 75mg,M018_B0051,2030-10-20
M018,Clopidogrel 75mg,M018_B0028,2030-10-27
M018,Clopidogrel 75mg,M018_B0090,2030-10-28
M018,Clopidogrel 75mg,M018_B0061,2030-11-28
M018,Clopidogrel 75mg,M018_B0004,2031-02-21
M018,Clopidogrel 75mg,M018_B0081,2031-03-20
M018,Clopidogrel 75mg,M018_B0085,2031-03-23
M018,Clopidogrel 75mg,M018_B0040,2031-04-12
M018,Clopidogrel 75mg,M018_B0032,2031-04-18
M018,Clopidogrel 75mg,M018_B0026,2031-05-06
M018,Clopidogrel 75mg,M018_B0066,2031-05-17
M018,Clopidogrel 75mg,M018_B0059,2031-06-01
M018,Clopidogrel 75mg,M018_B0058,2031-08-06
M018,Clopidogrel 75mg,M018_B0046,2031-09-28
M018,Clopidogrel 75mg,M018_B0049,2031-10-11
M018,Clopidogrel 75mg,M018_B0013,2031-11-11
M018,Clopidogrel 75mg,M018_B0031,2032-01-10
M018,Clopidogrel 75mg,M018_B0030,2032-01-28
M018,Clopidogrel 75mg,M018_B0011,2032-02-02
M018,Clopidogrel 75mg,M018_B0060,2032-03-05
M018,Clopidogrel 75mg,M018_B0064,2032-04-02
M018,Clopidogrel 75mg,M018_B0068,2032-04-10
M018,Clopidogrel 75mg,M018_B0072,2032-04-13
M018,Clopidogrel 75mg,M018_B0076,2032-04-28
M018,Clopidogrel 75mg,M018_B0043,2032-05-08
M018,Clopidogrel 75mg,M018_B0005,2032-06-14
M018,Clopidogrel 75mg,M018_B0054,2032-07-03
M018,Clopidogrel 75mg,M018_B0063,2032-07-06
M018,Clopidogrel 75mg,M018_B0078,2032-07-31
M018,Clopidogrel 75mg,M018_B0012,2032-08-05
M018,Clopidogrel 75mg,M018_B0022,2032-08-31
M018,Clopidogrel 75mg,M018_B0039,2032-09-21
