Medicine_ID,Medicine,Batch_ID,Expiry_Date
M019,Glipizide 5mg,M019_B0069,2026-11-07
M019,Glipizide 5mg,M019_B0087,2026-11-12
M019,Glipizide 5mg,M019_B0085,2026-12-22
M019,Glipizide 5mg,M019_B0014,2027-01-27
M019,Glipizide 5mg,M019_B0055,2027-02-18
M019,Glipizide 5mg,M019_B0065,2027-02-18
M019,Glipizide 5mg,M019_B0091,2027-03-20
M019,Glipizide 5mg,M019_B0073,2027-04-28
M019,Glipizide 5mg,M019_B0018,2027-05-05
M019,Glipizide 5mg,M019_B0078,2027-07-09
M019,Glipizide 5mg,M019_B0050,2027-09-03
M019,Glipizide 5mg,M019_B0016,2027-10-06
M019,Glipizide 5mg,M019_B0013,2027-10-17
M019,Glipizide 5mg,M019_B0030,2027-10-28
M019,Glipizide 5mg,M019_B0028,2027-11-28
M019,Glipizide 5mg,M019_B0026,2027-12-09
M019,Glipizide 5mg,M019_B0090,2028-01-03
M019,Glipizide 5mg,M019_B0089,2028-01-10
M019,Glipizide 5mg,M019_B0082,2028-04-11
M019,Glipizide 5mg,M019_B0076,2028-04-18
M019,Glipizide 5mg,M019_B0081,2028-05-03
M019,Glipizide 5mg,M019_B0084,2028-08-18
M019,Glipizide 5mg,M019_B0031,2028-09-05
M019,Glipizide 5mg,M019_B0003,2028-09-21
M019,Glipizide 5mg,M019_B0063,2028-10-08
M019,Glipizide 5mg,M019_B0015,2028-11-09
M019,Glipizide 5mg,M019_B0067,2028-11-28
M019,Glipizide 5mg,M019_B0066,2028-12-10
M019,Glipizide 5mg,M019_B0009,2029-02-15
M019,Glipizide 5mg,M019_B0029,2029-03-02
M019,Glipizide 5mg,M019_B0059,2029-03-11
M019,Glipizide 5mg,M019_B0053,2029-03-25
M019,Glipizide 5mg,M019_B0044,2029-03-31
M019,Glipizide 5mg,M019_B0036,2029-05-03
M019,Glipizide 5mg,M019_B0061,2029-07-23
M019,Glipizide 5mg,M019_B0024,2029-08-02
M019,Glipizide 5mg,M019_B0032,2029-08-15
M019,Glipizide 5mg,M019_B0037,2029-08-21
M019,Glipizide 5mg,M019_B0051,2029-08-29
M019,Glipizide 5mg,M019_B0079,2029-09-08
M019,Glipizide 5mg,M019_B0033,2029-09-17
M019,Glipizide 5mg,M019_B0012,2029-09-19
M019,Glipizide 5mg,M019_B0049,2029-09-20
M019,Glipizide 5mg,M019_B0001,2029-10-15
M019,Glipizide 5mg,M019_B0006,2029-10-24
M019,Glipizide 5mg,M019_B0047,2029-12-01
M019,Glipizide 5mg,M019_B0002,2029-12-11
M019,Glipizide 5mg,M019_B0048,2030-01-04
M019,Glipizide 5mg,M019_B0062,2030-02-02
M019,Glipizide 5mg,M019_B0023,2030-03-18
M019,Glipizide 5mg,M019_B0038,2030-03-24
M019,Glipizide 5mg,M019_B0045,2030-04-03
M019,Glipizide 5mg,M019_B0040,2030-04-18
M019,Glipizide 5mg,M019_B0019,2030-04-21
M019,Glipizide 5mg,M019_B0020,2030-05-28
M019,Glipizide 5mg,M019_B0008,2030-06-10
M019,Glipizide 5mg,M019_B0041,2030-08-12
M019,Glipizide 5mg,M019_B0072,2030-08-12
M019,Glipizide 5mg,M019_B0092,2030-08-30
M019,Glipizide 5mg,M019_B0027,2030-09-09
M019,Glipizide 5mg,M019_B0057,2030-09-29
M019,Glipizide 5mg,M019_B0077,2030-11-17
M019,Glipizide 5mg,M019_B0034,2030-11-20
M019,Glipizide 5mg,M019_B0042,2030-11-22
M019,Glipizide 5mg,M019_B0022,2030-12-10
M019,Glipizide 5mg,M019_B0007,2030-12-29
M019,Glipizide 5mg,M019_B0080,2031-01-18
M019,Glipizide 5mg,M019_B0075,2031-02-02
M019,Glipizide 5mg,M019_B0017,2031-02-03
M019,Glipizide 5mg,M019_B0010,2031-03-21
M019,Glipizide 5mg,M019_B0046,2031-07-01
M019,Glipizide 5mg,M019_B0060,2031-07-03
M019,Glipizide 5mg,M019_B0054,2031-07-20
M019,Glipizide 5mg,M019_B0071,2031-08-01
M019,Glipizide 5mg,M019_B0011,2031-08-30
M019,Glipizide 5mg,M019_B0058,2031-09-20
M019,Glipizide 5mg,M019_B0025,2031-09-29
M019,Glipizide 5mg,M019_B0004,2031-11-15
M019,Glipizide 5mg,M019_B0052,2031-12-21
M019,Glipizide 5mg,M019_B0068,2032-01-06
M019,Glipizide 5mg,M019_B0035,2032-01-13
M019,Glipizide 5mg,M019_B0056,2032-01-27
M019,Glipizide 5mg,M019_B0083,2032-02-08
M019,Glipizide 5mg,M019_B0088,2032-02-18
M019,Glipizide 5mg,M019_B0064,2032-02-22
M019,Glipizide 5mg,M019_B0043,2032-03-22
M019,Glipizide 5mg,M019_B0070,2032-07-06
M019,Glipizide 5mg,M019_B0021,2032-07-23
M019,Glipizide 5mg,M019_B0039,2032-07-28
M019,Glipizide 5mg,M019_B0005,2032-07-29
M019,Glipizide 5mg,M019_B0074,2032-08-08
M019,Glipizide 5mg,M019_B0086,2032-08-16
