Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital A,M001,Paracetamol,73
2025-01-13,Hospital A,M001,Paracetamol,68
2025-01-20,Hospital A,M001,Paracetamol,138
2025-01-27,Hospital A,M001,Paracetamol,142
2025-02-03,Hospital A,M001,Paracetamol,160
2025-02-10,Hospital A,M001,Paracetamol,180
2025-02-17,Hospital A,M001,Paracetamol,193
2025-02-24,Hospital A,M001,Paracetamol,192
2025-03-03,Hospital A,M001,Paracetamol,122
2025-03-10,Hospital A,M001,Paracetamol,120
2025-03-17,Hospital A,M001,Paracetamol,110
2025-03-24,Hospital A,M001,Paracetamol,78
2025-03-31,Hospital A,M001,Paracetamol,40
2025-04-07,Hospital A,M001,Paracetamol,14
2025-04-14,Hospital A,M001,Paracetamol,23
2025-04-21,Hospital A,M001,Paracetamol,15
2025-04-28,Hospital A,M001,Paracetamol,18
2025-05-05,Hospital A,M001,Paracetamol,24
2025-05-12,Hospital A,M001,Paracetamol,37
2025-05-19,Hospital A,M001,Paracetamol,33
2025-05-26,Hospital A,M001,Paracetamol,44
2025-06-02,Hospital A,M001,Paracetamol,12
2025-06-09,Hospital A,M001,Paracetamol,7
2025-06-16,Hospital A,M001,Paracetamol,7
2025-06-23,Hospital A,M001,Paracetamol,10
2025-06-30,Hospital A,M001,Paracetamol,14
2025-07-07,Hospital A,M001,Paracetamol,30
2025-07-14,Hospital A,M001,Paracetamol,28
2025-07-21,Hospital A,M001,Paracetamol,27
2025-07-28,Hospital A,M001,Paracetamol,28
2025-08-04,Hospital A,M001,Paracetamol,44
2025-08-11,Hospital A,M001,Paracetamol,49
2025-08-18,Hospital A,M001,Paracetamol,37
2025-08-25,Hospital A,M001,Paracetamol,55
2025-09-01,Hospital A,M001,Paracetamol,55
2025-09-08,Hospital A,M001,Paracetamol,47
2025-09-15,Hospital A,M001,Paracetamol,35
2025-09-22,Hospital A,M001,Paracetamol,58
2025-09-29,Hospital A,M001,Paracetamol,33
2025-10-06,Hospital A,M001,Paracetamol,38
2025-10-13,Hospital A,M001,Paracetamol,51
2025-10-20,Hospital A,M001,Paracetamol,60
2025-10-27,Hospital A,M001,Paracetamol,52
2025-11-03,Hospital A,M001,Paracetamol,49
2025-11-10,Hospital A,M001,Paracetamol,41
2025-11-17,Hospital A,M001,Paracetamol,24
2025-11-24,Hospital A,M001,Paracetamol,41
2025-12-01,Hospital A,M001,Paracetamol,21
2025-12-08,Hospital A,M001,Paracetamol,30
2025-12-15,Hospital A,M001,Paracetamol,2
2025-12-22,Hospital A,M001,Paracetamol,24
2025-12-29,Hospital A,M001,Paracetamol,38
2026-01-05,Hospital A,M001,Paracetamol,40
2026-01-12,Hospital A,M001,Paracetamol,10
2026-01-19,Hospital A,M001,Paracetamol,17
2026-01-26,Hospital A,M001,Paracetamol,21
2026-02-02,Hospital A,M001,Paracetamol,13
2026-02-09,Hospital A,M001,Paracetamol,5
2026-02-16,Hospital A,M001,Paracetamol,16
2026-02-23,Hospital A,M001,Paracetamol,11
2026-03-02,Hospital A,M001,Paracetamol,7
2026-03-09,Hospital A,M001,Paracetamol,52
