Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital A,M002,Ibuprofen,64
2025-01-13,Hospital A,M002,Ibuprofen,81
2025-01-20,Hospital A,M002,Ibuprofen,69
2025-01-27,Hospital A,M002,Ibuprofen,73
2025-02-03,Hospital A,M002,Ibuprofen,71
2025-02-10,Hospital A,M002,Ibuprofen,79
2025-02-17,Hospital A,M002,Ibuprofen,94
2025-02-24,Hospital A,M002,Ibuprofen,111
2025-03-03,Hospital A,M002,Ibuprofen,112
2025-03-10,Hospital A,M002,Ibuprofen,81
2025-03-17,Hospital A,M002,Ibuprofen,63
2025-03-24,Hospital A,M002,Ibuprofen,39
2025-03-31,Hospital A,M002,Ibuprofen,10
2025-04-07,Hospital A,M002,Ibuprofen,4
2025-04-14,Hospital A,M002,Ibuprofen,20
2025-04-21,Hospital A,M002,Ibuprofen,3
2025-04-28,Hospital A,M002,Ibuprofen,28
2025-05-05,Hospital A,M002,Ibuprofen,18
2025-05-12,Hospital A,M002,Ibuprofen,24
2025-05-19,Hospital A,M002,Ibuprofen,8
2025-05-26,Hospital A,M002,Ibuprofen,23
2025-06-02,Hospital A,M002,Ibuprofen,8
2025-06-09,Hospital A,M002,Ibuprofen,2
2025-06-16,Hospital A,M002,Ibuprofen,14
2025-06-23,Hospital A,M002,Ibuprofen,10
2025-06-30,Hospital A,M002,Ibuprofen,1
2025-07-07,Hospital A,M002,Ibuprofen,13
2025-07-14,Hospital A,M002,Ibuprofen,23
2025-07-21,Hospital A,M002,Ibuprofen,22
2025-07-28,Hospital A,M002,Ibuprofen,26
2025-08-04,Hospital A,M002,Ibuprofen,36
2025-08-11,Hospital A,M002,Ibuprofen,15
2025-08-18,Hospital A,M002,Ibuprofen,9
2025-08-25,Hospital A,M002,Ibuprofen,43
2025-09-01,Hospital A,M002,Ibuprofen,47
2025-09-08,Hospital A,M002,Ibuprofen,32
2025-09-15,Hospital A,M002,Ibuprofen,29
2025-09-22,Hospital A,M002,Ibuprofen,32
2025-09-29,Hospital A,M002,Ibuprofen,17
2025-10-06,Hospital A,M002,Ibuprofen,24
2025-10-13,Hospital A,M002,Ibuprofen,26
2025-10-20,Hospital A,M002,Ibuprofen,12
2025-10-27,Hospital A,M002,Ibuprofen,35
2025-11-03,Hospital A,M002,Ibuprofen,5
2025-11-10,Hospital A,M002,Ibuprofen,17
2025-11-17,Hospital A,M002,Ibuprofen,2
2025-11-24,Hospital A,M002,Ibuprofen,15
2025-12-01,Hospital A,M002,Ibuprofen,10
2025-12-08,Hospital A,M002,Ibuprofen,29
2025-12-15,Hospital A,M002,Ibuprofen,32
2025-12-22,Hospital A,M002,Ibuprofen,45
2025-12-29,Hospital A,M002,Ibuprofen,59
2026-01-05,Hospital A,M002,Ibuprofen,42
2026-01-12,Hospital A,M002,Ibuprofen,40
2026-01-19,Hospital A,M002,Ibuprofen,15
2026-01-26,Hospital A,M002,Ibuprofen,34
2026-02-02,Hospital A,M002,Ibuprofen,26
2026-02-09,Hospital A,M002,Ibuprofen,0
2026-02-16,Hospital A,M002,Ibuprofen,0
2026-02-23,Hospital A,M002,Ibuprofen,1
2026-03-02,Hospital A,M002,Ibuprofen,0
2026-03-09,Hospital A,M002,Ibuprofen,29
