Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital A,M003,Amoxicillin,162
2025-01-13,Hospital A,M003,Amoxicillin,198
2025-01-20,Hospital A,M003,Amoxicillin,191
2025-01-27,Hospital A,M003,Amoxicillin,222
2025-02-03,Hospital A,M003,Amoxicillin,219
2025-02-10,Hospital A,M003,Amoxicillin,241
2025-02-17,Hospital A,M003,Amoxicillin,257
2025-02-24,Hospital A,M003,Amoxicillin,237
2025-03-03,Hospital A,M003,Amoxicillin,237
2025-03-10,Hospital A,M003,Amoxicillin,234
2025-03-17,Hospital A,M003,Amoxicillin,156
2025-03-24,Hospital A,M003,Amoxicillin,60
2025-03-31,Hospital A,M003,Amoxicillin,12
2025-04-07,Hospital A,M003,Amoxicillin,9
2025-04-14,Hospital A,M003,Amoxicillin,0
2025-04-21,Hospital A,M003,Amoxicillin,17
2025-04-28,Hospital A,M003,Amoxicillin,73
2025-05-05,Hospital A,M003,Amoxicillin,64
2025-05-12,Hospital A,M003,Amoxicillin,33
2025-05-19,Hospital A,M003,Amoxicillin,51
2025-05-26,Hospital A,M003,Amoxicillin,57
2025-06-02,Hospital A,M003,Amoxicillin,38
2025-06-09,Hospital A,M003,Amoxicillin,0
2025-06-16,Hospital A,M003,Amoxicillin,8
2025-06-23,Hospital A,M003,Amoxicillin,18
2025-06-30,Hospital A,M003,Amoxicillin,0
2025-07-07,Hospital A,M003,Amoxicillin,22
2025-07-14,Hospital A,M003,Amoxicillin,62
2025-07-21,Hospital A,M003,Amoxicillin,35
2025-07-28,Hospital A,M003,Amoxicillin,47
2025-08-04,Hospital A,M003,Amoxicillin,68
2025-08-11,Hospital A,M003,Amoxicillin,60
2025-08-18,Hospital A,M003,Amoxicillin,61
2025-08-25,Hospital A,M003,Amoxicillin,55
2025-09-01,Hospital A,M003,Amoxicillin,44
2025-09-08,Hospital A,M003,Amoxicillin,29
2025-09-15,Hospital A,M003,Amoxicillin,43
2025-09-22,Hospital A,M003,Amoxicillin,28
2025-09-29,Hospital A,M003,Amoxicillin,12
2025-10-06,Hospital A,M003,Amoxicillin,37
2025-10-13,Hospital A,M003,Amoxicillin,40
2025-10-20,Hospital A,M003,Amoxicillin,91
2025-10-27,Hospital A,M003,Amoxicillin,154
2025-11-03,Hospital A,M003,Amoxicillin,151
2025-11-10,Hospital A,M003,Amoxicillin,168
2025-11-17,Hospital A,M003,Amoxicillin,112
2025-11-24,Hospital A,M003,Amoxicillin,164
2025-12-01,Hospital A,M003,Amoxicillin,163
2025-12-08,Hospital A,M003,Amoxicillin,185
2025-12-15,Hospital A,M003,Amoxicillin,217
2025-12-22,Hospital A,M003,Amoxicillin,219
2025-12-29,Hospital A,M003,Amoxicillin,220
2026-01-05,Hospital A,M003,Amoxicillin,257
2026-01-12,Hospital A,M003,Amoxicillin,259
2026-01-19,Hospital A,M003,Amoxicillin,269
2026-01-26,Hospital A,M003,Amoxicillin,263
2026-02-02,Hospital A,M003,Amoxicillin,202
2026-02-09,Hospital A,M003,Amoxicillin,170
2026-02-16,Hospital A,M003,Amoxicillin,145
2026-02-23,Hospital A,M003,Amoxicillin,112
2026-03-02,Hospital A,M003,Amoxicillin,72
2026-03-09,Hospital A,M003,Amoxicillin,137
