Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital A,M004,Insulin,184
2025-01-13,Hospital A,M004,Insulin,169
2025-01-20,Hospital A,M004,Insulin,173
2025-01-27,Hospital A,M004,Insulin,185
2025-02-03,Hospital A,M004,Insulin,159
2025-02-10,Hospital A,M004,Insulin,156
2025-02-17,Hospital A,M004,Insulin,167
2025-02-24,Hospital A,M004,Insulin,161
2025-03-03,Hospital A,M004,Insulin,155
2025-03-10,Hospital A,M004,Insulin,127
2025-03-17,Hospital A,M004,Insulin,80
2025-03-24,Hospital A,M004,Insulin,10
2025-03-31,Hospital A,M004,Insulin,33
2025-04-07,Hospital A,M004,Insulin,22
2025-04-14,Hospital A,M004,Insulin,27
2025-04-21,Hospital A,M004,Insulin,37
2025-04-28,Hospital A,M004,Insulin,36
2025-05-05,Hospital A,M004,Insulin,37
2025-05-12,Hospital A,M004,Insulin,45
2025-05-19,Hospital A,M004,Insulin,54
2025-05-26,Hospital A,M004,Insulin,23
2025-06-02,Hospital A,M004,Insulin,6
2025-06-09,Hospital A,M004,Insulin,11
2025-06-16,Hospital A,M004,Insulin,10
2025-06-23,Hospital A,M004,Insulin,16
2025-06-30,Hospital A,M004,Insulin,15
2025-07-07,Hospital A,M004,Insulin,65
2025-07-14,Hospital A,M004,Insulin,55
2025-07-21,Hospital A,M004,Insulin,78
2025-07-28,Hospital A,M004,Insulin,85
2025-08-04,Hospital A,M004,Insulin,59
2025-08-11,Hospital A,M004,Insulin,23
2025-08-18,Hospital A,M004,Insulin,54
2025-08-25,Hospital A,M004,Insulin,56
2025-09-01,Hospital A,M004,Insulin,47
2025-09-08,Hospital A,M004,Insulin,71
2025-09-15,Hospital A,M004,Insulin,77
2025-09-22,Hospital A,M004,Insulin,76
2025-09-29,Hospital A,M004,Insulin,79
2025-10-06,Hospital A,M004,Insulin,119
2025-10-13,Hospital A,M004,Insulin,74
2025-10-20,Hospital A,M004,Insulin,74
2025-10-27,Hospital A,M004,Insulin,87
2025-11-03,Hospital A,M004,Insulin,46
2025-11-10,Hospital A,M004,Insulin,42
2025-11-17,Hospital A,M004,Insulin,12
2025-11-24,Hospital A,M004,Insulin,46
2025-12-01,Hospital A,M004,Insulin,39
2025-12-08,Hospital A,M004,Insulin,42
2025-12-15,Hospital A,M004,Insulin,48
2025-12-22,Hospital A,M004,Insulin,61
2025-12-29,Hospital A,M004,Insulin,23
2026-01-05,Hospital A,M004,Insulin,37
2026-01-12,Hospital A,M004,Insulin,78
2026-01-19,Hospital A,M004,Insulin,95
2026-01-26,Hospital A,M004,Insulin,77
2026-02-02,Hospital A,M004,Insulin,52
2026-02-09,Hospital A,M004,Insulin,83
2026-02-16,Hospital A,M004,Insulin,84
2026-02-23,Hospital A,M004,Insulin,104
2026-03-02,Hospital A,M004,Insulin,110
2026-03-09,Hospital A,M004,Insulin,120
