Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital A,M005,Epinephrine,99
2025-01-13,Hospital A,M005,Epinephrine,99
2025-01-20,Hospital A,M005,Epinephrine,81
2025-01-27,Hospital A,M005,Epinephrine,74
2025-02-03,Hospital A,M005,Epinephrine,65
2025-02-10,Hospital A,M005,Epinephrine,42
2025-02-17,Hospital A,M005,Epinephrine,25
2025-02-24,Hospital A,M005,Epinephrine,22
2025-03-03,Hospital A,M005,Epinephrine,14
2025-03-10,Hospital A,M005,Epinephrine,10
2025-03-17,Hospital A,M005,Epinephrine,29
2025-03-24,Hospital A,M005,Epinephrine,23
2025-03-31,Hospital A,M005,Epinephrine,53
2025-04-07,Hospital A,M005,Epinephrine,0
2025-04-14,Hospital A,M005,Epinephrine,15
2025-04-21,Hospital A,M005,Epinephrine,4
2025-04-28,Hospital A,M005,Epinephrine,59
2025-05-05,Hospital A,M005,Epinephrine,52
2025-05-12,Hospital A,M005,Epinephrine,45
2025-05-19,Hospital A,M005,Epinephrine,67
2025-05-26,Hospital A,M005,Epinephrine,45
2025-06-02,Hospital A,M005,Epinephrine,50
2025-06-09,Hospital A,M005,Epinephrine,49
2025-06-16,Hospital A,M005,Epinephrine,15
2025-06-23,Hospital A,M005,Epinephrine,8
2025-06-30,Hospital A,M005,Epinephrine,12
2025-07-07,Hospital A,M005,Epinephrine,36
2025-07-14,Hospital A,M005,Epinephrine,38
2025-07-21,Hospital A,M005,Epinephrine,34
2025-07-28,Hospital A,M005,Epinephrine,17
2025-08-04,Hospital A,M005,Epinephrine,44
2025-08-11,Hospital A,M005,Epinephrine,57
2025-08-18,Hospital A,M005,Epinephrine,58
2025-08-25,Hospital A,M005,Epinephrine,35
2025-09-01,Hospital A,M005,Epinephrine,51
2025-09-08,Hospital A,M005,Epinephrine,45
2025-09-15,Hospital A,M005,Epinephrine,43
2025-09-22,Hospital A,M005,Epinephrine,33
2025-09-29,Hospital A,M005,Epinephrine,28
2025-10-06,Hospital A,M005,Epinephrine,54
2025-10-13,Hospital A,M005,Epinephrine,64
2025-10-20,Hospital A,M005,Epinephrine,135
2025-10-27,Hospital A,M005,Epinephrine,200
2025-11-03,Hospital A,M005,Epinephrine,205
2025-11-10,Hospital A,M005,Epinephrine,153
2025-11-17,Hospital A,M005,Epinephrine,101
2025-11-24,Hospital A,M005,Epinephrine,89
2025-12-01,Hospital A,M005,Epinephrine,72
2025-12-08,Hospital A,M005,Epinephrine,78
2025-12-15,Hospital A,M005,Epinephrine,60
2025-12-22,Hospital A,M005,Epinephrine,50
2025-12-29,Hospital A,M005,Epinephrine,34
2026-01-05,Hospital A,M005,Epinephrine,51
2026-01-12,Hospital A,M005,Epinephrine,55
2026-01-19,Hospital A,M005,Epinephrine,42
2026-01-26,Hospital A,M005,Epinephrine,68
2026-02-02,Hospital A,M005,Epinephrine,64
2026-02-09,Hospital A,M005,Epinephrine,56
2026-02-16,Hospital A,M005,Epinephrine,60
2026-02-23,Hospital A,M005,Epinephrine,64
2026-03-02,Hospital A,M005,Epinephrine,84
2026-03-09,Hospital A,M005,Epinephrine,93
