Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital A,M007,Morphine,131
2025-01-13,Hospital A,M007,Morphine,118
2025-01-20,Hospital A,M007,Morphine,47
2025-01-27,Hospital A,M007,Morphine,2
2025-02-03,Hospital A,M007,Morphine,9
2025-02-10,Hospital A,M007,Morphine,41
2025-02-17,Hospital A,M007,Morphine,28
2025-02-24,Hospital A,M007,Morphine,39
2025-03-03,Hospital A,M007,Morphine,43
2025-03-10,Hospital A,M007,Morphine,48
2025-03-17,Hospital A,M007,Morphine,20
2025-03-24,Hospital A,M007,Morphine,41
2025-03-31,Hospital A,M007,Morphine,44
2025-04-07,Hospital A,M007,Morphine,29
2025-04-14,Hospital A,M007,Morphine,24
2025-04-21,Hospital A,M007,Morphine,54
2025-04-28,Hospital A,M007,Morphine,35
2025-05-05,Hospital A,M007,Morphine,34
2025-05-12,Hospital A,M007,Morphine,44
2025-05-19,Hospital A,M007,Morphine,49
2025-05-26,Hospital A,M007,Morphine,73
2025-06-02,Hospital A,M007,Morphine,27
2025-06-09,Hospital A,M007,Morphine,10
2025-06-16,Hospital A,M007,Morphine,6
2025-06-23,Hospital A,M007,Morphine,5
2025-06-30,Hospital A,M007,Morphine,35
2025-07-07,Hospital A,M007,Morphine,31
2025-07-14,Hospital A,M007,Morphine,47
2025-07-21,Hospital A,M007,Morphine,76
2025-07-28,Hospital A,M007,Morphine,87
2025-08-04,Hospital A,M007,Morphine,72
2025-08-11,Hospital A,M007,Morphine,50
2025-08-18,Hospital A,M007,Morphine,39
2025-08-25,Hospital A,M007,Morphine,53
2025-09-01,Hospital A,M007,Morphine,36
2025-09-08,Hospital A,M007,Morphine,58
2025-09-15,Hospital A,M007,Morphine,32
2025-09-22,Hospital A,M007,Morphine,58
2025-09-29,Hospital A,M007,Morphine,37
2025-10-06,Hospital A,M007,Morphine,49
2025-10-13,Hospital A,M007,Morphine,14
2025-10-20,Hospital A,M007,Morphine,88
2025-10-27,Hospital A,M007,Morphine,90
2025-11-03,Hospital A,M007,Morphine,91
2025-11-10,Hospital A,M007,Morphine,76
2025-11-17,Hospital A,M007,Morphine,82
2025-11-24,Hospital A,M007,Morphine,43
2025-12-01,Hospital A,M007,Morphine,38
2025-12-08,Hospital A,M007,Morphine,74
2025-12-15,Hospital A,M007,Morphine,135
2025-12-22,Hospital A,M007,Morphine,105
2025-12-29,Hospital A,M007,Morphine,19
2026-01-05,Hospital A,M007,Morphine,61
2026-01-12,Hospital A,M007,Morphine,49
2026-01-19,Hospital A,M007,Morphine,49
2026-01-26,Hospital A,M007,Morphine,42
2026-02-02,Hospital A,M007,Morphine,29
2026-02-09,Hospital A,M007,Morphine,20
2026-02-16,Hospital A,M007,Morphine,13
2026-02-23,Hospital A,M007,Morphine,26
2026-03-02,Hospital A,M007,Morphine,46
2026-03-09,Hospital A,M007,Morphine,100
