Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital A,M008,Aspirin,82
2025-01-13,Hospital A,M008,Aspirin,83
2025-01-20,Hospital A,M008,Aspirin,86
2025-01-27,Hospital A,M008,Aspirin,86
2025-02-03,Hospital A,M008,Aspirin,22
2025-02-10,Hospital A,M008,Aspirin,31
2025-02-17,Hospital A,M008,Aspirin,34
2025-02-24,Hospital A,M008,Aspirin,45
2025-03-03,Hospital A,M008,Aspirin,47
2025-03-10,Hospital A,M008,Aspirin,43
2025-03-17,Hospital A,M008,Aspirin,46
2025-03-24,Hospital A,M008,Aspirin,38
2025-03-31,Hospital A,M008,Aspirin,26
2025-04-07,Hospital A,M008,Aspirin,6
2025-04-14,Hospital A,M008,Aspirin,18
2025-04-21,Hospital A,M008,Aspirin,18
2025-04-28,Hospital A,M008,Aspirin,42
2025-05-05,Hospital A,M008,Aspirin,29
2025-05-12,Hospital A,M008,Aspirin,15
2025-05-19,Hospital A,M008,Aspirin,10
2025-05-26,Hospital A,M008,Aspirin,17
2025-06-02,Hospital A,M008,Aspirin,1
2025-06-09,Hospital A,M008,Aspirin,2
2025-06-16,Hospital A,M008,Aspirin,6
2025-06-23,Hospital A,M008,Aspirin,0
2025-06-30,Hospital A,M008,Aspirin,0
2025-07-07,Hospital A,M008,Aspirin,23
2025-07-14,Hospital A,M008,Aspirin,27
2025-07-21,Hospital A,M008,Aspirin,23
2025-07-28,Hospital A,M008,Aspirin,36
2025-08-04,Hospital A,M008,Aspirin,57
2025-08-11,Hospital A,M008,Aspirin,86
2025-08-18,Hospital A,M008,Aspirin,72
2025-08-25,Hospital A,M008,Aspirin,60
2025-09-01,Hospital A,M008,Aspirin,62
2025-09-08,Hospital A,M008,Aspirin,67
2025-09-15,Hospital A,M008,Aspirin,67
2025-09-22,Hospital A,M008,Aspirin,108
2025-09-29,Hospital A,M008,Aspirin,106
2025-10-06,Hospital A,M008,Aspirin,104
2025-10-13,Hospital A,M008,Aspirin,99
2025-10-20,Hospital A,M008,Aspirin,149
2025-10-27,Hospital A,M008,Aspirin,148
2025-11-03,Hospital A,M008,Aspirin,142
2025-11-10,Hospital A,M008,Aspirin,118
2025-11-17,Hospital A,M008,Aspirin,116
2025-11-24,Hospital A,M008,Aspirin,86
2025-12-01,Hospital A,M008,Aspirin,79
2025-12-08,Hospital A,M008,Aspirin,60
2025-12-15,Hospital A,M008,Aspirin,75
2025-12-22,Hospital A,M008,Aspirin,51
2025-12-29,Hospital A,M008,Aspirin,11
2026-01-05,Hospital A,M008,Aspirin,35
2026-01-12,Hospital A,M008,Aspirin,38
2026-01-19,Hospital A,M008,Aspirin,26
2026-01-26,Hospital A,M008,Aspirin,25
2026-02-02,Hospital A,M008,Aspirin,28
2026-02-09,Hospital A,M008,Aspirin,26
2026-02-16,Hospital A,M008,Aspirin,27
2026-02-23,Hospital A,M008,Aspirin,30
2026-03-02,Hospital A,M008,Aspirin,14
2026-03-09,Hospital A,M008,Aspirin,19
