Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital A,M009,Metformin,49
2025-01-13,Hospital A,M009,Metformin,89
2025-01-20,Hospital A,M009,Metformin,91
2025-01-27,Hospital A,M009,Metformin,89
2025-02-03,Hospital A,M009,Metformin,86
2025-02-10,Hospital A,M009,Metformin,89
2025-02-17,Hospital A,M009,Metformin,65
2025-02-24,Hospital A,M009,Metformin,50
2025-03-03,Hospital A,M009,Metformin,34
2025-03-10,Hospital A,M009,Metformin,24
2025-03-17,Hospital A,M009,Metformin,17
2025-03-24,Hospital A,M009,Metformin,56
2025-03-31,Hospital A,M009,Metformin,39
2025-04-07,Hospital A,M009,Metformin,32
2025-04-14,Hospital A,M009,Metformin,7
2025-04-21,Hospital A,M009,Metformin,15
2025-04-28,Hospital A,M009,Metformin,57
2025-05-05,Hospital A,M009,Metformin,66
2025-05-12,Hospital A,M009,Metformin,39
2025-05-19,Hospital A,M009,Metformin,40
2025-05-26,Hospital A,M009,Metformin,21
2025-06-02,Hospital A,M009,Metformin,5
2025-06-09,Hospital A,M009,Metformin,6
2025-06-16,Hospital A,M009,Metformin,14
2025-06-23,Hospital A,M009,Metformin,14
2025-06-30,Hospital A,M009,Metformin,12
2025-07-07,Hospital A,M009,Metformin,49
2025-07-14,Hospital A,M009,Metformin,45
2025-07-21,Hospital A,M009,Metformin,16
2025-07-28,Hospital A,M009,Metformin,39
2025-08-04,Hospital A,M009,Metformin,36
2025-08-11,Hospital A,M009,Metformin,66
2025-08-18,Hospital A,M009,Metformin,32
2025-08-25,Hospital A,M009,Metformin,8
2025-09-01,Hospital A,M009,Metformin,47
2025-09-08,Hospital A,M009,Metformin,21
2025-09-15,Hospital A,M009,Metformin,15
2025-09-22,Hospital A,M009,Metformin,50
2025-09-29,Hospital A,M009,Metformin,74
2025-10-06,Hospital A,M009,Metformin,42
2025-10-13,Hospital A,M009,Metformin,24
2025-10-20,Hospital A,M009,Metformin,94
2025-10-27,Hospital A,M009,Metformin,100
2025-11-03,Hospital A,M009,Metformin,81
2025-11-10,Hospital A,M009,Metformin,64
2025-11-17,Hospital A,M009,Metformin,60
2025-11-24,Hospital A,M009,Metformin,48
2025-12-01,Hospital A,M009,Metformin,49
2025-12-08,Hospital A,M009,Metformin,81
2025-12-15,Hospital A,M009,Metformin,69
2025-12-22,Hospital A,M009,Metformin,92
2025-12-29,Hospital A,M009,Metformin,116
2026-01-05,Hospital A,M009,Metformin,89
2026-01-12,Hospital A,M009,Metformin,75
2026-01-19,Hospital A,M009,Metformin,46
2026-01-26,Hospital A,M009,Metformin,54
2026-02-02,Hospital A,M009,Metformin,48
2026-02-09,Hospital A,M009,Metformin,25
2026-02-16,Hospital A,M009,Metformin,35
2026-02-23,Hospital A,M009,Metformin,30
2026-03-02,Hospital A,M009,Metformin,34
2026-03-09,Hospital A,M009,Metformin,68
