Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital A,M010,Atorvastatin,26
2025-01-13,Hospital A,M010,Atorvastatin,37
2025-01-20,Hospital A,M010,Atorvastatin,11
2025-01-27,Hospital A,M010,Atorvastatin,50
2025-02-03,Hospital A,M010,Atorvastatin,42
2025-02-10,Hospital A,M010,Atorvastatin,48
2025-02-17,Hospital A,M010,Atorvastatin,49
2025-02-24,Hospital A,M010,Atorvastatin,63
2025-03-03,Hospital A,M010,Atorvastatin,79
2025-03-10,Hospital A,M010,Atorvastatin,58
2025-03-17,Hospital A,M010,Atorvastatin,39
2025-03-24,Hospital A,M010,Atorvastatin,29
2025-03-31,Hospital A,M010,Atorvastatin,24
2025-04-07,Hospital A,M010,Atorvastatin,7
2025-04-14,Hospital A,M010,Atorvastatin,0
2025-04-21,Hospital A,M010,Atorvastatin,18
2025-04-28,Hospital A,M010,Atorvastatin,39
2025-05-05,Hospital A,M010,Atorvastatin,31
2025-05-12,Hospital A,M010,Atorvastatin,28
2025-05-19,Hospital A,M010,Atorvastatin,14
2025-05-26,Hospital A,M010,Atorvastatin,35
2025-06-02,Hospital A,M010,Atorvastatin,12
2025-06-09,Hospital A,M010,Atorvastatin,9
2025-06-16,Hospital A,M010,Atorvastatin,5
2025-06-23,Hospital A,M010,Atorvastatin,9
2025-06-30,Hospital A,M010,Atorvastatin,19
2025-07-07,Hospital A,M010,Atorvastatin,30
2025-07-14,Hospital A,M010,Atorvastatin,42
2025-07-21,Hospital A,M010,Atorvastatin,38
2025-07-28,Hospital A,M010,Atorvastatin,28
2025-08-04,Hospital A,M010,Atorvastatin,28
2025-08-11,Hospital A,M010,Atorvastatin,55
2025-08-18,Hospital A,M010,Atorvastatin,43
2025-08-25,Hospital A,M010,Atorvastatin,49
2025-09-01,Hospital A,M010,Atorvastatin,54
2025-09-08,Hospital A,M010,Atorvastatin,31
2025-09-15,Hospital A,M010,Atorvastatin,48
2025-09-22,Hospital A,M010,Atorvastatin,13
2025-09-29,Hospital A,M010,Atorvastatin,28
2025-10-06,Hospital A,M010,Atorvastatin,4
2025-10-13,Hospital A,M010,Atorvastatin,29
2025-10-20,Hospital A,M010,Atorvastatin,44
2025-10-27,Hospital A,M010,Atorvastatin,26
2025-11-03,Hospital A,M010,Atorvastatin,22
2025-11-10,Hospital A,M010,Atorvastatin,17
2025-11-17,Hospital A,M010,Atorvastatin,5
2025-11-24,Hospital A,M010,Atorvastatin,27
2025-12-01,Hospital A,M010,Atorvastatin,21
2025-12-08,Hospital A,M010,Atorvastatin,42
2025-12-15,Hospital A,M010,Atorvastatin,55
2025-12-22,Hospital A,M010,Atorvastatin,34
2025-12-29,Hospital A,M010,Atorvastatin,34
2026-01-05,Hospital A,M010,Atorvastatin,50
2026-01-12,Hospital A,M010,Atorvastatin,19
2026-01-19,Hospital A,M010,Atorvastatin,17
2026-01-26,Hospital A,M010,Atorvastatin,31
2026-02-02,Hospital A,M010,Atorvastatin,35
2026-02-09,Hospital A,M010,Atorvastatin,20
2026-02-16,Hospital A,M010,Atorvastatin,31
2026-02-23,Hospital A,M010,Atorvastatin,34
2026-03-02,Hospital A,M010,Atorvastatin,24
2026-03-09,Hospital A,M010,Atorvastatin,63
