Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital A,M013,Cephalexin 500mg,191
2025-01-13,Hospital A,M013,Cephalexin 500mg,197
2025-01-20,Hospital A,M013,Cephalexin 500mg,73
2025-01-27,Hospital A,M013,Cephalexin 500mg,126
2025-02-03,Hospital A,M013,Cephalexin 500mg,132
2025-02-10,Hospital A,M013,Cephalexin 500mg,64
2025-02-17,Hospital A,M013,Cephalexin 500mg,55
2025-02-24,Hospital A,M013,Cephalexin 500mg,41
2025-03-03,Hospital A,M013,Cephalexin 500mg,43
2025-03-10,Hospital A,M013,Cephalexin 500mg,32
2025-03-17,Hospital A,M013,Cephalexin 500mg,17
2025-03-24,Hospital A,M013,Cephalexin 500mg,7
2025-03-31,Hospital A,M013,Cephalexin 500mg,50
2025-04-07,Hospital A,M013,Cephalexin 500mg,9
2025-04-14,Hospital A,M013,Cephalexin 500mg,27
2025-04-21,Hospital A,M013,Cephalexin 500mg,51
2025-04-28,Hospital A,M013,Cephalexin 500mg,71
2025-05-05,Hospital A,M013,Cephalexin 500mg,75
2025-05-12,Hospital A,M013,Cephalexin 500mg,46
2025-05-19,Hospital A,M013,Cephalexin 500mg,21
2025-05-26,Hospital A,M013,Cephalexin 500mg,39
2025-06-02,Hospital A,M013,Cephalexin 500mg,15
2025-06-09,Hospital A,M013,Cephalexin 500mg,24
2025-06-16,Hospital A,M013,Cephalexin 500mg,14
2025-06-23,Hospital A,M013,Cephalexin 500mg,9
2025-06-30,Hospital A,M013,Cephalexin 500mg,10
2025-07-07,Hospital A,M013,Cephalexin 500mg,55
2025-07-14,Hospital A,M013,Cephalexin 500mg,79
2025-07-21,Hospital A,M013,Cephalexin 500mg,31
2025-07-28,Hospital A,M013,Cephalexin 500mg,55
2025-08-04,Hospital A,M013,Cephalexin 500mg,65
2025-08-11,Hospital A,M013,Cephalexin 500mg,49
2025-08-18,Hospital A,M013,Cephalexin 500mg,106
2025-08-25,Hospital A,M013,Cephalexin 500mg,114
2025-09-01,Hospital A,M013,Cephalexin 500mg,88
2025-09-08,Hospital A,M013,Cephalexin 500mg,62
2025-09-15,Hospital A,M013,Cephalexin 500mg,82
2025-09-22,Hospital A,M013,Cephalexin 500mg,75
2025-09-29,Hospital A,M013,Cephalexin 500mg,41
2025-10-06,Hospital A,M013,Cephalexin 500mg,64
2025-10-13,Hospital A,M013,Cephalexin 500mg,54
2025-10-20,Hospital A,M013,Cephalexin 500mg,58
2025-10-27,Hospital A,M013,Cephalexin 500mg,68
2025-11-03,Hospital A,M013,Cephalexin 500mg,59
2025-11-10,Hospital A,M013,Cephalexin 500mg,58
2025-11-17,Hospital A,M013,Cephalexin 500mg,18
2025-11-24,Hospital A,M013,Cephalexin 500mg,62
2025-12-01,Hospital A,M013,Cephalexin 500mg,60
2025-12-08,Hospital A,M013,Cephalexin 500mg,41
2025-12-15,Hospital A,M013,Cephalexin 500mg,75
2025-12-22,Hospital A,M013,Cephalexin 500mg,80
2025-12-29,Hospital A,M013,Cephalexin 500mg,81
2026-01-05,Hospital A,M013,Cephalexin 500mg,81
2026-01-12,Hospital A,M013,Cephalexin 500mg,82
2026-01-19,Hospital A,M013,Cephalexin 500mg,52
2026-01-26,Hospital A,M013,Cephalexin 500mg,99
2026-02-02,Hospital A,M013,Cephalexin 500mg,93
2026-02-09,Hospital A,M013,Cephalexin 500mg,103
2026-02-16,Hospital A,M013,Cephalexin 500mg,75
2026-02-23,Hospital A,M013,Cephalexin 500mg,49
2026-03-02,Hospital A,M013,Cephalexin 500mg,69
2026-03-09,Hospital A,M013,Cephalexin 500mg,123
