Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital A,M014,Insulin Lispro,145
2025-01-13,Hospital A,M014,Insulin Lispro,131
2025-01-20,Hospital A,M014,Insulin Lispro,201
2025-01-27,Hospital A,M014,Insulin Lispro,164
2025-02-03,Hospital A,M014,Insulin Lispro,143
2025-02-10,Hospital A,M014,Insulin Lispro,152
2025-02-17,Hospital A,M014,Insulin Lispro,131
2025-02-24,Hospital A,M014,Insulin Lispro,134
2025-03-03,Hospital A,M014,Insulin Lispro,111
2025-03-10,Hospital A,M014,Insulin Lispro,104
2025-03-17,Hospital A,M014,Insulin Lispro,60
2025-03-24,Hospital A,M014,Insulin Lispro,91
2025-03-31,Hospital A,M014,Insulin Lispro,71
2025-04-07,Hospital A,M014,Insulin Lispro,69
2025-04-14,Hospital A,M014,Insulin Lispro,81
2025-04-21,Hospital A,M014,Insulin Lispro,40
2025-04-28,Hospital A,M014,Insulin Lispro,4
2025-05-05,Hospital A,M014,Insulin Lispro,55
2025-05-12,Hospital A,M014,Insulin Lispro,39
2025-05-19,Hospital A,M014,Insulin Lispro,40
2025-05-26,Hospital A,M014,Insulin Lispro,39
2025-06-02,Hospital A,M014,Insulin Lispro,22
2025-06-09,Hospital A,M014,Insulin Lispro,10
2025-06-16,Hospital A,M014,Insulin Lispro,16
2025-06-23,Hospital A,M014,Insulin Lispro,7
2025-06-30,Hospital A,M014,Insulin Lispro,1
2025-07-07,Hospital A,M014,Insulin Lispro,37
2025-07-14,Hospital A,M014,Insulin Lispro,53
2025-07-21,Hospital A,M014,Insulin Lispro,55
2025-07-28,Hospital A,M014,Insulin Lispro,23
2025-08-04,Hospital A,M014,Insulin Lispro,22
2025-08-11,Hospital A,M014,Insulin Lispro,43
2025-08-18,Hospital A,M014,Insulin Lispro,13
2025-08-25,Hospital A,M014,Insulin Lispro,57
2025-09-01,Hospital A,M014,Insulin Lispro,75
2025-09-08,Hospital A,M014,Insulin Lispro,61
2025-09-15,Hospital A,M014,Insulin Lispro,4
2025-09-22,Hospital A,M014,Insulin Lispro,22
2025-09-29,Hospital A,M014,Insulin Lispro,51
2025-10-06,Hospital A,M014,Insulin Lispro,46
2025-10-13,Hospital A,M014,Insulin Lispro,82
2025-10-20,Hospital A,M014,Insulin Lispro,72
2025-10-27,Hospital A,M014,Insulin Lispro,51
2025-11-03,Hospital A,M014,Insulin Lispro,150
2025-11-10,Hospital A,M014,Insulin Lispro,140
2025-11-17,Hospital A,M014,Insulin Lispro,42
2025-11-24,Hospital A,M014,Insulin Lispro,72
2025-12-01,Hospital A,M014,Insulin Lispro,59
2025-12-08,Hospital A,M014,Insulin Lispro,94
2025-12-15,Hospital A,M014,Insulin Lispro,47
2025-12-22,Hospital A,M014,Insulin Lispro,102
2025-12-29,Hospital A,M014,Insulin Lispro,86
2026-01-05,Hospital A,M014,Insulin Lispro,78
2026-01-12,Hospital A,M014,Insulin Lispro,60
2026-01-19,Hospital A,M014,Insulin Lispro,56
2026-01-26,Hospital A,M014,Insulin Lispro,107
2026-02-02,Hospital A,M014,Insulin Lispro,57
2026-02-09,Hospital A,M014,Insulin Lispro,62
2026-02-16,Hospital A,M014,Insulin Lispro,55
2026-02-23,Hospital A,M014,Insulin Lispro,55
2026-03-02,Hospital A,M014,Insulin Lispro,57
2026-03-09,Hospital A,M014,Insulin Lispro,125
