Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital A,M015,Norepinephrine,145
2025-01-13,Hospital A,M015,Norepinephrine,143
2025-01-20,Hospital A,M015,Norepinephrine,127
2025-01-27,Hospital A,M015,Norepinephrine,136
2025-02-03,Hospital A,M015,Norepinephrine,140
2025-02-10,Hospital A,M015,Norepinephrine,138
2025-02-17,Hospital A,M015,Norepinephrine,150
2025-02-24,Hospital A,M015,Norepinephrine,157
2025-03-03,Hospital A,M015,Norepinephrine,136
2025-03-10,Hospital A,M015,Norepinephrine,134
2025-03-17,Hospital A,M015,Norepinephrine,54
2025-03-24,Hospital A,M015,Norepinephrine,72
2025-03-31,Hospital A,M015,Norepinephrine,45
2025-04-07,Hospital A,M015,Norepinephrine,12
2025-04-14,Hospital A,M015,Norepinephrine,19
2025-04-21,Hospital A,M015,Norepinephrine,28
2025-04-28,Hospital A,M015,Norepinephrine,13
2025-05-05,Hospital A,M015,Norepinephrine,9
2025-05-12,Hospital A,M015,Norepinephrine,14
2025-05-19,Hospital A,M015,Norepinephrine,18
2025-05-26,Hospital A,M015,Norepinephrine,30
2025-06-02,Hospital A,M015,Norepinephrine,13
2025-06-09,Hospital A,M015,Norepinephrine,24
2025-06-16,Hospital A,M015,Norepinephrine,27
2025-06-23,Hospital A,M015,Norepinephrine,4
2025-06-30,Hospital A,M015,Norepinephrine,0
2025-07-07,Hospital A,M015,Norepinephrine,36
2025-07-14,Hospital A,M015,Norepinephrine,45
2025-07-21,Hospital A,M015,Norepinephrine,95
2025-07-28,Hospital A,M015,Norepinephrine,74
2025-08-04,Hospital A,M015,Norepinephrine,78
2025-08-11,Hospital A,M015,Norepinephrine,50
2025-08-18,Hospital A,M015,Norepinephrine,78
2025-08-25,Hospital A,M015,Norepinephrine,58
2025-09-01,Hospital A,M015,Norepinephrine,26
2025-09-08,Hospital A,M015,Norepinephrine,17
2025-09-15,Hospital A,M015,Norepinephrine,44
2025-09-22,Hospital A,M015,Norepinephrine,43
2025-09-29,Hospital A,M015,Norepinephrine,20
2025-10-06,Hospital A,M015,Norepinephrine,44
2025-10-13,Hospital A,M015,Norepinephrine,39
2025-10-20,Hospital A,M015,Norepinephrine,35
2025-10-27,Hospital A,M015,Norepinephrine,10
2025-11-03,Hospital A,M015,Norepinephrine,34
2025-11-10,Hospital A,M015,Norepinephrine,0
2025-11-17,Hospital A,M015,Norepinephrine,15
2025-11-24,Hospital A,M015,Norepinephrine,30
2025-12-01,Hospital A,M015,Norepinephrine,14
2025-12-08,Hospital A,M015,Norepinephrine,26
2025-12-15,Hospital A,M015,Norepinephrine,48
2025-12-22,Hospital A,M015,Norepinephrine,58
2025-12-29,Hospital A,M015,Norepinephrine,78
2026-01-05,Hospital A,M015,Norepinephrine,122
2026-01-12,Hospital A,M015,Norepinephrine,96
2026-01-19,Hospital A,M015,Norepinephrine,138
2026-01-26,Hospital A,M015,Norepinephrine,173
2026-02-02,Hospital A,M015,Norepinephrine,117
2026-02-09,Hospital A,M015,Norepinephrine,107
2026-02-16,Hospital A,M015,Norepinephrine,92
2026-02-23,Hospital A,M015,Norepinephrine,49
2026-03-02,Hospital A,M015,Norepinephrine,19
2026-03-09,Hospital A,M015,Norepinephrine,68
