Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital A,M016,Terbutaline Inhaler,48
2025-01-13,Hospital A,M016,Terbutaline Inhaler,67
2025-01-20,Hospital A,M016,Terbutaline Inhaler,77
2025-01-27,Hospital A,M016,Terbutaline Inhaler,74
2025-02-03,Hospital A,M016,Terbutaline Inhaler,72
2025-02-10,Hospital A,M016,Terbutaline Inhaler,69
2025-02-17,Hospital A,M016,Terbutaline Inhaler,75
2025-02-24,Hospital A,M016,Terbutaline Inhaler,60
2025-03-03,Hospital A,M016,Terbutaline Inhaler,47
2025-03-10,Hospital A,M016,Terbutaline Inhaler,29
2025-03-17,Hospital A,M016,Terbutaline Inhaler,1
2025-03-24,Hospital A,M016,Terbutaline Inhaler,9
2025-03-31,Hospital A,M016,Terbutaline Inhaler,17
2025-04-07,Hospital A,M016,Terbutaline Inhaler,16
2025-04-14,Hospital A,M016,Terbutaline Inhaler,19
2025-04-21,Hospital A,M016,Terbutaline Inhaler,28
2025-04-28,Hospital A,M016,Terbutaline Inhaler,1
2025-05-05,Hospital A,M016,Terbutaline Inhaler,21
2025-05-12,Hospital A,M016,Terbutaline Inhaler,8
2025-05-19,Hospital A,M016,Terbutaline Inhaler,27
2025-05-26,Hospital A,M016,Terbutaline Inhaler,18
2025-06-02,Hospital A,M016,Terbutaline Inhaler,0
2025-06-09,Hospital A,M016,Terbutaline Inhaler,0
2025-06-16,Hospital A,M016,Terbutaline Inhaler,7
2025-06-23,Hospital A,M016,Terbutaline Inhaler,3
2025-06-30,Hospital A,M016,Terbutaline Inhaler,10
2025-07-07,Hospital A,M016,Terbutaline Inhaler,10
2025-07-14,Hospital A,M016,Terbutaline Inhaler,25
2025-07-21,Hospital A,M016,Terbutaline Inhaler,28
2025-07-28,Hospital A,M016,Terbutaline Inhaler,40
2025-08-04,Hospital A,M016,Terbutaline Inhaler,5
2025-08-11,Hospital A,M016,Terbutaline Inhaler,22
2025-08-18,Hospital A,M016,Terbutaline Inhaler,24
2025-08-25,Hospital A,M016,Terbutaline Inhaler,64
2025-09-01,Hospital A,M016,Terbutaline Inhaler,34
2025-09-08,Hospital A,M016,Terbutaline Inhaler,49
2025-09-15,Hospital A,M016,Terbutaline Inhaler,40
2025-09-22,Hospital A,M016,Terbutaline Inhaler,73
2025-09-29,Hospital A,M016,Terbutaline Inhaler,62
2025-10-06,Hospital A,M016,Terbutaline Inhaler,63
2025-10-13,Hospital A,M016,Terbutaline Inhaler,48
2025-10-20,Hospital A,M016,Terbutaline Inhaler,6
2025-10-27,Hospital A,M016,Terbutaline Inhaler,24
2025-11-03,Hospital A,M016,Terbutaline Inhaler,16
2025-11-10,Hospital A,M016,Terbutaline Inhaler,0
2025-11-17,Hospital A,M016,Terbutaline Inhaler,0
2025-11-24,Hospital A,M016,Terbutaline Inhaler,30
2025-12-01,Hospital A,M016,Terbutaline Inhaler,40
2025-12-08,Hospital A,M016,Terbutaline Inhaler,9
2025-12-15,Hospital A,M016,Terbutaline Inhaler,32
2025-12-22,Hospital A,M016,Terbutaline Inhaler,0
2025-12-29,Hospital A,M016,Terbutaline Inhaler,39
2026-01-05,Hospital A,M016,Terbutaline Inhaler,22
2026-01-12,Hospital A,M016,Terbutaline Inhaler,0
2026-01-19,Hospital A,M016,Terbutaline Inhaler,20
2026-01-26,Hospital A,M016,Terbutaline Inhaler,0
2026-02-02,Hospital A,M016,Terbutaline Inhaler,0
2026-02-09,Hospital A,M016,Terbutaline Inhaler,0
2026-02-16,Hospital A,M016,Terbutaline Inhaler,0
2026-02-23,Hospital A,M016,Terbutaline Inhaler,0
2026-03-02,Hospital A,M016,Terbutaline Inhaler,0
2026-03-09,Hospital A,M016,Terbutaline Inhaler,29
