Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital A,M017,Fentanyl Patch,69
2025-01-13,Hospital A,M017,Fentanyl Patch,65
2025-01-20,Hospital A,M017,Fentanyl Patch,73
2025-01-27,Hospital A,M017,Fentanyl Patch,73
2025-02-03,Hospital A,M017,Fentanyl Patch,55
2025-02-10,Hospital A,M017,Fentanyl Patch,20
2025-02-17,Hospital A,M017,Fentanyl Patch,34
2025-02-24,Hospital A,M017,Fentanyl Patch,35
2025-03-03,Hospital A,M017,Fentanyl Patch,36
2025-03-10,Hospital A,M017,Fentanyl Patch,35
2025-03-17,Hospital A,M017,Fentanyl Patch,31
2025-03-24,Hospital A,M017,Fentanyl Patch,43
2025-03-31,Hospital A,M017,Fentanyl Patch,9
2025-04-07,Hospital A,M017,Fentanyl Patch,28
2025-04-14,Hospital A,M017,Fentanyl Patch,38
2025-04-21,Hospital A,M017,Fentanyl Patch,71
2025-04-28,Hospital A,M017,Fentanyl Patch,35
2025-05-05,Hospital A,M017,Fentanyl Patch,62
2025-05-12,Hospital A,M017,Fentanyl Patch,78
2025-05-19,Hospital A,M017,Fentanyl Patch,66
2025-05-26,Hospital A,M017,Fentanyl Patch,106
2025-06-02,Hospital A,M017,Fentanyl Patch,77
2025-06-09,Hospital A,M017,Fentanyl Patch,41
2025-06-16,Hospital A,M017,Fentanyl Patch,9
2025-06-23,Hospital A,M017,Fentanyl Patch,14
2025-06-30,Hospital A,M017,Fentanyl Patch,12
2025-07-07,Hospital A,M017,Fentanyl Patch,50
2025-07-14,Hospital A,M017,Fentanyl Patch,60
2025-07-21,Hospital A,M017,Fentanyl Patch,49
2025-07-28,Hospital A,M017,Fentanyl Patch,24
2025-08-04,Hospital A,M017,Fentanyl Patch,69
2025-08-11,Hospital A,M017,Fentanyl Patch,48
2025-08-18,Hospital A,M017,Fentanyl Patch,92
2025-08-25,Hospital A,M017,Fentanyl Patch,127
2025-09-01,Hospital A,M017,Fentanyl Patch,126
2025-09-08,Hospital A,M017,Fentanyl Patch,84
2025-09-15,Hospital A,M017,Fentanyl Patch,67
2025-09-22,Hospital A,M017,Fentanyl Patch,47
2025-09-29,Hospital A,M017,Fentanyl Patch,79
2025-10-06,Hospital A,M017,Fentanyl Patch,126
2025-10-13,Hospital A,M017,Fentanyl Patch,114
2025-10-20,Hospital A,M017,Fentanyl Patch,154
2025-10-27,Hospital A,M017,Fentanyl Patch,253
2025-11-03,Hospital A,M017,Fentanyl Patch,245
2025-11-10,Hospital A,M017,Fentanyl Patch,229
2025-11-17,Hospital A,M017,Fentanyl Patch,188
2025-11-24,Hospital A,M017,Fentanyl Patch,178
2025-12-01,Hospital A,M017,Fentanyl Patch,157
2025-12-08,Hospital A,M017,Fentanyl Patch,124
2025-12-15,Hospital A,M017,Fentanyl Patch,92
2025-12-22,Hospital A,M017,Fentanyl Patch,81
2025-12-29,Hospital A,M017,Fentanyl Patch,23
2026-01-05,Hospital A,M017,Fentanyl Patch,48
2026-01-12,Hospital A,M017,Fentanyl Patch,59
2026-01-19,Hospital A,M017,Fentanyl Patch,68
2026-01-26,Hospital A,M017,Fentanyl Patch,48
2026-02-02,Hospital A,M017,Fentanyl Patch,27
2026-02-09,Hospital A,M017,Fentanyl Patch,52
2026-02-16,Hospital A,M017,Fentanyl Patch,33
2026-02-23,Hospital A,M017,Fentanyl Patch,31
2026-03-02,Hospital A,M017,Fentanyl Patch,29
2026-03-09,Hospital A,M017,Fentanyl Patch,112
