Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital A,M018,Clopidogrel 75mg,20
2025-01-13,Hospital A,M018,Clopidogrel 75mg,19
2025-01-20,Hospital A,M018,Clopidogrel 75mg,19
2025-01-27,Hospital A,M018,Clopidogrel 75mg,28
2025-02-03,Hospital A,M018,Clopidogrel 75mg,31
2025-02-10,Hospital A,M018,Clopidogrel 75mg,31
2025-02-17,Hospital A,M018,Clopidogrel 75mg,39
2025-02-24,Hospital A,M018,Clopidogrel 75mg,40
2025-03-03,Hospital A,M018,Clopidogrel 75mg,54
2025-03-10,Hospital A,M018,Clopidogrel 75mg,58
2025-03-17,Hospital A,M018,Clopidogrel 75mg,33
2025-03-24,Hospital A,M018,Clopidogrel 75mg,5
2025-03-31,Hospital A,M018,Clopidogrel 75mg,0
2025-04-07,Hospital A,M018,Clopidogrel 75mg,16
2025-04-14,Hospital A,M018,Clopidogrel 75mg,6
2025-04-21,Hospital A,M018,Clopidogrel 75mg,15
2025-04-28,Hospital A,M018,Clopidogrel 75mg,15
2025-05-05,Hospital A,M018,Clopidogrel 75mg,29
2025-05-12,Hospital A,M018,Clopidogrel 75mg,23
2025-05-19,Hospital A,M018,Clopidogrel 75mg,33
2025-05-26,Hospital A,M018,Clopidogrel 75mg,19
2025-06-02,Hospital A,M018,Clopidogrel 75mg,0
2025-06-09,Hospital A,M018,Clopidogrel 75mg,8
2025-06-16,Hospital A,M018,Clopidogrel 75mg,15
2025-06-23,Hospital A,M018,Clopidogrel 75mg,5
2025-06-30,Hospital A,M018,Clopidogrel 75mg,0
2025-07-07,Hospital A,M018,Clopidogrel 75mg,25
2025-07-14,Hospital A,M018,Clopidogrel 75mg,51
2025-07-21,Hospital A,M018,Clopidogrel 75mg,71
2025-07-28,Hospital A,M018,Clopidogrel 75mg,89
2025-08-04,Hospital A,M018,Clopidogrel 75mg,105
2025-08-11,Hospital A,M018,Clopidogrel 75mg,115
2025-08-18,Hospital A,M018,Clopidogrel 75mg,112
2025-08-25,Hospital A,M018,Clopidogrel 75mg,62
2025-09-01,Hospital A,M018,Clopidogrel 75mg,56
2025-09-08,Hospital A,M018,Clopidogrel 75mg,35
2025-09-15,Hospital A,M018,Clopidogrel 75mg,4
2025-09-22,Hospital A,M018,Clopidogrel 75mg,4
2025-09-29,Hospital A,M018,Clopidogrel 75mg,11
2025-10-06,Hospital A,M018,Clopidogrel 75mg,17
2025-10-13,Hospital A,M018,Clopidogrel 75mg,10
2025-10-20,Hospital A,M018,Clopidogrel 75mg,52
2025-10-27,Hospital A,M018,Clopidogrel 75mg,58
2025-11-03,Hospital A,M018,Clopidogrel 75mg,80
2025-11-10,Hospital A,M018,Clopidogrel 75mg,97
2025-11-17,Hospital A,M018,Clopidogrel 75mg,96
2025-11-24,Hospital A,M018,Clopidogrel 75mg,88
2025-12-01,Hospital A,M018,Clopidogrel 75mg,94
2025-12-08,Hospital A,M018,Clopidogrel 75mg,94
2025-12-15,Hospital A,M018,Clopidogrel 75mg,91
2025-12-22,Hospital A,M018,Clopidogrel 75mg,62
2025-12-29,Hospital A,M018,Clopidogrel 75mg,25
2026-01-05,Hospital A,M018,Clopidogrel 75mg,26
2026-01-12,Hospital A,M018,Clopidogrel 75mg,7
2026-01-19,Hospital A,M018,Clopidogrel 75mg,10
2026-01-26,Hospital A,M018,Clopidogrel 75mg,31
2026-02-02,Hospital A,M018,Clopidogrel 75mg,17
2026-02-09,Hospital A,M018,Clopidogrel 75mg,0
2026-02-16,Hospital A,M018,Clopidogrel 75mg,17
2026-02-23,Hospital A,M018,Clopidogrel 75mg,0
2026-03-02,Hospital A,M018,Clopidogrel 75mg,0
2026-03-09,Hospital A,M018,Clopidogrel 75mg,8
