Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital B,M001,Paracetamol,85
2025-01-13,Hospital B,M001,Paracetamol,93
2025-01-20,Hospital B,M001,Paracetamol,83
2025-01-27,Hospital B,M001,Paracetamol,91
2025-02-03,Hospital B,M001,Paracetamol,82
2025-02-10,Hospital B,M001,Paracetamol,89
2025-02-17,Hospital B,M001,Paracetamol,92
2025-02-24,Hospital B,M001,Paracetamol,92
2025-03-03,Hospital B,M001,Paracetamol,86
2025-03-10,Hospital B,M001,Paracetamol,88
2025-03-17,Hospital B,M001,Paracetamol,52
2025-03-24,Hospital B,M001,Paracetamol,54
2025-03-31,Hospital B,M001,Paracetamol,8
2025-04-07,Hospital B,M001,Paracetamol,30
2025-04-14,Hospital B,M001,Paracetamol,1
2025-04-21,Hospital B,M001,Paracetamol,15
2025-04-28,Hospital B,M001,Paracetamol,43
2025-05-05,Hospital B,M001,Paracetamol,47
2025-05-12,Hospital B,M001,Paracetamol,25
2025-05-19,Hospital B,M001,Paracetamol,5
2025-05-26,Hospital B,M001,Paracetamol,35
2025-06-02,Hospital B,M001,Paracetamol,15
2025-06-09,Hospital B,M001,Paracetamol,43
2025-06-16,Hospital B,M001,Paracetamol,52
2025-06-23,Hospital B,M001,Paracetamol,32
2025-06-30,Hospital B,M001,Paracetamol,28
2025-07-07,Hospital B,M001,Paracetamol,46
2025-07-14,Hospital B,M001,Paracetamol,51
2025-07-21,Hospital B,M001,Paracetamol,69
2025-07-28,Hospital B,M001,Paracetamol,70
2025-08-04,Hospital B,M001,Paracetamol,51
2025-08-11,Hospital B,M001,Paracetamol,98
2025-08-18,Hospital B,M001,Paracetamol,78
2025-08-25,Hospital B,M001,Paracetamol,51
2025-09-01,Hospital B,M001,Paracetamol,88
2025-09-08,Hospital B,M001,Paracetamol,66
2025-09-15,Hospital B,M001,Paracetamol,68
2025-09-22,Hospital B,M001,Paracetamol,56
2025-09-29,Hospital B,M001,Paracetamol,52
2025-10-06,Hospital B,M001,Paracetamol,44
2025-10-13,Hospital B,M001,Paracetamol,27
2025-10-20,Hospital B,M001,Paracetamol,37
2025-10-27,Hospital B,M001,Paracetamol,42
2025-11-03,Hospital B,M001,Paracetamol,41
2025-11-10,Hospital B,M001,Paracetamol,36
2025-11-17,Hospital B,M001,Paracetamol,14
2025-11-24,Hospital B,M001,Paracetamol,37
2025-12-01,Hospital B,M001,Paracetamol,47
2025-12-08,Hospital B,M001,Paracetamol,7
2025-12-15,Hospital B,M001,Paracetamol,34
2025-12-22,Hospital B,M001,Paracetamol,37
2025-12-29,Hospital B,M001,Paracetamol,49
2026-01-05,Hospital B,M001,Paracetamol,50
2026-01-12,Hospital B,M001,Paracetamol,69
2026-01-19,Hospital B,M001,Paracetamol,83
2026-01-26,Hospital B,M001,Paracetamol,97
2026-02-02,Hospital B,M001,Paracetamol,68
2026-02-09,Hospital B,M001,Paracetamol,66
2026-02-16,Hospital B,M001,Paracetamol,63
2026-02-23,Hospital B,M001,Paracetamol,80
2026-03-02,Hospital B,M001,Paracetamol,79
2026-03-09,Hospital B,M001,Paracetamol,129
