Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital B,M002,Ibuprofen,183
2025-01-13,Hospital B,M002,Ibuprofen,226
2025-01-20,Hospital B,M002,Ibuprofen,227
2025-01-27,Hospital B,M002,Ibuprofen,118
2025-02-03,Hospital B,M002,Ibuprofen,72
2025-02-10,Hospital B,M002,Ibuprofen,53
2025-02-17,Hospital B,M002,Ibuprofen,58
2025-02-24,Hospital B,M002,Ibuprofen,72
2025-03-03,Hospital B,M002,Ibuprofen,79
2025-03-10,Hospital B,M002,Ibuprofen,90
2025-03-17,Hospital B,M002,Ibuprofen,54
2025-03-24,Hospital B,M002,Ibuprofen,18
2025-03-31,Hospital B,M002,Ibuprofen,3
2025-04-07,Hospital B,M002,Ibuprofen,13
2025-04-14,Hospital B,M002,Ibuprofen,3
2025-04-21,Hospital B,M002,Ibuprofen,0
2025-04-28,Hospital B,M002,Ibuprofen,52
2025-05-05,Hospital B,M002,Ibuprofen,41
2025-05-12,Hospital B,M002,Ibuprofen,57
2025-05-19,Hospital B,M002,Ibuprofen,37
2025-05-26,Hospital B,M002,Ibuprofen,58
2025-06-02,Hospital B,M002,Ibuprofen,56
2025-06-09,Hospital B,M002,Ibuprofen,36
2025-06-16,Hospital B,M002,Ibuprofen,20
2025-06-23,Hospital B,M002,Ibuprofen,14
2025-06-30,Hospital B,M002,Ibuprofen,8
2025-07-07,Hospital B,M002,Ibuprofen,15
2025-07-14,Hospital B,M002,Ibuprofen,60
2025-07-21,Hospital B,M002,Ibuprofen,59
2025-07-28,Hospital B,M002,Ibuprofen,73
2025-08-04,Hospital B,M002,Ibuprofen,82
2025-08-11,Hospital B,M002,Ibuprofen,69
2025-08-18,Hospital B,M002,Ibuprofen,69
2025-08-25,Hospital B,M002,Ibuprofen,52
2025-09-01,Hospital B,M002,Ibuprofen,34
2025-09-08,Hospital B,M002,Ibuprofen,39
2025-09-15,Hospital B,M002,Ibuprofen,50
2025-09-22,Hospital B,M002,Ibuprofen,67
2025-09-29,Hospital B,M002,Ibuprofen,65
2025-10-06,Hospital B,M002,Ibuprofen,109
2025-10-13,Hospital B,M002,Ibuprofen,108
2025-10-20,Hospital B,M002,Ibuprofen,101
2025-10-27,Hospital B,M002,Ibuprofen,95
2025-11-03,Hospital B,M002,Ibuprofen,108
2025-11-10,Hospital B,M002,Ibuprofen,58
2025-11-17,Hospital B,M002,Ibuprofen,47
2025-11-24,Hospital B,M002,Ibuprofen,37
2025-12-01,Hospital B,M002,Ibuprofen,54
2025-12-08,Hospital B,M002,Ibuprofen,14
2025-12-15,Hospital B,M002,Ibuprofen,30
2025-12-22,Hospital B,M002,Ibuprofen,45
2025-12-29,Hospital B,M002,Ibuprofen,26
2026-01-05,Hospital B,M002,Ibuprofen,39
2026-01-12,Hospital B,M002,Ibuprofen,17
2026-01-19,Hospital B,M002,Ibuprofen,62
2026-01-26,Hospital B,M002,Ibuprofen,37
2026-02-02,Hospital B,M002,Ibuprofen,15
2026-02-09,Hospital B,M002,Ibuprofen,19
2026-02-16,Hospital B,M002,Ibuprofen,22
2026-02-23,Hospital B,M002,Ibuprofen,16
2026-03-02,Hospital B,M002,Ibuprofen,12
2026-03-09,Hospital B,M002,Ibuprofen,79
