Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital B,M003,Amoxicillin,57
2025-01-13,Hospital B,M003,Amoxicillin,72
2025-01-20,Hospital B,M003,Amoxicillin,67
2025-01-27,Hospital B,M003,Amoxicillin,89
2025-02-03,Hospital B,M003,Amoxicillin,94
2025-02-10,Hospital B,M003,Amoxicillin,89
2025-02-17,Hospital B,M003,Amoxicillin,92
2025-02-24,Hospital B,M003,Amoxicillin,92
2025-03-03,Hospital B,M003,Amoxicillin,102
2025-03-10,Hospital B,M003,Amoxicillin,108
2025-03-17,Hospital B,M003,Amoxicillin,45
2025-03-24,Hospital B,M003,Amoxicillin,19
2025-03-31,Hospital B,M003,Amoxicillin,32
2025-04-07,Hospital B,M003,Amoxicillin,12
2025-04-14,Hospital B,M003,Amoxicillin,6
2025-04-21,Hospital B,M003,Amoxicillin,29
2025-04-28,Hospital B,M003,Amoxicillin,44
2025-05-05,Hospital B,M003,Amoxicillin,30
2025-05-12,Hospital B,M003,Amoxicillin,20
2025-05-19,Hospital B,M003,Amoxicillin,21
2025-05-26,Hospital B,M003,Amoxicillin,16
2025-06-02,Hospital B,M003,Amoxicillin,2
2025-06-09,Hospital B,M003,Amoxicillin,0
2025-06-16,Hospital B,M003,Amoxicillin,0
2025-06-23,Hospital B,M003,Amoxicillin,0
2025-06-30,Hospital B,M003,Amoxicillin,11
2025-07-07,Hospital B,M003,Amoxicillin,13
2025-07-14,Hospital B,M003,Amoxicillin,18
2025-07-21,Hospital B,M003,Amoxicillin,38
2025-07-28,Hospital B,M003,Amoxicillin,60
2025-08-04,Hospital B,M003,Amoxicillin,52
2025-08-11,Hospital B,M003,Amoxicillin,65
2025-08-18,Hospital B,M003,Amoxicillin,42
2025-08-25,Hospital B,M003,Amoxicillin,33
2025-09-01,Hospital B,M003,Amoxicillin,36
2025-09-08,Hospital B,M003,Amoxicillin,29
2025-09-15,Hospital B,M003,Amoxicillin,40
2025-09-22,Hospital B,M003,Amoxicillin,51
2025-09-29,Hospital B,M003,Amoxicillin,47
2025-10-06,Hospital B,M003,Amoxicillin,47
2025-10-13,Hospital B,M003,Amoxicillin,31
2025-10-20,Hospital B,M003,Amoxicillin,101
2025-10-27,Hospital B,M003,Amoxicillin,87
2025-11-03,Hospital B,M003,Amoxicillin,82
2025-11-10,Hospital B,M003,Amoxicillin,72
2025-11-17,Hospital B,M003,Amoxicillin,74
2025-11-24,Hospital B,M003,Amoxicillin,20
2025-12-01,Hospital B,M003,Amoxicillin,17
2025-12-08,Hospital B,M003,Amoxicillin,7
2025-12-15,Hospital B,M003,Amoxicillin,3
2025-12-22,Hospital B,M003,Amoxicillin,36
2025-12-29,Hospital B,M003,Amoxicillin,11
2026-01-05,Hospital B,M003,Amoxicillin,19
2026-01-12,Hospital B,M003,Amoxicillin,20
2026-01-19,Hospital B,M003,Amoxicillin,15
2026-01-26,Hospital B,M003,Amoxicillin,17
2026-02-02,Hospital B,M003,Amoxicillin,32
2026-02-09,Hospital B,M003,Amoxicillin,0
2026-02-16,Hospital B,M003,Amoxicillin,5
2026-02-23,Hospital B,M003,Amoxicillin,0
2026-03-02,Hospital B,M003,Amoxicillin,0
2026-03-09,Hospital B,M003,Amoxicillin,21
