Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital B,M005,Epinephrine,30
2025-01-13,Hospital B,M005,Epinephrine,64
2025-01-20,Hospital B,M005,Epinephrine,63
2025-01-27,Hospital B,M005,Epinephrine,17
2025-02-03,Hospital B,M005,Epinephrine,20
2025-02-10,Hospital B,M005,Epinephrine,32
2025-02-17,Hospital B,M005,Epinephrine,2
2025-02-24,Hospital B,M005,Epinephrine,9
2025-03-03,Hospital B,M005,Epinephrine,9
2025-03-10,Hospital B,M005,Epinephrine,13
2025-03-17,Hospital B,M005,Epinephrine,10
2025-03-24,Hospital B,M005,Epinephrine,39
2025-03-31,Hospital B,M005,Epinephrine,56
2025-04-07,Hospital B,M005,Epinephrine,32
2025-04-14,Hospital B,M005,Epinephrine,15
2025-04-21,Hospital B,M005,Epinephrine,32
2025-04-28,Hospital B,M005,Epinephrine,80
2025-05-05,Hospital B,M005,Epinephrine,50
2025-05-12,Hospital B,M005,Epinephrine,8
2025-05-19,Hospital B,M005,Epinephrine,34
2025-05-26,Hospital B,M005,Epinephrine,36
2025-06-02,Hospital B,M005,Epinephrine,6
2025-06-09,Hospital B,M005,Epinephrine,12
2025-06-16,Hospital B,M005,Epinephrine,16
2025-06-23,Hospital B,M005,Epinephrine,8
2025-06-30,Hospital B,M005,Epinephrine,8
2025-07-07,Hospital B,M005,Epinephrine,65
2025-07-14,Hospital B,M005,Epinephrine,18
2025-07-21,Hospital B,M005,Epinephrine,12
2025-07-28,Hospital B,M005,Epinephrine,55
2025-08-04,Hospital B,M005,Epinephrine,42
2025-08-11,Hospital B,M005,Epinephrine,79
2025-08-18,Hospital B,M005,Epinephrine,35
2025-08-25,Hospital B,M005,Epinephrine,73
2025-09-01,Hospital B,M005,Epinephrine,97
2025-09-08,Hospital B,M005,Epinephrine,66
2025-09-15,Hospital B,M005,Epinephrine,48
2025-09-22,Hospital B,M005,Epinephrine,49
2025-09-29,Hospital B,M005,Epinephrine,83
2025-10-06,Hospital B,M005,Epinephrine,78
2025-10-13,Hospital B,M005,Epinephrine,110
2025-10-20,Hospital B,M005,Epinephrine,133
2025-10-27,Hospital B,M005,Epinephrine,124
2025-11-03,Hospital B,M005,Epinephrine,115
2025-11-10,Hospital B,M005,Epinephrine,101
2025-11-17,Hospital B,M005,Epinephrine,72
2025-11-24,Hospital B,M005,Epinephrine,89
2025-12-01,Hospital B,M005,Epinephrine,27
2025-12-08,Hospital B,M005,Epinephrine,57
2025-12-15,Hospital B,M005,Epinephrine,27
2025-12-22,Hospital B,M005,Epinephrine,27
2025-12-29,Hospital B,M005,Epinephrine,52
2026-01-05,Hospital B,M005,Epinephrine,52
2026-01-12,Hospital B,M005,Epinephrine,37
2026-01-19,Hospital B,M005,Epinephrine,30
2026-01-26,Hospital B,M005,Epinephrine,60
2026-02-02,Hospital B,M005,Epinephrine,30
2026-02-09,Hospital B,M005,Epinephrine,15
2026-02-16,Hospital B,M005,Epinephrine,24
2026-02-23,Hospital B,M005,Epinephrine,4
2026-03-02,Hospital B,M005,Epinephrine,11
2026-03-09,Hospital B,M005,Epinephrine,80
