Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital B,M006,Salbutamol,243
2025-01-13,Hospital B,M006,Salbutamol,237
2025-01-20,Hospital B,M006,Salbutamol,240
2025-01-27,Hospital B,M006,Salbutamol,163
2025-02-03,Hospital B,M006,Salbutamol,108
2025-02-10,Hospital B,M006,Salbutamol,99
2025-02-17,Hospital B,M006,Salbutamol,81
2025-02-24,Hospital B,M006,Salbutamol,91
2025-03-03,Hospital B,M006,Salbutamol,45
2025-03-10,Hospital B,M006,Salbutamol,31
2025-03-17,Hospital B,M006,Salbutamol,16
2025-03-24,Hospital B,M006,Salbutamol,35
2025-03-31,Hospital B,M006,Salbutamol,24
2025-04-07,Hospital B,M006,Salbutamol,0
2025-04-14,Hospital B,M006,Salbutamol,11
2025-04-21,Hospital B,M006,Salbutamol,51
2025-04-28,Hospital B,M006,Salbutamol,31
2025-05-05,Hospital B,M006,Salbutamol,36
2025-05-12,Hospital B,M006,Salbutamol,50
2025-05-19,Hospital B,M006,Salbutamol,38
2025-05-26,Hospital B,M006,Salbutamol,52
2025-06-02,Hospital B,M006,Salbutamol,17
2025-06-09,Hospital B,M006,Salbutamol,1
2025-06-16,Hospital B,M006,Salbutamol,23
2025-06-23,Hospital B,M006,Salbutamol,14
2025-06-30,Hospital B,M006,Salbutamol,11
2025-07-07,Hospital B,M006,Salbutamol,61
2025-07-14,Hospital B,M006,Salbutamol,59
2025-07-21,Hospital B,M006,Salbutamol,69
2025-07-28,Hospital B,M006,Salbutamol,52
2025-08-04,Hospital B,M006,Salbutamol,55
2025-08-11,Hospital B,M006,Salbutamol,48
2025-08-18,Hospital B,M006,Salbutamol,78
2025-08-25,Hospital B,M006,Salbutamol,14
2025-09-01,Hospital B,M006,Salbutamol,42
2025-09-08,Hospital B,M006,Salbutamol,48
2025-09-15,Hospital B,M006,Salbutamol,78
2025-09-22,Hospital B,M006,Salbutamol,66
2025-09-29,Hospital B,M006,Salbutamol,24
2025-10-06,Hospital B,M006,Salbutamol,79
2025-10-13,Hospital B,M006,Salbutamol,66
2025-10-20,Hospital B,M006,Salbutamol,134
2025-10-27,Hospital B,M006,Salbutamol,221
2025-11-03,Hospital B,M006,Salbutamol,287
2025-11-10,Hospital B,M006,Salbutamol,276
2025-11-17,Hospital B,M006,Salbutamol,239
2025-11-24,Hospital B,M006,Salbutamol,225
2025-12-01,Hospital B,M006,Salbutamol,198
2025-12-08,Hospital B,M006,Salbutamol,96
2025-12-15,Hospital B,M006,Salbutamol,82
2025-12-22,Hospital B,M006,Salbutamol,109
2025-12-29,Hospital B,M006,Salbutamol,99
2026-01-05,Hospital B,M006,Salbutamol,60
2026-01-12,Hospital B,M006,Salbutamol,55
2026-01-19,Hospital B,M006,Salbutamol,83
2026-01-26,Hospital B,M006,Salbutamol,113
2026-02-02,Hospital B,M006,Salbutamol,101
2026-02-09,Hospital B,M006,Salbutamol,59
2026-02-16,Hospital B,M006,Salbutamol,53
2026-02-23,Hospital B,M006,Salbutamol,67
2026-03-02,Hospital B,M006,Salbutamol,70
2026-03-09,Hospital B,M006,Salbutamol,148
