Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital B,M008,Aspirin,90
2025-01-13,Hospital B,M008,Aspirin,86
2025-01-20,Hospital B,M008,Aspirin,139
2025-01-27,Hospital B,M008,Aspirin,199
2025-02-03,Hospital B,M008,Aspirin,200
2025-02-10,Hospital B,M008,Aspirin,211
2025-02-17,Hospital B,M008,Aspirin,227
2025-02-24,Hospital B,M008,Aspirin,162
2025-03-03,Hospital B,M008,Aspirin,158
2025-03-10,Hospital B,M008,Aspirin,162
2025-03-17,Hospital B,M008,Aspirin,55
2025-03-24,Hospital B,M008,Aspirin,5
2025-03-31,Hospital B,M008,Aspirin,39
2025-04-07,Hospital B,M008,Aspirin,36
2025-04-14,Hospital B,M008,Aspirin,34
2025-04-21,Hospital B,M008,Aspirin,16
2025-04-28,Hospital B,M008,Aspirin,27
2025-05-05,Hospital B,M008,Aspirin,29
2025-05-12,Hospital B,M008,Aspirin,35
2025-05-19,Hospital B,M008,Aspirin,15
2025-05-26,Hospital B,M008,Aspirin,13
2025-06-02,Hospital B,M008,Aspirin,2
2025-06-09,Hospital B,M008,Aspirin,19
2025-06-16,Hospital B,M008,Aspirin,22
2025-06-23,Hospital B,M008,Aspirin,11
2025-06-30,Hospital B,M008,Aspirin,8
2025-07-07,Hospital B,M008,Aspirin,20
2025-07-14,Hospital B,M008,Aspirin,35
2025-07-21,Hospital B,M008,Aspirin,30
2025-07-28,Hospital B,M008,Aspirin,9
2025-08-04,Hospital B,M008,Aspirin,40
2025-08-11,Hospital B,M008,Aspirin,70
2025-08-18,Hospital B,M008,Aspirin,102
2025-08-25,Hospital B,M008,Aspirin,87
2025-09-01,Hospital B,M008,Aspirin,108
2025-09-08,Hospital B,M008,Aspirin,116
2025-09-15,Hospital B,M008,Aspirin,125
2025-09-22,Hospital B,M008,Aspirin,99
2025-09-29,Hospital B,M008,Aspirin,70
2025-10-06,Hospital B,M008,Aspirin,56
2025-10-13,Hospital B,M008,Aspirin,60
2025-10-20,Hospital B,M008,Aspirin,69
2025-10-27,Hospital B,M008,Aspirin,64
2025-11-03,Hospital B,M008,Aspirin,52
2025-11-10,Hospital B,M008,Aspirin,44
2025-11-17,Hospital B,M008,Aspirin,18
2025-11-24,Hospital B,M008,Aspirin,3
2025-12-01,Hospital B,M008,Aspirin,37
2025-12-08,Hospital B,M008,Aspirin,73
2025-12-15,Hospital B,M008,Aspirin,72
2025-12-22,Hospital B,M008,Aspirin,73
2025-12-29,Hospital B,M008,Aspirin,56
2026-01-05,Hospital B,M008,Aspirin,38
2026-01-12,Hospital B,M008,Aspirin,61
2026-01-19,Hospital B,M008,Aspirin,39
2026-01-26,Hospital B,M008,Aspirin,43
2026-02-02,Hospital B,M008,Aspirin,19
2026-02-09,Hospital B,M008,Aspirin,22
2026-02-16,Hospital B,M008,Aspirin,24
2026-02-23,Hospital B,M008,Aspirin,43
2026-03-02,Hospital B,M008,Aspirin,42
2026-03-09,Hospital B,M008,Aspirin,55
