Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital B,M010,Atorvastatin,1
2025-01-13,Hospital B,M010,Atorvastatin,30
2025-01-20,Hospital B,M010,Atorvastatin,37
2025-01-27,Hospital B,M010,Atorvastatin,14
2025-02-03,Hospital B,M010,Atorvastatin,40
2025-02-10,Hospital B,M010,Atorvastatin,50
2025-02-17,Hospital B,M010,Atorvastatin,45
2025-02-24,Hospital B,M010,Atorvastatin,59
2025-03-03,Hospital B,M010,Atorvastatin,39
2025-03-10,Hospital B,M010,Atorvastatin,14
2025-03-17,Hospital B,M010,Atorvastatin,8
2025-03-24,Hospital B,M010,Atorvastatin,12
2025-03-31,Hospital B,M010,Atorvastatin,38
2025-04-07,Hospital B,M010,Atorvastatin,11
2025-04-14,Hospital B,M010,Atorvastatin,13
2025-04-21,Hospital B,M010,Atorvastatin,28
2025-04-28,Hospital B,M010,Atorvastatin,37
2025-05-05,Hospital B,M010,Atorvastatin,21
2025-05-12,Hospital B,M010,Atorvastatin,7
2025-05-19,Hospital B,M010,Atorvastatin,31
2025-05-26,Hospital B,M010,Atorvastatin,20
2025-06-02,Hospital B,M010,Atorvastatin,12
2025-06-09,Hospital B,M010,Atorvastatin,0
2025-06-16,Hospital B,M010,Atorvastatin,4
2025-06-23,Hospital B,M010,Atorvastatin,10
2025-06-30,Hospital B,M010,Atorvastatin,6
2025-07-07,Hospital B,M010,Atorvastatin,14
2025-07-14,Hospital B,M010,Atorvastatin,1
2025-07-21,Hospital B,M010,Atorvastatin,18
2025-07-28,Hospital B,M010,Atorvastatin,9
2025-08-04,Hospital B,M010,Atorvastatin,35
2025-08-11,Hospital B,M010,Atorvastatin,58
2025-08-18,Hospital B,M010,Atorvastatin,14
2025-08-25,Hospital B,M010,Atorvastatin,15
2025-09-01,Hospital B,M010,Atorvastatin,33
2025-09-08,Hospital B,M010,Atorvastatin,10
2025-09-15,Hospital B,M010,Atorvastatin,34
2025-09-22,Hospital B,M010,Atorvastatin,9
2025-09-29,Hospital B,M010,Atorvastatin,19
2025-10-06,Hospital B,M010,Atorvastatin,7
2025-10-13,Hospital B,M010,Atorvastatin,18
2025-10-20,Hospital B,M010,Atorvastatin,80
2025-10-27,Hospital B,M010,Atorvastatin,83
2025-11-03,Hospital B,M010,Atorvastatin,116
2025-11-10,Hospital B,M010,Atorvastatin,123
2025-11-17,Hospital B,M010,Atorvastatin,109
2025-11-24,Hospital B,M010,Atorvastatin,117
2025-12-01,Hospital B,M010,Atorvastatin,78
2025-12-08,Hospital B,M010,Atorvastatin,62
2025-12-15,Hospital B,M010,Atorvastatin,40
2025-12-22,Hospital B,M010,Atorvastatin,51
2025-12-29,Hospital B,M010,Atorvastatin,18
2026-01-05,Hospital B,M010,Atorvastatin,11
2026-01-12,Hospital B,M010,Atorvastatin,16
2026-01-19,Hospital B,M010,Atorvastatin,4
2026-01-26,Hospital B,M010,Atorvastatin,13
2026-02-02,Hospital B,M010,Atorvastatin,1
2026-02-09,Hospital B,M010,Atorvastatin,0
2026-02-16,Hospital B,M010,Atorvastatin,0
2026-02-23,Hospital B,M010,Atorvastatin,0
2026-03-02,Hospital B,M010,Atorvastatin,0
2026-03-09,Hospital B,M010,Atorvastatin,14
