Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital B,M013,Cephalexin 500mg,17
2025-01-13,Hospital B,M013,Cephalexin 500mg,27
2025-01-20,Hospital B,M013,Cephalexin 500mg,30
2025-01-27,Hospital B,M013,Cephalexin 500mg,44
2025-02-03,Hospital B,M013,Cephalexin 500mg,54
2025-02-10,Hospital B,M013,Cephalexin 500mg,63
2025-02-17,Hospital B,M013,Cephalexin 500mg,82
2025-02-24,Hospital B,M013,Cephalexin 500mg,39
2025-03-03,Hospital B,M013,Cephalexin 500mg,41
2025-03-10,Hospital B,M013,Cephalexin 500mg,50
2025-03-17,Hospital B,M013,Cephalexin 500mg,27
2025-03-24,Hospital B,M013,Cephalexin 500mg,5
2025-03-31,Hospital B,M013,Cephalexin 500mg,12
2025-04-07,Hospital B,M013,Cephalexin 500mg,11
2025-04-14,Hospital B,M013,Cephalexin 500mg,15
2025-04-21,Hospital B,M013,Cephalexin 500mg,16
2025-04-28,Hospital B,M013,Cephalexin 500mg,21
2025-05-05,Hospital B,M013,Cephalexin 500mg,6
2025-05-12,Hospital B,M013,Cephalexin 500mg,29
2025-05-19,Hospital B,M013,Cephalexin 500mg,35
2025-05-26,Hospital B,M013,Cephalexin 500mg,6
2025-06-02,Hospital B,M013,Cephalexin 500mg,5
2025-06-09,Hospital B,M013,Cephalexin 500mg,15
2025-06-16,Hospital B,M013,Cephalexin 500mg,3
2025-06-23,Hospital B,M013,Cephalexin 500mg,11
2025-06-30,Hospital B,M013,Cephalexin 500mg,4
2025-07-07,Hospital B,M013,Cephalexin 500mg,17
2025-07-14,Hospital B,M013,Cephalexin 500mg,3
2025-07-21,Hospital B,M013,Cephalexin 500mg,23
2025-07-28,Hospital B,M013,Cephalexin 500mg,57
2025-08-04,Hospital B,M013,Cephalexin 500mg,70
2025-08-11,Hospital B,M013,Cephalexin 500mg,29
2025-08-18,Hospital B,M013,Cephalexin 500mg,33
2025-08-25,Hospital B,M013,Cephalexin 500mg,36
2025-09-01,Hospital B,M013,Cephalexin 500mg,59
2025-09-08,Hospital B,M013,Cephalexin 500mg,55
2025-09-15,Hospital B,M013,Cephalexin 500mg,52
2025-09-22,Hospital B,M013,Cephalexin 500mg,45
2025-09-29,Hospital B,M013,Cephalexin 500mg,33
2025-10-06,Hospital B,M013,Cephalexin 500mg,16
2025-10-13,Hospital B,M013,Cephalexin 500mg,43
2025-10-20,Hospital B,M013,Cephalexin 500mg,74
2025-10-27,Hospital B,M013,Cephalexin 500mg,50
2025-11-03,Hospital B,M013,Cephalexin 500mg,36
2025-11-10,Hospital B,M013,Cephalexin 500mg,36
2025-11-17,Hospital B,M013,Cephalexin 500mg,13
2025-11-24,Hospital B,M013,Cephalexin 500mg,0
2025-12-01,Hospital B,M013,Cephalexin 500mg,5
2025-12-08,Hospital B,M013,Cephalexin 500mg,31
2025-12-15,Hospital B,M013,Cephalexin 500mg,47
2025-12-22,Hospital B,M013,Cephalexin 500mg,56
2025-12-29,Hospital B,M013,Cephalexin 500mg,40
2026-01-05,Hospital B,M013,Cephalexin 500mg,46
2026-01-12,Hospital B,M013,Cephalexin 500mg,19
2026-01-19,Hospital B,M013,Cephalexin 500mg,7
2026-01-26,Hospital B,M013,Cephalexin 500mg,37
2026-02-02,Hospital B,M013,Cephalexin 500mg,9
2026-02-09,Hospital B,M013,Cephalexin 500mg,11
2026-02-16,Hospital B,M013,Cephalexin 500mg,10
2026-02-23,Hospital B,M013,Cephalexin 500mg,6
2026-03-02,Hospital B,M013,Cephalexin 500mg,10
2026-03-09,Hospital B,M013,Cephalexin 500mg,4
