Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital B,M014,Insulin Lispro,82
2025-01-13,Hospital B,M014,Insulin Lispro,80
2025-01-20,Hospital B,M014,Insulin Lispro,108
2025-01-27,Hospital B,M014,Insulin Lispro,109
2025-02-03,Hospital B,M014,Insulin Lispro,123
2025-02-10,Hospital B,M014,Insulin Lispro,129
2025-02-17,Hospital B,M014,Insulin Lispro,111
2025-02-24,Hospital B,M014,Insulin Lispro,107
2025-03-03,Hospital B,M014,Insulin Lispro,88
2025-03-10,Hospital B,M014,Insulin Lispro,98
2025-03-17,Hospital B,M014,Insulin Lispro,37
2025-03-24,Hospital B,M014,Insulin Lispro,11
2025-03-31,Hospital B,M014,Insulin Lispro,21
2025-04-07,Hospital B,M014,Insulin Lispro,10
2025-04-14,Hospital B,M014,Insulin Lispro,12
2025-04-21,Hospital B,M014,Insulin Lispro,2
2025-04-28,Hospital B,M014,Insulin Lispro,34
2025-05-05,Hospital B,M014,Insulin Lispro,25
2025-05-12,Hospital B,M014,Insulin Lispro,32
2025-05-19,Hospital B,M014,Insulin Lispro,18
2025-05-26,Hospital B,M014,Insulin Lispro,15
2025-06-02,Hospital B,M014,Insulin Lispro,9
2025-06-09,Hospital B,M014,Insulin Lispro,13
2025-06-16,Hospital B,M014,Insulin Lispro,8
2025-06-23,Hospital B,M014,Insulin Lispro,3
2025-06-30,Hospital B,M014,Insulin Lispro,21
2025-07-07,Hospital B,M014,Insulin Lispro,35
2025-07-14,Hospital B,M014,Insulin Lispro,19
2025-07-21,Hospital B,M014,Insulin Lispro,30
2025-07-28,Hospital B,M014,Insulin Lispro,32
2025-08-04,Hospital B,M014,Insulin Lispro,33
2025-08-11,Hospital B,M014,Insulin Lispro,16
2025-08-18,Hospital B,M014,Insulin Lispro,10
2025-08-25,Hospital B,M014,Insulin Lispro,25
2025-09-01,Hospital B,M014,Insulin Lispro,6
2025-09-08,Hospital B,M014,Insulin Lispro,32
2025-09-15,Hospital B,M014,Insulin Lispro,32
2025-09-22,Hospital B,M014,Insulin Lispro,40
2025-09-29,Hospital B,M014,Insulin Lispro,50
2025-10-06,Hospital B,M014,Insulin Lispro,32
2025-10-13,Hospital B,M014,Insulin Lispro,39
2025-10-20,Hospital B,M014,Insulin Lispro,39
2025-10-27,Hospital B,M014,Insulin Lispro,23
2025-11-03,Hospital B,M014,Insulin Lispro,25
2025-11-10,Hospital B,M014,Insulin Lispro,4
2025-11-17,Hospital B,M014,Insulin Lispro,5
2025-11-24,Hospital B,M014,Insulin Lispro,28
2025-12-01,Hospital B,M014,Insulin Lispro,35
2025-12-08,Hospital B,M014,Insulin Lispro,33
2025-12-15,Hospital B,M014,Insulin Lispro,24
2025-12-22,Hospital B,M014,Insulin Lispro,3
2025-12-29,Hospital B,M014,Insulin Lispro,5
2026-01-05,Hospital B,M014,Insulin Lispro,39
2026-01-12,Hospital B,M014,Insulin Lispro,26
2026-01-19,Hospital B,M014,Insulin Lispro,55
2026-01-26,Hospital B,M014,Insulin Lispro,48
2026-02-02,Hospital B,M014,Insulin Lispro,52
2026-02-09,Hospital B,M014,Insulin Lispro,41
2026-02-16,Hospital B,M014,Insulin Lispro,26
2026-02-23,Hospital B,M014,Insulin Lispro,41
2026-03-02,Hospital B,M014,Insulin Lispro,32
2026-03-09,Hospital B,M014,Insulin Lispro,41
