Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital B,M015,Norepinephrine,122
2025-01-13,Hospital B,M015,Norepinephrine,131
2025-01-20,Hospital B,M015,Norepinephrine,191
2025-01-27,Hospital B,M015,Norepinephrine,194
2025-02-03,Hospital B,M015,Norepinephrine,230
2025-02-10,Hospital B,M015,Norepinephrine,239
2025-02-17,Hospital B,M015,Norepinephrine,247
2025-02-24,Hospital B,M015,Norepinephrine,257
2025-03-03,Hospital B,M015,Norepinephrine,225
2025-03-10,Hospital B,M015,Norepinephrine,235
2025-03-17,Hospital B,M015,Norepinephrine,153
2025-03-24,Hospital B,M015,Norepinephrine,64
2025-03-31,Hospital B,M015,Norepinephrine,37
2025-04-07,Hospital B,M015,Norepinephrine,32
2025-04-14,Hospital B,M015,Norepinephrine,13
2025-04-21,Hospital B,M015,Norepinephrine,20
2025-04-28,Hospital B,M015,Norepinephrine,32
2025-05-05,Hospital B,M015,Norepinephrine,36
2025-05-12,Hospital B,M015,Norepinephrine,20
2025-05-19,Hospital B,M015,Norepinephrine,48
2025-05-26,Hospital B,M015,Norepinephrine,40
2025-06-02,Hospital B,M015,Norepinephrine,3
2025-06-09,Hospital B,M015,Norepinephrine,3
2025-06-16,Hospital B,M015,Norepinephrine,8
2025-06-23,Hospital B,M015,Norepinephrine,4
2025-06-30,Hospital B,M015,Norepinephrine,11
2025-07-07,Hospital B,M015,Norepinephrine,27
2025-07-14,Hospital B,M015,Norepinephrine,48
2025-07-21,Hospital B,M015,Norepinephrine,51
2025-07-28,Hospital B,M015,Norepinephrine,60
2025-08-04,Hospital B,M015,Norepinephrine,61
2025-08-11,Hospital B,M015,Norepinephrine,99
2025-08-18,Hospital B,M015,Norepinephrine,123
2025-08-25,Hospital B,M015,Norepinephrine,106
2025-09-01,Hospital B,M015,Norepinephrine,83
2025-09-08,Hospital B,M015,Norepinephrine,71
2025-09-15,Hospital B,M015,Norepinephrine,59
2025-09-22,Hospital B,M015,Norepinephrine,52
2025-09-29,Hospital B,M015,Norepinephrine,108
2025-10-06,Hospital B,M015,Norepinephrine,124
2025-10-13,Hospital B,M015,Norepinephrine,90
2025-10-20,Hospital B,M015,Norepinephrine,94
2025-10-27,Hospital B,M015,Norepinephrine,146
2025-11-03,Hospital B,M015,Norepinephrine,116
2025-11-10,Hospital B,M015,Norepinephrine,126
2025-11-17,Hospital B,M015,Norepinephrine,127
2025-11-24,Hospital B,M015,Norepinephrine,106
2025-12-01,Hospital B,M015,Norepinephrine,113
2025-12-08,Hospital B,M015,Norepinephrine,98
2025-12-15,Hospital B,M015,Norepinephrine,72
2025-12-22,Hospital B,M015,Norepinephrine,73
2025-12-29,Hospital B,M015,Norepinephrine,35
2026-01-05,Hospital B,M015,Norepinephrine,40
2026-01-12,Hospital B,M015,Norepinephrine,41
2026-01-19,Hospital B,M015,Norepinephrine,20
2026-01-26,Hospital B,M015,Norepinephrine,39
2026-02-02,Hospital B,M015,Norepinephrine,23
2026-02-09,Hospital B,M015,Norepinephrine,14
2026-02-16,Hospital B,M015,Norepinephrine,9
2026-02-23,Hospital B,M015,Norepinephrine,9
2026-03-02,Hospital B,M015,Norepinephrine,5
2026-03-09,Hospital B,M015,Norepinephrine,68
