Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital B,M016,Terbutaline Inhaler,76
2025-01-13,Hospital B,M016,Terbutaline Inhaler,115
2025-01-20,Hospital B,M016,Terbutaline Inhaler,88
2025-01-27,Hospital B,M016,Terbutaline Inhaler,85
2025-02-03,Hospital B,M016,Terbutaline Inhaler,78
2025-02-10,Hospital B,M016,Terbutaline Inhaler,75
2025-02-17,Hospital B,M016,Terbutaline Inhaler,82
2025-02-24,Hospital B,M016,Terbutaline Inhaler,75
2025-03-03,Hospital B,M016,Terbutaline Inhaler,71
2025-03-10,Hospital B,M016,Terbutaline Inhaler,47
2025-03-17,Hospital B,M016,Terbutaline Inhaler,42
2025-03-24,Hospital B,M016,Terbutaline Inhaler,57
2025-03-31,Hospital B,M016,Terbutaline Inhaler,81
2025-04-07,Hospital B,M016,Terbutaline Inhaler,39
2025-04-14,Hospital B,M016,Terbutaline Inhaler,14
2025-04-21,Hospital B,M016,Terbutaline Inhaler,66
2025-04-28,Hospital B,M016,Terbutaline Inhaler,50
2025-05-05,Hospital B,M016,Terbutaline Inhaler,46
2025-05-12,Hospital B,M016,Terbutaline Inhaler,33
2025-05-19,Hospital B,M016,Terbutaline Inhaler,64
2025-05-26,Hospital B,M016,Terbutaline Inhaler,111
2025-06-02,Hospital B,M016,Terbutaline Inhaler,100
2025-06-09,Hospital B,M016,Terbutaline Inhaler,73
2025-06-16,Hospital B,M016,Terbutaline Inhaler,58
2025-06-23,Hospital B,M016,Terbutaline Inhaler,43
2025-06-30,Hospital B,M016,Terbutaline Inhaler,19
2025-07-07,Hospital B,M016,Terbutaline Inhaler,39
2025-07-14,Hospital B,M016,Terbutaline Inhaler,22
2025-07-21,Hospital B,M016,Terbutaline Inhaler,63
2025-07-28,Hospital B,M016,Terbutaline Inhaler,40
2025-08-04,Hospital B,M016,Terbutaline Inhaler,25
2025-08-11,Hospital B,M016,Terbutaline Inhaler,54
2025-08-18,Hospital B,M016,Terbutaline Inhaler,54
2025-08-25,Hospital B,M016,Terbutaline Inhaler,67
2025-09-01,Hospital B,M016,Terbutaline Inhaler,80
2025-09-08,Hospital B,M016,Terbutaline Inhaler,58
2025-09-15,Hospital B,M016,Terbutaline Inhaler,14
2025-09-22,Hospital B,M016,Terbutaline Inhaler,54
2025-09-29,Hospital B,M016,Terbutaline Inhaler,43
2025-10-06,Hospital B,M016,Terbutaline Inhaler,55
2025-10-13,Hospital B,M016,Terbutaline Inhaler,59
2025-10-20,Hospital B,M016,Terbutaline Inhaler,52
2025-10-27,Hospital B,M016,Terbutaline Inhaler,48
2025-11-03,Hospital B,M016,Terbutaline Inhaler,27
2025-11-10,Hospital B,M016,Terbutaline Inhaler,20
2025-11-17,Hospital B,M016,Terbutaline Inhaler,1
2025-11-24,Hospital B,M016,Terbutaline Inhaler,26
2025-12-01,Hospital B,M016,Terbutaline Inhaler,52
2025-12-08,Hospital B,M016,Terbutaline Inhaler,55
2025-12-15,Hospital B,M016,Terbutaline Inhaler,68
2025-12-22,Hospital B,M016,Terbutaline Inhaler,79
2025-12-29,Hospital B,M016,Terbutaline Inhaler,74
2026-01-05,Hospital B,M016,Terbutaline Inhaler,90
2026-01-12,Hospital B,M016,Terbutaline Inhaler,117
2026-01-19,Hospital B,M016,Terbutaline Inhaler,88
2026-01-26,Hospital B,M016,Terbutaline Inhaler,83
2026-02-02,Hospital B,M016,Terbutaline Inhaler,67
2026-02-09,Hospital B,M016,Terbutaline Inhaler,50
2026-02-16,Hospital B,M016,Terbutaline Inhaler,64
2026-02-23,Hospital B,M016,Terbutaline Inhaler,89
2026-03-02,Hospital B,M016,Terbutaline Inhaler,80
2026-03-09,Hospital B,M016,Terbutaline Inhaler,117
