Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital B,M017,Fentanyl Patch,27
2025-01-13,Hospital B,M017,Fentanyl Patch,15
2025-01-20,Hospital B,M017,Fentanyl Patch,37
2025-01-27,Hospital B,M017,Fentanyl Patch,41
2025-02-03,Hospital B,M017,Fentanyl Patch,33
2025-02-10,Hospital B,M017,Fentanyl Patch,22
2025-02-17,Hospital B,M017,Fentanyl Patch,34
2025-02-24,Hospital B,M017,Fentanyl Patch,28
2025-03-03,Hospital B,M017,Fentanyl Patch,38
2025-03-10,Hospital B,M017,Fentanyl Patch,15
2025-03-17,Hospital B,M017,Fentanyl Patch,1
2025-03-24,Hospital B,M017,Fentanyl Patch,28
2025-03-31,Hospital B,M017,Fentanyl Patch,0
2025-04-07,Hospital B,M017,Fentanyl Patch,15
2025-04-14,Hospital B,M017,Fentanyl Patch,4
2025-04-21,Hospital B,M017,Fentanyl Patch,17
2025-04-28,Hospital B,M017,Fentanyl Patch,17
2025-05-05,Hospital B,M017,Fentanyl Patch,29
2025-05-12,Hospital B,M017,Fentanyl Patch,26
2025-05-19,Hospital B,M017,Fentanyl Patch,27
2025-05-26,Hospital B,M017,Fentanyl Patch,26
2025-06-02,Hospital B,M017,Fentanyl Patch,8
2025-06-09,Hospital B,M017,Fentanyl Patch,6
2025-06-16,Hospital B,M017,Fentanyl Patch,5
2025-06-23,Hospital B,M017,Fentanyl Patch,8
2025-06-30,Hospital B,M017,Fentanyl Patch,3
2025-07-07,Hospital B,M017,Fentanyl Patch,19
2025-07-14,Hospital B,M017,Fentanyl Patch,14
2025-07-21,Hospital B,M017,Fentanyl Patch,9
2025-07-28,Hospital B,M017,Fentanyl Patch,26
2025-08-04,Hospital B,M017,Fentanyl Patch,19
2025-08-11,Hospital B,M017,Fentanyl Patch,42
2025-08-18,Hospital B,M017,Fentanyl Patch,54
2025-08-25,Hospital B,M017,Fentanyl Patch,49
2025-09-01,Hospital B,M017,Fentanyl Patch,35
2025-09-08,Hospital B,M017,Fentanyl Patch,30
2025-09-15,Hospital B,M017,Fentanyl Patch,24
2025-09-22,Hospital B,M017,Fentanyl Patch,11
2025-09-29,Hospital B,M017,Fentanyl Patch,25
2025-10-06,Hospital B,M017,Fentanyl Patch,29
2025-10-13,Hospital B,M017,Fentanyl Patch,17
2025-10-20,Hospital B,M017,Fentanyl Patch,23
2025-10-27,Hospital B,M017,Fentanyl Patch,81
2025-11-03,Hospital B,M017,Fentanyl Patch,51
2025-11-10,Hospital B,M017,Fentanyl Patch,36
2025-11-17,Hospital B,M017,Fentanyl Patch,4
2025-11-24,Hospital B,M017,Fentanyl Patch,10
2025-12-01,Hospital B,M017,Fentanyl Patch,18
2025-12-08,Hospital B,M017,Fentanyl Patch,26
2025-12-15,Hospital B,M017,Fentanyl Patch,37
2025-12-22,Hospital B,M017,Fentanyl Patch,21
2025-12-29,Hospital B,M017,Fentanyl Patch,16
2026-01-05,Hospital B,M017,Fentanyl Patch,8
2026-01-12,Hospital B,M017,Fentanyl Patch,34
2026-01-19,Hospital B,M017,Fentanyl Patch,13
2026-01-26,Hospital B,M017,Fentanyl Patch,3
2026-02-02,Hospital B,M017,Fentanyl Patch,13
2026-02-09,Hospital B,M017,Fentanyl Patch,4
2026-02-16,Hospital B,M017,Fentanyl Patch,4
2026-02-23,Hospital B,M017,Fentanyl Patch,10
2026-03-02,Hospital B,M017,Fentanyl Patch,4
2026-03-09,Hospital B,M017,Fentanyl Patch,39
