Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital C,M002,Ibuprofen,26
2025-01-13,Hospital C,M002,Ibuprofen,31
2025-01-20,Hospital C,M002,Ibuprofen,27
2025-01-27,Hospital C,M002,Ibuprofen,33
2025-02-03,Hospital C,M002,Ibuprofen,47
2025-02-10,Hospital C,M002,Ibuprofen,50
2025-02-17,Hospital C,M002,Ibuprofen,55
2025-02-24,Hospital C,M002,Ibuprofen,66
2025-03-03,Hospital C,M002,Ibuprofen,99
2025-03-10,Hospital C,M002,Ibuprofen,91
2025-03-17,Hospital C,M002,Ibuprofen,77
2025-03-24,Hospital C,M002,Ibuprofen,53
2025-03-31,Hospital C,M002,Ibuprofen,59
2025-04-07,Hospital C,M002,Ibuprofen,31
2025-04-14,Hospital C,M002,Ibuprofen,33
2025-04-21,Hospital C,M002,Ibuprofen,25
2025-04-28,Hospital C,M002,Ibuprofen,29
2025-05-05,Hospital C,M002,Ibuprofen,15
2025-05-12,Hospital C,M002,Ibuprofen,4
2025-05-19,Hospital C,M002,Ibuprofen,17
2025-05-26,Hospital C,M002,Ibuprofen,19
2025-06-02,Hospital C,M002,Ibuprofen,21
2025-06-09,Hospital C,M002,Ibuprofen,28
2025-06-16,Hospital C,M002,Ibuprofen,30
2025-06-23,Hospital C,M002,Ibuprofen,10
2025-06-30,Hospital C,M002,Ibuprofen,12
2025-07-07,Hospital C,M002,Ibuprofen,24
2025-07-14,Hospital C,M002,Ibuprofen,32
2025-07-21,Hospital C,M002,Ibuprofen,32
2025-07-28,Hospital C,M002,Ibuprofen,37
2025-08-04,Hospital C,M002,Ibuprofen,34
2025-08-11,Hospital C,M002,Ibuprofen,35
2025-08-18,Hospital C,M002,Ibuprofen,41
2025-08-25,Hospital C,M002,Ibuprofen,89
2025-09-01,Hospital C,M002,Ibuprofen,91
2025-09-08,Hospital C,M002,Ibuprofen,73
2025-09-15,Hospital C,M002,Ibuprofen,87
2025-09-22,Hospital C,M002,Ibuprofen,101
2025-09-29,Hospital C,M002,Ibuprofen,104
2025-10-06,Hospital C,M002,Ibuprofen,98
2025-10-13,Hospital C,M002,Ibuprofen,95
2025-10-20,Hospital C,M002,Ibuprofen,73
2025-10-27,Hospital C,M002,Ibuprofen,98
2025-11-03,Hospital C,M002,Ibuprofen,83
2025-11-10,Hospital C,M002,Ibuprofen,69
2025-11-17,Hospital C,M002,Ibuprofen,58
2025-11-24,Hospital C,M002,Ibuprofen,92
2025-12-01,Hospital C,M002,Ibuprofen,79
2025-12-08,Hospital C,M002,Ibuprofen,36
2025-12-15,Hospital C,M002,Ibuprofen,3
2025-12-22,Hospital C,M002,Ibuprofen,43
2025-12-29,Hospital C,M002,Ibuprofen,4
2026-01-05,Hospital C,M002,Ibuprofen,26
2026-01-12,Hospital C,M002,Ibuprofen,44
2026-01-19,Hospital C,M002,Ibuprofen,70
2026-01-26,Hospital C,M002,Ibuprofen,56
2026-02-02,Hospital C,M002,Ibuprofen,41
2026-02-09,Hospital C,M002,Ibuprofen,43
2026-02-16,Hospital C,M002,Ibuprofen,26
2026-02-23,Hospital C,M002,Ibuprofen,25
2026-03-02,Hospital C,M002,Ibuprofen,28
2026-03-09,Hospital C,M002,Ibuprofen,46
