Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital C,M003,Amoxicillin,165
2025-01-13,Hospital C,M003,Amoxicillin,184
2025-01-20,Hospital C,M003,Amoxicillin,185
2025-01-27,Hospital C,M003,Amoxicillin,220
2025-02-03,Hospital C,M003,Amoxicillin,238
2025-02-10,Hospital C,M003,Amoxicillin,231
2025-02-17,Hospital C,M003,Amoxicillin,242
2025-02-24,Hospital C,M003,Amoxicillin,234
2025-03-03,Hospital C,M003,Amoxicillin,225
2025-03-10,Hospital C,M003,Amoxicillin,249
2025-03-17,Hospital C,M003,Amoxicillin,153
2025-03-24,Hospital C,M003,Amoxicillin,85
2025-03-31,Hospital C,M003,Amoxicillin,24
2025-04-07,Hospital C,M003,Amoxicillin,0
2025-04-14,Hospital C,M003,Amoxicillin,5
2025-04-21,Hospital C,M003,Amoxicillin,7
2025-04-28,Hospital C,M003,Amoxicillin,44
2025-05-05,Hospital C,M003,Amoxicillin,26
2025-05-12,Hospital C,M003,Amoxicillin,33
2025-05-19,Hospital C,M003,Amoxicillin,36
2025-05-26,Hospital C,M003,Amoxicillin,28
2025-06-02,Hospital C,M003,Amoxicillin,4
2025-06-09,Hospital C,M003,Amoxicillin,9
2025-06-16,Hospital C,M003,Amoxicillin,0
2025-06-23,Hospital C,M003,Amoxicillin,7
2025-06-30,Hospital C,M003,Amoxicillin,11
2025-07-07,Hospital C,M003,Amoxicillin,29
2025-07-14,Hospital C,M003,Amoxicillin,45
2025-07-21,Hospital C,M003,Amoxicillin,45
2025-07-28,Hospital C,M003,Amoxicillin,41
2025-08-04,Hospital C,M003,Amoxicillin,47
2025-08-11,Hospital C,M003,Amoxicillin,40
2025-08-18,Hospital C,M003,Amoxicillin,27
2025-08-25,Hospital C,M003,Amoxicillin,20
2025-09-01,Hospital C,M003,Amoxicillin,32
2025-09-08,Hospital C,M003,Amoxicillin,10
2025-09-15,Hospital C,M003,Amoxicillin,12
2025-09-22,Hospital C,M003,Amoxicillin,20
2025-09-29,Hospital C,M003,Amoxicillin,13
2025-10-06,Hospital C,M003,Amoxicillin,18
2025-10-13,Hospital C,M003,Amoxicillin,38
2025-10-20,Hospital C,M003,Amoxicillin,25
2025-10-27,Hospital C,M003,Amoxicillin,31
2025-11-03,Hospital C,M003,Amoxicillin,36
2025-11-10,Hospital C,M003,Amoxicillin,15
2025-11-17,Hospital C,M003,Amoxicillin,12
2025-11-24,Hospital C,M003,Amoxicillin,18
2025-12-01,Hospital C,M003,Amoxicillin,12
2025-12-08,Hospital C,M003,Amoxicillin,30
2025-12-15,Hospital C,M003,Amoxicillin,38
2025-12-22,Hospital C,M003,Amoxicillin,40
2025-12-29,Hospital C,M003,Amoxicillin,47
2026-01-05,Hospital C,M003,Amoxicillin,62
2026-01-12,Hospital C,M003,Amoxicillin,33
2026-01-19,Hospital C,M003,Amoxicillin,57
2026-01-26,Hospital C,M003,Amoxicillin,73
2026-02-02,Hospital C,M003,Amoxicillin,58
2026-02-09,Hospital C,M003,Amoxicillin,70
2026-02-16,Hospital C,M003,Amoxicillin,52
2026-02-23,Hospital C,M003,Amoxicillin,76
2026-03-02,Hospital C,M003,Amoxicillin,79
2026-03-09,Hospital C,M003,Amoxicillin,108
