Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital C,M004,Insulin,10
2025-01-13,Hospital C,M004,Insulin,25
2025-01-20,Hospital C,M004,Insulin,15
2025-01-27,Hospital C,M004,Insulin,62
2025-02-03,Hospital C,M004,Insulin,73
2025-02-10,Hospital C,M004,Insulin,77
2025-02-17,Hospital C,M004,Insulin,85
2025-02-24,Hospital C,M004,Insulin,75
2025-03-03,Hospital C,M004,Insulin,83
2025-03-10,Hospital C,M004,Insulin,74
2025-03-17,Hospital C,M004,Insulin,23
2025-03-24,Hospital C,M004,Insulin,5
2025-03-31,Hospital C,M004,Insulin,14
2025-04-07,Hospital C,M004,Insulin,20
2025-04-14,Hospital C,M004,Insulin,6
2025-04-21,Hospital C,M004,Insulin,20
2025-04-28,Hospital C,M004,Insulin,53
2025-05-05,Hospital C,M004,Insulin,23
2025-05-12,Hospital C,M004,Insulin,14
2025-05-19,Hospital C,M004,Insulin,14
2025-05-26,Hospital C,M004,Insulin,32
2025-06-02,Hospital C,M004,Insulin,1
2025-06-09,Hospital C,M004,Insulin,2
2025-06-16,Hospital C,M004,Insulin,4
2025-06-23,Hospital C,M004,Insulin,6
2025-06-30,Hospital C,M004,Insulin,0
2025-07-07,Hospital C,M004,Insulin,5
2025-07-14,Hospital C,M004,Insulin,24
2025-07-21,Hospital C,M004,Insulin,34
2025-07-28,Hospital C,M004,Insulin,10
2025-08-04,Hospital C,M004,Insulin,34
2025-08-11,Hospital C,M004,Insulin,39
2025-08-18,Hospital C,M004,Insulin,46
2025-08-25,Hospital C,M004,Insulin,1
2025-09-01,Hospital C,M004,Insulin,15
2025-09-08,Hospital C,M004,Insulin,43
2025-09-15,Hospital C,M004,Insulin,47
2025-09-22,Hospital C,M004,Insulin,30
2025-09-29,Hospital C,M004,Insulin,40
2025-10-06,Hospital C,M004,Insulin,18
2025-10-13,Hospital C,M004,Insulin,15
2025-10-20,Hospital C,M004,Insulin,21
2025-10-27,Hospital C,M004,Insulin,21
2025-11-03,Hospital C,M004,Insulin,38
2025-11-10,Hospital C,M004,Insulin,1
2025-11-17,Hospital C,M004,Insulin,0
2025-11-24,Hospital C,M004,Insulin,32
2025-12-01,Hospital C,M004,Insulin,31
2025-12-08,Hospital C,M004,Insulin,20
2025-12-15,Hospital C,M004,Insulin,34
2025-12-22,Hospital C,M004,Insulin,22
2025-12-29,Hospital C,M004,Insulin,23
2026-01-05,Hospital C,M004,Insulin,23
2026-01-12,Hospital C,M004,Insulin,1
2026-01-19,Hospital C,M004,Insulin,20
2026-01-26,Hospital C,M004,Insulin,24
2026-02-02,Hospital C,M004,Insulin,12
2026-02-09,Hospital C,M004,Insulin,4
2026-02-16,Hospital C,M004,Insulin,3
2026-02-23,Hospital C,M004,Insulin,3
2026-03-02,Hospital C,M004,Insulin,12
2026-03-09,Hospital C,M004,Insulin,24
