Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital C,M005,Epinephrine,62
2025-01-13,Hospital C,M005,Epinephrine,49
2025-01-20,Hospital C,M005,Epinephrine,34
2025-01-27,Hospital C,M005,Epinephrine,16
2025-02-03,Hospital C,M005,Epinephrine,10
2025-02-10,Hospital C,M005,Epinephrine,11
2025-02-17,Hospital C,M005,Epinephrine,6
2025-02-24,Hospital C,M005,Epinephrine,18
2025-03-03,Hospital C,M005,Epinephrine,26
2025-03-10,Hospital C,M005,Epinephrine,19
2025-03-17,Hospital C,M005,Epinephrine,22
2025-03-24,Hospital C,M005,Epinephrine,42
2025-03-31,Hospital C,M005,Epinephrine,34
2025-04-07,Hospital C,M005,Epinephrine,17
2025-04-14,Hospital C,M005,Epinephrine,3
2025-04-21,Hospital C,M005,Epinephrine,33
2025-04-28,Hospital C,M005,Epinephrine,65
2025-05-05,Hospital C,M005,Epinephrine,42
2025-05-12,Hospital C,M005,Epinephrine,39
2025-05-19,Hospital C,M005,Epinephrine,25
2025-05-26,Hospital C,M005,Epinephrine,47
2025-06-02,Hospital C,M005,Epinephrine,13
2025-06-09,Hospital C,M005,Epinephrine,3
2025-06-16,Hospital C,M005,Epinephrine,10
2025-06-23,Hospital C,M005,Epinephrine,1
2025-06-30,Hospital C,M005,Epinephrine,11
2025-07-07,Hospital C,M005,Epinephrine,44
2025-07-14,Hospital C,M005,Epinephrine,71
2025-07-21,Hospital C,M005,Epinephrine,66
2025-07-28,Hospital C,M005,Epinephrine,40
2025-08-04,Hospital C,M005,Epinephrine,42
2025-08-11,Hospital C,M005,Epinephrine,51
2025-08-18,Hospital C,M005,Epinephrine,27
2025-08-25,Hospital C,M005,Epinephrine,35
2025-09-01,Hospital C,M005,Epinephrine,43
2025-09-08,Hospital C,M005,Epinephrine,32
2025-09-15,Hospital C,M005,Epinephrine,36
2025-09-22,Hospital C,M005,Epinephrine,45
2025-09-29,Hospital C,M005,Epinephrine,71
2025-10-06,Hospital C,M005,Epinephrine,52
2025-10-13,Hospital C,M005,Epinephrine,25
2025-10-20,Hospital C,M005,Epinephrine,43
2025-10-27,Hospital C,M005,Epinephrine,55
2025-11-03,Hospital C,M005,Epinephrine,41
2025-11-10,Hospital C,M005,Epinephrine,29
2025-11-17,Hospital C,M005,Epinephrine,23
2025-11-24,Hospital C,M005,Epinephrine,15
2025-12-01,Hospital C,M005,Epinephrine,47
2025-12-08,Hospital C,M005,Epinephrine,80
2025-12-15,Hospital C,M005,Epinephrine,64
2025-12-22,Hospital C,M005,Epinephrine,25
2025-12-29,Hospital C,M005,Epinephrine,31
2026-01-05,Hospital C,M005,Epinephrine,28
2026-01-12,Hospital C,M005,Epinephrine,32
2026-01-19,Hospital C,M005,Epinephrine,59
2026-01-26,Hospital C,M005,Epinephrine,78
2026-02-02,Hospital C,M005,Epinephrine,36
2026-02-09,Hospital C,M005,Epinephrine,43
2026-02-16,Hospital C,M005,Epinephrine,50
2026-02-23,Hospital C,M005,Epinephrine,60
2026-03-02,Hospital C,M005,Epinephrine,64
2026-03-09,Hospital C,M005,Epinephrine,86
