Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital C,M006,Salbutamol,93
2025-01-13,Hospital C,M006,Salbutamol,81
2025-01-20,Hospital C,M006,Salbutamol,23
2025-01-27,Hospital C,M006,Salbutamol,21
2025-02-03,Hospital C,M006,Salbutamol,25
2025-02-10,Hospital C,M006,Salbutamol,21
2025-02-17,Hospital C,M006,Salbutamol,35
2025-02-24,Hospital C,M006,Salbutamol,23
2025-03-03,Hospital C,M006,Salbutamol,17
2025-03-10,Hospital C,M006,Salbutamol,16
2025-03-17,Hospital C,M006,Salbutamol,8
2025-03-24,Hospital C,M006,Salbutamol,14
2025-03-31,Hospital C,M006,Salbutamol,22
2025-04-07,Hospital C,M006,Salbutamol,11
2025-04-14,Hospital C,M006,Salbutamol,16
2025-04-21,Hospital C,M006,Salbutamol,9
2025-04-28,Hospital C,M006,Salbutamol,18
2025-05-05,Hospital C,M006,Salbutamol,26
2025-05-12,Hospital C,M006,Salbutamol,34
2025-05-19,Hospital C,M006,Salbutamol,52
2025-05-26,Hospital C,M006,Salbutamol,11
2025-06-02,Hospital C,M006,Salbutamol,11
2025-06-09,Hospital C,M006,Salbutamol,1
2025-06-16,Hospital C,M006,Salbutamol,0
2025-06-23,Hospital C,M006,Salbutamol,1
2025-06-30,Hospital C,M006,Salbutamol,1
2025-07-07,Hospital C,M006,Salbutamol,33
2025-07-14,Hospital C,M006,Salbutamol,48
2025-07-21,Hospital C,M006,Salbutamol,30
2025-07-28,Hospital C,M006,Salbutamol,45
2025-08-04,Hospital C,M006,Salbutamol,52
2025-08-11,Hospital C,M006,Salbutamol,55
2025-08-18,Hospital C,M006,Salbutamol,21
2025-08-25,Hospital C,M006,Salbutamol,45
2025-09-01,Hospital C,M006,Salbutamol,64
2025-09-08,Hospital C,M006,Salbutamol,72
2025-09-15,Hospital C,M006,Salbutamol,39
2025-09-22,Hospital C,M006,Salbutamol,38
2025-09-29,Hospital C,M006,Salbutamol,38
2025-10-06,Hospital C,M006,Salbutamol,8
2025-10-13,Hospital C,M006,Salbutamol,32
2025-10-20,Hospital C,M006,Salbutamol,13
2025-10-27,Hospital C,M006,Salbutamol,45
2025-11-03,Hospital C,M006,Salbutamol,44
2025-11-10,Hospital C,M006,Salbutamol,44
2025-11-17,Hospital C,M006,Salbutamol,24
2025-11-24,Hospital C,M006,Salbutamol,42
2025-12-01,Hospital C,M006,Salbutamol,27
2025-12-08,Hospital C,M006,Salbutamol,39
2025-12-15,Hospital C,M006,Salbutamol,50
2025-12-22,Hospital C,M006,Salbutamol,38
2025-12-29,Hospital C,M006,Salbutamol,12
2026-01-05,Hospital C,M006,Salbutamol,24
2026-01-12,Hospital C,M006,Salbutamol,10
2026-01-19,Hospital C,M006,Salbutamol,32
2026-01-26,Hospital C,M006,Salbutamol,25
2026-02-02,Hospital C,M006,Salbutamol,35
2026-02-09,Hospital C,M006,Salbutamol,6
2026-02-16,Hospital C,M006,Salbutamol,10
2026-02-23,Hospital C,M006,Salbutamol,0
2026-03-02,Hospital C,M006,Salbutamol,1
2026-03-09,Hospital C,M006,Salbutamol,50
