Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital C,M007,Morphine,98
2025-01-13,Hospital C,M007,Morphine,115
2025-01-20,Hospital C,M007,Morphine,158
2025-01-27,Hospital C,M007,Morphine,190
2025-02-03,Hospital C,M007,Morphine,184
2025-02-10,Hospital C,M007,Morphine,175
2025-02-17,Hospital C,M007,Morphine,154
2025-02-24,Hospital C,M007,Morphine,153
2025-03-03,Hospital C,M007,Morphine,111
2025-03-10,Hospital C,M007,Morphine,86
2025-03-17,Hospital C,M007,Morphine,41
2025-03-24,Hospital C,M007,Morphine,7
2025-03-31,Hospital C,M007,Morphine,37
2025-04-07,Hospital C,M007,Morphine,20
2025-04-14,Hospital C,M007,Morphine,7
2025-04-21,Hospital C,M007,Morphine,18
2025-04-28,Hospital C,M007,Morphine,48
2025-05-05,Hospital C,M007,Morphine,50
2025-05-12,Hospital C,M007,Morphine,16
2025-05-19,Hospital C,M007,Morphine,31
2025-05-26,Hospital C,M007,Morphine,32
2025-06-02,Hospital C,M007,Morphine,16
2025-06-09,Hospital C,M007,Morphine,4
2025-06-16,Hospital C,M007,Morphine,25
2025-06-23,Hospital C,M007,Morphine,20
2025-06-30,Hospital C,M007,Morphine,2
2025-07-07,Hospital C,M007,Morphine,30
2025-07-14,Hospital C,M007,Morphine,24
2025-07-21,Hospital C,M007,Morphine,29
2025-07-28,Hospital C,M007,Morphine,62
2025-08-04,Hospital C,M007,Morphine,62
2025-08-11,Hospital C,M007,Morphine,53
2025-08-18,Hospital C,M007,Morphine,92
2025-08-25,Hospital C,M007,Morphine,53
2025-09-01,Hospital C,M007,Morphine,53
2025-09-08,Hospital C,M007,Morphine,97
2025-09-15,Hospital C,M007,Morphine,9
2025-09-22,Hospital C,M007,Morphine,24
2025-09-29,Hospital C,M007,Morphine,20
2025-10-06,Hospital C,M007,Morphine,4
2025-10-13,Hospital C,M007,Morphine,44
2025-10-20,Hospital C,M007,Morphine,37
2025-10-27,Hospital C,M007,Morphine,25
2025-11-03,Hospital C,M007,Morphine,49
2025-11-10,Hospital C,M007,Morphine,31
2025-11-17,Hospital C,M007,Morphine,3
2025-11-24,Hospital C,M007,Morphine,24
2025-12-01,Hospital C,M007,Morphine,29
2025-12-08,Hospital C,M007,Morphine,21
2025-12-15,Hospital C,M007,Morphine,24
2025-12-22,Hospital C,M007,Morphine,23
2025-12-29,Hospital C,M007,Morphine,42
2026-01-05,Hospital C,M007,Morphine,71
2026-01-12,Hospital C,M007,Morphine,68
2026-01-19,Hospital C,M007,Morphine,42
2026-01-26,Hospital C,M007,Morphine,47
2026-02-02,Hospital C,M007,Morphine,35
2026-02-09,Hospital C,M007,Morphine,11
2026-02-16,Hospital C,M007,Morphine,4
2026-02-23,Hospital C,M007,Morphine,16
2026-03-02,Hospital C,M007,Morphine,19
2026-03-09,Hospital C,M007,Morphine,69
