Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital C,M008,Aspirin,172
2025-01-13,Hospital C,M008,Aspirin,173
2025-01-20,Hospital C,M008,Aspirin,171
2025-01-27,Hospital C,M008,Aspirin,158
2025-02-03,Hospital C,M008,Aspirin,160
2025-02-10,Hospital C,M008,Aspirin,169
2025-02-17,Hospital C,M008,Aspirin,160
2025-02-24,Hospital C,M008,Aspirin,169
2025-03-03,Hospital C,M008,Aspirin,172
2025-03-10,Hospital C,M008,Aspirin,164
2025-03-17,Hospital C,M008,Aspirin,77
2025-03-24,Hospital C,M008,Aspirin,27
2025-03-31,Hospital C,M008,Aspirin,5
2025-04-07,Hospital C,M008,Aspirin,6
2025-04-14,Hospital C,M008,Aspirin,0
2025-04-21,Hospital C,M008,Aspirin,0
2025-04-28,Hospital C,M008,Aspirin,26
2025-05-05,Hospital C,M008,Aspirin,33
2025-05-12,Hospital C,M008,Aspirin,49
2025-05-19,Hospital C,M008,Aspirin,48
2025-05-26,Hospital C,M008,Aspirin,38
2025-06-02,Hospital C,M008,Aspirin,22
2025-06-09,Hospital C,M008,Aspirin,7
2025-06-16,Hospital C,M008,Aspirin,4
2025-06-23,Hospital C,M008,Aspirin,2
2025-06-30,Hospital C,M008,Aspirin,12
2025-07-07,Hospital C,M008,Aspirin,35
2025-07-14,Hospital C,M008,Aspirin,21
2025-07-21,Hospital C,M008,Aspirin,28
2025-07-28,Hospital C,M008,Aspirin,28
2025-08-04,Hospital C,M008,Aspirin,36
2025-08-11,Hospital C,M008,Aspirin,14
2025-08-18,Hospital C,M008,Aspirin,55
2025-08-25,Hospital C,M008,Aspirin,60
2025-09-01,Hospital C,M008,Aspirin,81
2025-09-08,Hospital C,M008,Aspirin,70
2025-09-15,Hospital C,M008,Aspirin,66
2025-09-22,Hospital C,M008,Aspirin,50
2025-09-29,Hospital C,M008,Aspirin,65
2025-10-06,Hospital C,M008,Aspirin,59
2025-10-13,Hospital C,M008,Aspirin,55
2025-10-20,Hospital C,M008,Aspirin,95
2025-10-27,Hospital C,M008,Aspirin,91
2025-11-03,Hospital C,M008,Aspirin,107
2025-11-10,Hospital C,M008,Aspirin,83
2025-11-17,Hospital C,M008,Aspirin,82
2025-11-24,Hospital C,M008,Aspirin,67
2025-12-01,Hospital C,M008,Aspirin,63
2025-12-08,Hospital C,M008,Aspirin,74
2025-12-15,Hospital C,M008,Aspirin,77
2025-12-22,Hospital C,M008,Aspirin,41
2025-12-29,Hospital C,M008,Aspirin,46
2026-01-05,Hospital C,M008,Aspirin,61
2026-01-12,Hospital C,M008,Aspirin,68
2026-01-19,Hospital C,M008,Aspirin,29
2026-01-26,Hospital C,M008,Aspirin,48
2026-02-02,Hospital C,M008,Aspirin,32
2026-02-09,Hospital C,M008,Aspirin,49
2026-02-16,Hospital C,M008,Aspirin,60
2026-02-23,Hospital C,M008,Aspirin,55
2026-03-02,Hospital C,M008,Aspirin,63
2026-03-09,Hospital C,M008,Aspirin,108
