Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital C,M009,Metformin,82
2025-01-13,Hospital C,M009,Metformin,56
2025-01-20,Hospital C,M009,Metformin,243
2025-01-27,Hospital C,M009,Metformin,252
2025-02-03,Hospital C,M009,Metformin,219
2025-02-10,Hospital C,M009,Metformin,247
2025-02-17,Hospital C,M009,Metformin,258
2025-02-24,Hospital C,M009,Metformin,242
2025-03-03,Hospital C,M009,Metformin,217
2025-03-10,Hospital C,M009,Metformin,215
2025-03-17,Hospital C,M009,Metformin,79
2025-03-24,Hospital C,M009,Metformin,27
2025-03-31,Hospital C,M009,Metformin,73
2025-04-07,Hospital C,M009,Metformin,41
2025-04-14,Hospital C,M009,Metformin,47
2025-04-21,Hospital C,M009,Metformin,98
2025-04-28,Hospital C,M009,Metformin,61
2025-05-05,Hospital C,M009,Metformin,45
2025-05-12,Hospital C,M009,Metformin,130
2025-05-19,Hospital C,M009,Metformin,91
2025-05-26,Hospital C,M009,Metformin,56
2025-06-02,Hospital C,M009,Metformin,26
2025-06-09,Hospital C,M009,Metformin,24
2025-06-16,Hospital C,M009,Metformin,41
2025-06-23,Hospital C,M009,Metformin,13
2025-06-30,Hospital C,M009,Metformin,21
2025-07-07,Hospital C,M009,Metformin,87
2025-07-14,Hospital C,M009,Metformin,177
2025-07-21,Hospital C,M009,Metformin,138
2025-07-28,Hospital C,M009,Metformin,106
2025-08-04,Hospital C,M009,Metformin,100
2025-08-11,Hospital C,M009,Metformin,150
2025-08-18,Hospital C,M009,Metformin,133
2025-08-25,Hospital C,M009,Metformin,226
2025-09-01,Hospital C,M009,Metformin,203
2025-09-08,Hospital C,M009,Metformin,189
2025-09-15,Hospital C,M009,Metformin,183
2025-09-22,Hospital C,M009,Metformin,171
2025-09-29,Hospital C,M009,Metformin,247
2025-10-06,Hospital C,M009,Metformin,213
2025-10-13,Hospital C,M009,Metformin,78
2025-10-20,Hospital C,M009,Metformin,158
2025-10-27,Hospital C,M009,Metformin,41
2025-11-03,Hospital C,M009,Metformin,163
2025-11-10,Hospital C,M009,Metformin,154
2025-11-17,Hospital C,M009,Metformin,67
2025-11-24,Hospital C,M009,Metformin,60
2025-12-01,Hospital C,M009,Metformin,72
2025-12-08,Hospital C,M009,Metformin,70
2025-12-15,Hospital C,M009,Metformin,46
2025-12-22,Hospital C,M009,Metformin,94
2025-12-29,Hospital C,M009,Metformin,168
2026-01-05,Hospital C,M009,Metformin,79
2026-01-12,Hospital C,M009,Metformin,83
2026-01-19,Hospital C,M009,Metformin,92
2026-01-26,Hospital C,M009,Metformin,58
2026-02-02,Hospital C,M009,Metformin,29
2026-02-09,Hospital C,M009,Metformin,43
2026-02-16,Hospital C,M009,Metformin,30
2026-02-23,Hospital C,M009,Metformin,71
2026-03-02,Hospital C,M009,Metformin,59
2026-03-09,Hospital C,M009,Metformin,148
