Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital C,M010,Atorvastatin,9
2025-01-13,Hospital C,M010,Atorvastatin,26
2025-01-20,Hospital C,M010,Atorvastatin,30
2025-01-27,Hospital C,M010,Atorvastatin,31
2025-02-03,Hospital C,M010,Atorvastatin,26
2025-02-10,Hospital C,M010,Atorvastatin,4
2025-02-17,Hospital C,M010,Atorvastatin,20
2025-02-24,Hospital C,M010,Atorvastatin,35
2025-03-03,Hospital C,M010,Atorvastatin,25
2025-03-10,Hospital C,M010,Atorvastatin,12
2025-03-17,Hospital C,M010,Atorvastatin,20
2025-03-24,Hospital C,M010,Atorvastatin,9
2025-03-31,Hospital C,M010,Atorvastatin,13
2025-04-07,Hospital C,M010,Atorvastatin,8
2025-04-14,Hospital C,M010,Atorvastatin,5
2025-04-21,Hospital C,M010,Atorvastatin,28
2025-04-28,Hospital C,M010,Atorvastatin,51
2025-05-05,Hospital C,M010,Atorvastatin,11
2025-05-12,Hospital C,M010,Atorvastatin,6
2025-05-19,Hospital C,M010,Atorvastatin,35
2025-05-26,Hospital C,M010,Atorvastatin,21
2025-06-02,Hospital C,M010,Atorvastatin,16
2025-06-09,Hospital C,M010,Atorvastatin,15
2025-06-16,Hospital C,M010,Atorvastatin,0
2025-06-23,Hospital C,M010,Atorvastatin,1
2025-06-30,Hospital C,M010,Atorvastatin,0
2025-07-07,Hospital C,M010,Atorvastatin,13
2025-07-14,Hospital C,M010,Atorvastatin,20
2025-07-21,Hospital C,M010,Atorvastatin,26
2025-07-28,Hospital C,M010,Atorvastatin,39
2025-08-04,Hospital C,M010,Atorvastatin,42
2025-08-11,Hospital C,M010,Atorvastatin,44
2025-08-18,Hospital C,M010,Atorvastatin,32
2025-08-25,Hospital C,M010,Atorvastatin,16
2025-09-01,Hospital C,M010,Atorvastatin,0
2025-09-08,Hospital C,M010,Atorvastatin,21
2025-09-15,Hospital C,M010,Atorvastatin,18
2025-09-22,Hospital C,M010,Atorvastatin,13
2025-09-29,Hospital C,M010,Atorvastatin,39
2025-10-06,Hospital C,M010,Atorvastatin,42
2025-10-13,Hospital C,M010,Atorvastatin,48
2025-10-20,Hospital C,M010,Atorvastatin,39
2025-10-27,Hospital C,M010,Atorvastatin,53
2025-11-03,Hospital C,M010,Atorvastatin,40
2025-11-10,Hospital C,M010,Atorvastatin,43
2025-11-17,Hospital C,M010,Atorvastatin,29
2025-11-24,Hospital C,M010,Atorvastatin,13
2025-12-01,Hospital C,M010,Atorvastatin,21
2025-12-08,Hospital C,M010,Atorvastatin,20
2025-12-15,Hospital C,M010,Atorvastatin,9
2025-12-22,Hospital C,M010,Atorvastatin,12
2025-12-29,Hospital C,M010,Atorvastatin,22
2026-01-05,Hospital C,M010,Atorvastatin,21
2026-01-12,Hospital C,M010,Atorvastatin,29
2026-01-19,Hospital C,M010,Atorvastatin,26
2026-01-26,Hospital C,M010,Atorvastatin,33
2026-02-02,Hospital C,M010,Atorvastatin,2
2026-02-09,Hospital C,M010,Atorvastatin,2
2026-02-16,Hospital C,M010,Atorvastatin,7
2026-02-23,Hospital C,M010,Atorvastatin,13
2026-03-02,Hospital C,M010,Atorvastatin,3
2026-03-09,Hospital C,M010,Atorvastatin,30
