Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital C,M013,Cephalexin 500mg,79
2025-01-13,Hospital C,M013,Cephalexin 500mg,55
2025-01-20,Hospital C,M013,Cephalexin 500mg,49
2025-01-27,Hospital C,M013,Cephalexin 500mg,49
2025-02-03,Hospital C,M013,Cephalexin 500mg,37
2025-02-10,Hospital C,M013,Cephalexin 500mg,20
2025-02-17,Hospital C,M013,Cephalexin 500mg,32
2025-02-24,Hospital C,M013,Cephalexin 500mg,26
2025-03-03,Hospital C,M013,Cephalexin 500mg,40
2025-03-10,Hospital C,M013,Cephalexin 500mg,23
2025-03-17,Hospital C,M013,Cephalexin 500mg,31
2025-03-24,Hospital C,M013,Cephalexin 500mg,56
2025-03-31,Hospital C,M013,Cephalexin 500mg,28
2025-04-07,Hospital C,M013,Cephalexin 500mg,28
2025-04-14,Hospital C,M013,Cephalexin 500mg,23
2025-04-21,Hospital C,M013,Cephalexin 500mg,43
2025-04-28,Hospital C,M013,Cephalexin 500mg,66
2025-05-05,Hospital C,M013,Cephalexin 500mg,40
2025-05-12,Hospital C,M013,Cephalexin 500mg,88
2025-05-19,Hospital C,M013,Cephalexin 500mg,55
2025-05-26,Hospital C,M013,Cephalexin 500mg,24
2025-06-02,Hospital C,M013,Cephalexin 500mg,18
2025-06-09,Hospital C,M013,Cephalexin 500mg,12
2025-06-16,Hospital C,M013,Cephalexin 500mg,18
2025-06-23,Hospital C,M013,Cephalexin 500mg,27
2025-06-30,Hospital C,M013,Cephalexin 500mg,15
2025-07-07,Hospital C,M013,Cephalexin 500mg,27
2025-07-14,Hospital C,M013,Cephalexin 500mg,29
2025-07-21,Hospital C,M013,Cephalexin 500mg,38
2025-07-28,Hospital C,M013,Cephalexin 500mg,49
2025-08-04,Hospital C,M013,Cephalexin 500mg,82
2025-08-11,Hospital C,M013,Cephalexin 500mg,82
2025-08-18,Hospital C,M013,Cephalexin 500mg,63
2025-08-25,Hospital C,M013,Cephalexin 500mg,53
2025-09-01,Hospital C,M013,Cephalexin 500mg,88
2025-09-08,Hospital C,M013,Cephalexin 500mg,108
2025-09-15,Hospital C,M013,Cephalexin 500mg,120
2025-09-22,Hospital C,M013,Cephalexin 500mg,108
2025-09-29,Hospital C,M013,Cephalexin 500mg,78
2025-10-06,Hospital C,M013,Cephalexin 500mg,95
2025-10-13,Hospital C,M013,Cephalexin 500mg,75
2025-10-20,Hospital C,M013,Cephalexin 500mg,77
2025-10-27,Hospital C,M013,Cephalexin 500mg,53
2025-11-03,Hospital C,M013,Cephalexin 500mg,60
2025-11-10,Hospital C,M013,Cephalexin 500mg,53
2025-11-17,Hospital C,M013,Cephalexin 500mg,33
2025-11-24,Hospital C,M013,Cephalexin 500mg,92
2025-12-01,Hospital C,M013,Cephalexin 500mg,111
2025-12-08,Hospital C,M013,Cephalexin 500mg,89
2025-12-15,Hospital C,M013,Cephalexin 500mg,52
2025-12-22,Hospital C,M013,Cephalexin 500mg,77
2025-12-29,Hospital C,M013,Cephalexin 500mg,137
2026-01-05,Hospital C,M013,Cephalexin 500mg,128
2026-01-12,Hospital C,M013,Cephalexin 500mg,103
2026-01-19,Hospital C,M013,Cephalexin 500mg,86
2026-01-26,Hospital C,M013,Cephalexin 500mg,74
2026-02-02,Hospital C,M013,Cephalexin 500mg,67
2026-02-09,Hospital C,M013,Cephalexin 500mg,37
2026-02-16,Hospital C,M013,Cephalexin 500mg,48
2026-02-23,Hospital C,M013,Cephalexin 500mg,45
2026-03-02,Hospital C,M013,Cephalexin 500mg,64
2026-03-09,Hospital C,M013,Cephalexin 500mg,136
