Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital C,M015,Norepinephrine,120
2025-01-13,Hospital C,M015,Norepinephrine,119
2025-01-20,Hospital C,M015,Norepinephrine,153
2025-01-27,Hospital C,M015,Norepinephrine,154
2025-02-03,Hospital C,M015,Norepinephrine,140
2025-02-10,Hospital C,M015,Norepinephrine,143
2025-02-17,Hospital C,M015,Norepinephrine,150
2025-02-24,Hospital C,M015,Norepinephrine,161
2025-03-03,Hospital C,M015,Norepinephrine,144
2025-03-10,Hospital C,M015,Norepinephrine,123
2025-03-17,Hospital C,M015,Norepinephrine,22
2025-03-24,Hospital C,M015,Norepinephrine,23
2025-03-31,Hospital C,M015,Norepinephrine,25
2025-04-07,Hospital C,M015,Norepinephrine,4
2025-04-14,Hospital C,M015,Norepinephrine,6
2025-04-21,Hospital C,M015,Norepinephrine,10
2025-04-28,Hospital C,M015,Norepinephrine,44
2025-05-05,Hospital C,M015,Norepinephrine,27
2025-05-12,Hospital C,M015,Norepinephrine,1
2025-05-19,Hospital C,M015,Norepinephrine,0
2025-05-26,Hospital C,M015,Norepinephrine,8
2025-06-02,Hospital C,M015,Norepinephrine,7
2025-06-09,Hospital C,M015,Norepinephrine,0
2025-06-16,Hospital C,M015,Norepinephrine,11
2025-06-23,Hospital C,M015,Norepinephrine,11
2025-06-30,Hospital C,M015,Norepinephrine,0
2025-07-07,Hospital C,M015,Norepinephrine,18
2025-07-14,Hospital C,M015,Norepinephrine,2
2025-07-21,Hospital C,M015,Norepinephrine,23
2025-07-28,Hospital C,M015,Norepinephrine,16
2025-08-04,Hospital C,M015,Norepinephrine,29
2025-08-11,Hospital C,M015,Norepinephrine,33
2025-08-18,Hospital C,M015,Norepinephrine,0
2025-08-25,Hospital C,M015,Norepinephrine,27
2025-09-01,Hospital C,M015,Norepinephrine,39
2025-09-08,Hospital C,M015,Norepinephrine,17
2025-09-15,Hospital C,M015,Norepinephrine,30
2025-09-22,Hospital C,M015,Norepinephrine,35
2025-09-29,Hospital C,M015,Norepinephrine,41
2025-10-06,Hospital C,M015,Norepinephrine,10
2025-10-13,Hospital C,M015,Norepinephrine,43
2025-10-20,Hospital C,M015,Norepinephrine,42
2025-10-27,Hospital C,M015,Norepinephrine,20
2025-11-03,Hospital C,M015,Norepinephrine,21
2025-11-10,Hospital C,M015,Norepinephrine,19
2025-11-17,Hospital C,M015,Norepinephrine,0
2025-11-24,Hospital C,M015,Norepinephrine,0
2025-12-01,Hospital C,M015,Norepinephrine,28
2025-12-08,Hospital C,M015,Norepinephrine,37
2025-12-15,Hospital C,M015,Norepinephrine,16
2025-12-22,Hospital C,M015,Norepinephrine,32
2025-12-29,Hospital C,M015,Norepinephrine,20
2026-01-05,Hospital C,M015,Norepinephrine,21
2026-01-12,Hospital C,M015,Norepinephrine,30
2026-01-19,Hospital C,M015,Norepinephrine,35
2026-01-26,Hospital C,M015,Norepinephrine,52
2026-02-02,Hospital C,M015,Norepinephrine,14
2026-02-09,Hospital C,M015,Norepinephrine,23
2026-02-16,Hospital C,M015,Norepinephrine,23
2026-02-23,Hospital C,M015,Norepinephrine,15
2026-03-02,Hospital C,M015,Norepinephrine,13
2026-03-09,Hospital C,M015,Norepinephrine,58
