Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital C,M017,Fentanyl Patch,86
2025-01-13,Hospital C,M017,Fentanyl Patch,49
2025-01-20,Hospital C,M017,Fentanyl Patch,45
2025-01-27,Hospital C,M017,Fentanyl Patch,49
2025-02-03,Hospital C,M017,Fentanyl Patch,60
2025-02-10,Hospital C,M017,Fentanyl Patch,59
2025-02-17,Hospital C,M017,Fentanyl Patch,37
2025-02-24,Hospital C,M017,Fentanyl Patch,18
2025-03-03,Hospital C,M017,Fentanyl Patch,20
2025-03-10,Hospital C,M017,Fentanyl Patch,22
2025-03-17,Hospital C,M017,Fentanyl Patch,26
2025-03-24,Hospital C,M017,Fentanyl Patch,49
2025-03-31,Hospital C,M017,Fentanyl Patch,24
2025-04-07,Hospital C,M017,Fentanyl Patch,35
2025-04-14,Hospital C,M017,Fentanyl Patch,21
2025-04-21,Hospital C,M017,Fentanyl Patch,17
2025-04-28,Hospital C,M017,Fentanyl Patch,35
2025-05-05,Hospital C,M017,Fentanyl Patch,67
2025-05-12,Hospital C,M017,Fentanyl Patch,79
2025-05-19,Hospital C,M017,Fentanyl Patch,47
2025-05-26,Hospital C,M017,Fentanyl Patch,55
2025-06-02,Hospital C,M017,Fentanyl Patch,69
2025-06-09,Hospital C,M017,Fentanyl Patch,45
2025-06-16,Hospital C,M017,Fentanyl Patch,32
2025-06-23,Hospital C,M017,Fentanyl Patch,5
2025-06-30,Hospital C,M017,Fentanyl Patch,10
2025-07-07,Hospital C,M017,Fentanyl Patch,18
2025-07-14,Hospital C,M017,Fentanyl Patch,37
2025-07-21,Hospital C,M017,Fentanyl Patch,61
2025-07-28,Hospital C,M017,Fentanyl Patch,54
2025-08-04,Hospital C,M017,Fentanyl Patch,15
2025-08-11,Hospital C,M017,Fentanyl Patch,59
2025-08-18,Hospital C,M017,Fentanyl Patch,29
2025-08-25,Hospital C,M017,Fentanyl Patch,25
2025-09-01,Hospital C,M017,Fentanyl Patch,6
2025-09-08,Hospital C,M017,Fentanyl Patch,48
2025-09-15,Hospital C,M017,Fentanyl Patch,32
2025-09-22,Hospital C,M017,Fentanyl Patch,37
2025-09-29,Hospital C,M017,Fentanyl Patch,42
2025-10-06,Hospital C,M017,Fentanyl Patch,34
2025-10-13,Hospital C,M017,Fentanyl Patch,28
2025-10-20,Hospital C,M017,Fentanyl Patch,67
2025-10-27,Hospital C,M017,Fentanyl Patch,56
2025-11-03,Hospital C,M017,Fentanyl Patch,63
2025-11-10,Hospital C,M017,Fentanyl Patch,53
2025-11-17,Hospital C,M017,Fentanyl Patch,18
2025-11-24,Hospital C,M017,Fentanyl Patch,4
2025-12-01,Hospital C,M017,Fentanyl Patch,27
2025-12-08,Hospital C,M017,Fentanyl Patch,74
2025-12-15,Hospital C,M017,Fentanyl Patch,45
2025-12-22,Hospital C,M017,Fentanyl Patch,27
2025-12-29,Hospital C,M017,Fentanyl Patch,54
2026-01-05,Hospital C,M017,Fentanyl Patch,84
2026-01-12,Hospital C,M017,Fentanyl Patch,63
2026-01-19,Hospital C,M017,Fentanyl Patch,21
2026-01-26,Hospital C,M017,Fentanyl Patch,32
2026-02-02,Hospital C,M017,Fentanyl Patch,34
2026-02-09,Hospital C,M017,Fentanyl Patch,28
2026-02-16,Hospital C,M017,Fentanyl Patch,32
2026-02-23,Hospital C,M017,Fentanyl Patch,34
2026-03-02,Hospital C,M017,Fentanyl Patch,35
2026-03-09,Hospital C,M017,Fentanyl Patch,90
