Week_Start_Date,Hospital,Medicine_ID,Medicine,Amount
2025-01-06,Hospital C,M018,Clopidogrel 75mg,58
2025-01-13,Hospital C,M018,Clopidogrel 75mg,65
2025-01-20,Hospital C,M018,Clopidogrel 75mg,62
2025-01-27,Hospital C,M018,Clopidogrel 75mg,61
2025-02-03,Hospital C,M018,Clopidogrel 75mg,55
2025-02-10,Hospital C,M018,Clopidogrel 75mg,58
2025-02-17,Hospital C,M018,Clopidogrel 75mg,70
2025-02-24,Hospital C,M018,Clopidogrel 75mg,65
2025-03-03,Hospital C,M018,Clopidogrel 75mg,85
2025-03-10,Hospital C,M018,Clopidogrel 75mg,91
2025-03-17,Hospital C,M018,Clopidogrel 75mg,51
2025-03-24,Hospital C,M018,Clopidogrel 75mg,67
2025-03-31,Hospital C,M018,Clopidogrel 75mg,31
2025-04-07,Hospital C,M018,Clopidogrel 75mg,13
2025-04-14,Hospital C,M018,Clopidogrel 75mg,9
2025-04-21,Hospital C,M018,Clopidogrel 75mg,41
2025-04-28,Hospital C,M018,Clopidogrel 75mg,35
2025-05-05,Hospital C,M018,Clopidogrel 75mg,25
2025-05-12,Hospital C,M018,Clopidogrel 75mg,4
2025-05-19,Hospital C,M018,Clopidogrel 75mg,31
2025-05-26,Hospital C,M018,Clopidogrel 75mg,14
2025-06-02,Hospital C,M018,Clopidogrel 75mg,20
2025-06-09,Hospital C,M018,Clopidogrel 75mg,4
2025-06-16,Hospital C,M018,Clopidogrel 75mg,12
2025-06-23,Hospital C,M018,Clopidogrel 75mg,6
2025-06-30,Hospital C,M018,Clopidogrel 75mg,11
2025-07-07,Hospital C,M018,Clopidogrel 75mg,47
2025-07-14,Hospital C,M018,Clopidogrel 75mg,48
2025-07-21,Hospital C,M018,Clopidogrel 75mg,43
2025-07-28,Hospital C,M018,Clopidogrel 75mg,19
2025-08-04,Hospital C,M018,Clopidogrel 75mg,19
2025-08-11,Hospital C,M018,Clopidogrel 75mg,44
2025-08-18,Hospital C,M018,Clopidogrel 75mg,54
2025-08-25,Hospital C,M018,Clopidogrel 75mg,34
2025-09-01,Hospital C,M018,Clopidogrel 75mg,29
2025-09-08,Hospital C,M018,Clopidogrel 75mg,53
2025-09-15,Hospital C,M018,Clopidogrel 75mg,43
2025-09-22,Hospital C,M018,Clopidogrel 75mg,47
2025-09-29,Hospital C,M018,Clopidogrel 75mg,46
2025-10-06,Hospital C,M018,Clopidogrel 75mg,64
2025-10-13,Hospital C,M018,Clopidogrel 75mg,69
2025-10-20,Hospital C,M018,Clopidogrel 75mg,91
2025-10-27,Hospital C,M018,Clopidogrel 75mg,81
2025-11-03,Hospital C,M018,Clopidogrel 75mg,101
2025-11-10,Hospital C,M018,Clopidogrel 75mg,82
2025-11-17,Hospital C,M018,Clopidogrel 75mg,80
2025-11-24,Hospital C,M018,Clopidogrel 75mg,70
2025-12-01,Hospital C,M018,Clopidogrel 75mg,63
2025-12-08,Hospital C,M018,Clopidogrel 75mg,37
2025-12-15,Hospital C,M018,Clopidogrel 75mg,40
2025-12-22,Hospital C,M018,Clopidogrel 75mg,22
2025-12-29,Hospital C,M018,Clopidogrel 75mg,52
2026-01-05,Hospital C,M018,Clopidogrel 75mg,9
2026-01-12,Hospital C,M018,Clopidogrel 75mg,36
2026-01-19,Hospital C,M018,Clopidogrel 75mg,29
2026-01-26,Hospital C,M018,Clopidogrel 75mg,41
2026-02-02,Hospital C,M018,Clopidogrel 75mg,35
2026-02-09,Hospital C,M018,Clopidogrel 75mg,27
2026-02-16,Hospital C,M018,Clopidogrel 75mg,22
2026-02-23,Hospital C,M018,Clopidogrel 75mg,14
2026-03-02,Hospital C,M018,Clopidogrel 75mg,14
2026-03-09,Hospital C,M018,Clopidogrel 75mg,80
